"1. 医師：今日はどうされましたか？
2. 患者：最近、すごく疲れていて体重もどんどん減ってしまって。
3. 医師：いつ頃からその症状が始まりましたか？
4. 患者：数ヶ月前からです。
5. 医師：食欲はどうですか？
6. 患者：あまりありません。食べる量も減っています。
7. 医師：日常生活にどんな影響がありますか？
8. 患者：疲れて家事もあまりできませんし、仕事にも影響が出ています。
9. 医師：過去に喘息をお持ちだったと聞いていますが、今も影響がありますか？
10. 患者：子供の頃にはありましたが、大人になってからは特に問題ないです。
11. 医師：お腹の痛みはどうですか？
12. 患者：右下腹部が特に痛いです。
13. 医師：発熱は感じますか？
14. 患者：いいえ、熱は全然出ていません。
15. 医師：便や消化に変わったことは？
16. 患者：便秘や下痢が交互に来てます。
17. 医師：体力が落ちている感じはしますか？
18. 患者：はい、すぐ疲れてしまいます。
19. 医師：どんな職業をされていますか？
20. 患者：デスクワークをしています。
21. 医師：最近何かストレスになることはありましたか？
22. 患者：特に思い当たることはないのですが…
23. 医師：腹部を触診してみますね。痛いところがあれば教えてください。
24. 患者：右下の方が痛いです。
25. 医師：最近病院で血液検査を受けましたか？
26. 患者：はい、少し前に受けました。
27. 医師：その時に何か言われましたか？
28. 患者：CRPが高いと言われました。
29. 医師：貧血や他の症状についても何か言われましたか？
30. 患者：貧血があると言われました。
31. 医師：今後、内視鏡検査を勧められましたか？
32. 患者：はい、受けて縦走潰瘍があると言われました。
33. 医師：生検の結果について何かお聞きしましたか？
34. 患者：肉芽腫があると聞きました。
35. 医師：家族に同じような症状を持っている方はいますか？
36. 患者：いいえ、いません。
37. 医師：他に気になる症状は？
38. 患者：特に思いつきません。
39. 医師：現在飲んでいる薬はありますか？
40. 患者：特にないです。
41. 医師：生活習慣で改めたことはありますか？
42. 患者：栄養に気をつけてはいますが…
43. 医師：ストレスを和らげるための趣味などは？
44. 患者：音楽を聴くのが好きです。
45. 医師：最近、それを楽しむ時間はありますか？
46. 患者：疲れてるのであまり楽しめてないです。
47. 医師：これまでの診察や検査結果から、クローン病が疑われます。
48. 患者：クローン病ですか…？
49. 医師：はい、消化器に炎症が起こる病気です。
50. 患者：そうだったんですね、治療はできますか？"
