"1. 医師：こんにちは。今日はどういったことで来られましたか？
2. 患者：上腹部が痛くて、食欲もないんです。
3. 医師：その痛みはいつから始まりましたか？
4. 患者：約3ヶ月前からです。
5. 医師：最初の頃はどんな感じでしたか？
6. 患者：最初は食後にお腹が張る感じがしていました。
7. 医師：それが今はどう変わってきましたか？
8. 患者：次第に鈍い痛みに変わって、食事が苦痛になってきました。
9. 医師：痛みは常にありますか、それとも食事の後に特に強くなりますか？
10. 患者：特に脂っこい食事の後に強く感じます。
11. 医師：吐き気はありますか？
12. 患者：時々、吐き気を伴うこともあります。
13. 医師：それは辛いですね。普段の食事はどうしていますか？
14. 患者：あまり食べれずにいます。
15. 医師：ご家族はこのことについて話してくれましたか？
16. 患者家族：彼女は最近、特に食欲が減っているみたいです。
17. 医師：他に気になる症状はありますか？
18. 患者：最近は疲れやすい感じがします。
19. 医師：それはどういった状況で感じますか？
20. 患者：何もしていないのに、急に疲れることがあります。
21. 医師：過去にこのような症状があったことはありますか？
22. 患者：特にはないです。アレルギー性鼻炎はありますが。
23. 医師：それ以外で病歴はありませんか？
24. 患者：いいえ、外科的な病歴は特にありません。
25. 医師：食事の内容は普段と変わりましたか？
26. 患者：特に変わってはいませんが、毎日違うものを食べています。
27. 医師：お酒は飲まれますか？
28. 患者：友達と飲むことはありますが、最近は控えています。
29. 医師：喫煙はされていますか？
30. 患者：いいえ、タバコは吸いません。
31. 医師：体重の変化はありましたか？
32. 患者：少し減少したかもしれません。
33. 医師：検査をしてみる必要がありますね。まずはお腹を触診します。
34. 患者：はい、お願いします。
35. 医師：お腹を押すと痛みはありますか？
36. 患者：はい、押されると痛いです。
37. 医師：腸の音は正常です。検査を行うためにエコーを実施します。
38. 患者：わかりました。どのくらいかかりますか？
39. 医師：エコーはすぐにできますので、少々お待ちください。
40. （エコー検査中）
41. 医師：検査結果は特に異常ありませんでした。
42. 患者：そうなんですね。
43. 医師：内視鏡検査も考えています。また痛みが強くなった場合はどうしますか？
44. 患者：きちんと診てもらえれば大丈夫です。
45. 医師：その後の内視鏡検査では特に問題はありませんでした。
46. 患者：良かったです。
47. 医師：血液検査を行いましたが、結果はどうでしたか？
48. 患者：特に問題ないと言われました。
49. 医師：それをもとに、機能性ディスペプシアと診断しました。
50. 患者：それはどういう病気なんですか？"
