"1. 医師：今日はどうされましたか？  
2. 患者：ここ最近、ずっとお腹が痛くて、下痢が続いているんです。  
3. 医師：いつから症状が続いていますか？  
4. 患者：3か月くらい前からです。  
5. 医師：お腹の痛みは、どこが一番痛みますか？  
6. 患者：右下のほうが特に痛いです。  
7. 医師：痛みはずっと続いていますか、それとも間欠的ですか？  
8. 患者：ずっと痛い感じです。食事をした後に特にひどくなります。  
9. 医師：下痢について教えてください。一日にどのくらい出ますか？  
10. 患者：1日に4～5回くらいで、水のような下痢です。  
11. 医師：症状が悪化するきっかけはありますか？  
12. 患者：特に決まったものはないですが、食べた後によくなりますね。  
13. 医師：市販薬など飲んでみられましたか？  
14. 患者：はい、試してみたんですが全然効きませんでした。  
15. 医師：他に体の変化、例えば体重の変化とかありましたか？  
16. 患者：体重が最近減っていて、3か月で5キロくらい痩せました。  
17. 医師：発熱はありますか？  
18. 患者：最近、熱っぽい感じがあって、38度を超えたこともあります。  
19. 医師：お腹以外に何か異常を感じることはありますか？  
20. 患者：特にはないです。  
21. 医師：過去に似たような症状があったことは？  
22. 患者：いいえ、これが初めてです。  
23. 医師：普段から何かアレルギーや慢性的な病気などはお持ちですか？  
24. 患者：いえ、特にないです。  
25. 医師：便の中に血が混ざっていることはありますか？  
26. 患者：血は見たことがないです。  
27. 医師：食事は普段どのようなものを食べていますか？偏ったりしていませんか？  
28. 患者：特に偏ったものは食べていませんが、外食は多いかもしれません。  
29. 医師：ストレスが溜まっているとか、体調が悪いことは他にありますか？  
30. 患者：特にストレスは感じていませんが、仕事が忙しいので疲れやすいです。  
31. 医師：便の中に粘液が出たり臭いが変わったりすることはありますか？  
32. 患者：はい、便が少し臭う感じがします。  
33. 医師：最近海外に行かれたことはありますか？  
34. 患者：いえ、国内でしか行動していないです。  
35. 医師：腸の音を確認しますね（診察中）。右下のお腹に触れると痛みがありますか？  
36. 患者：はい、ちょっと押されると痛いです。  
37. 医師：腸の音が活発なようですね。反跳痛や強い硬さはないみたいです。  
38. 患者：それは何か問題なんですか？  
39. 医師：右下腹部に痛みがあり腸の動きが活発なのは、腸の炎症や異常がある場合の兆候です。ただ他の原因も考えられます。  
40. 医師：血液検査も行いました。炎症があることを示しています。  
41. 患者：そうなんですか。それは何のせいですか？  
42. 医師：腸管の病気や感染症など様々な原因が考えられます。さらに詳しい検査が必要です。  
43. 医師：内視鏡検査を行ったところ、腸の一部に潰瘍と炎症が確認されました。これについてお話ししますね。  
44. 患者：やっぱり腸が悪いんですか。  
45. 医師：回盲部に特徴的な所見が見られました。生検結果も炎症性疾患を示唆しています。  
46. 医師：最終的な診断はCrohn病です。慢性の腸の炎症性疾患です。  
47. 患者：それってどういう病気なんですか？  
48. 医師：免疫系が異常を起こし、腸管の炎症を引き起こす疾患です。食事や生活習慣、薬物治療でコントロールしていきます。  
49. 患者：薬がありますか？  
50. 医師：はい、Budesonideなどのステロイド系薬と免疫抑制薬で治療します。また、症状に合わせて追加の治療を検討します。"
