"1. 医師：今日はどうしましたか？  
2. 患者：1か月くらい前からお腹が痛くて、だんだん軟らかい便が出るようになったんです。  
3. 医師：その後、何か変化はありましたか？  
4. 患者：軟便が続いて、そのうちに血が混じるようになったんです。それがだんだん多くなってきました。  
5. 医師：血便の色や量について教えてください。明らかに赤いですか、それとも黒っぽいですか？  
6. 患者：赤かったです。便器の中が真っ赤になることもあります。  
7. 医師：血便の出るタイミングは、便と一緒ですか？それとも後で出ますか？  
8. 患者：便と一緒です。  
9. 医師：1週間前から発熱があると聞きましたが、どのくらいの熱が出ますか？  
10. 患者：38℃くらいです。高い時は38.5℃くらいまで上がります。  
11. 医師：発熱以外に体がだるい感じはありますか？  
12. 患者：はい、とても疲れやすくて、何をするのも辛いです。  
13. 医師：お腹の痛みはどこか特定の場所にありますか？  
14. 患者：右下腹部が特に痛いです。  
15. 医師：痛みの性質はどうですか？例えば、刺すような痛みとか、鈍い痛みとか。  
16. 患者：鈍い痛みで、常に感じますが、押すともっと痛いです。  
17. 医師：便の回数はどうですか？1日に何回くらい出ていますか？  
18. 患者：多い時で1日6〜7回です。  
19. 医師：夜中に便意で目が覚めることはありますか？  
20. 患者：はい、あります。最近は毎日2〜3回目が覚めます。  
21. 医師：これまでに似たような症状があったことはありますか？  
22. 患者：いえ、今回が初めてです。  
23. 医師：過去に胃や腸の病気で診断を受けたことはありますか？  
24. 患者：はい、以前十二指腸潰瘍と診断されました。  
25. 医師：その時の治療は覚えていますか？  
26. 患者：薬を飲んでいましたが、今は特に治療していません。  
27. 医師：現在、何か薬を飲んでいますか？  
28. 患者：特に薬は飲んでいません。  
29. 医師：タバコやお酒はどうですか？  
30. 患者：タバコは1日20本くらい吸います。お酒は週に3回くらいビールを飲みます。  
31. 医師：家族に同じような症状や腸の病気を持っていた人はいらっしゃいますか？  
32. 患者：いえ、特にいません。  
33. 医師：体重変化についてどうですか？最近減ったりしていませんか？  
34. 患者：ここ1か月で3キロくらい減りました。  
35. 医師：食欲はどうですか？  
36. 患者：あまりなくて、食べる量が減っています。  
37. 医師：口の中や目に違和感を感じることはありませんか？  
38. 患者：口が乾燥する感じがします。  
39. 医師：他に胸が苦しいとか、息苦しいと感じることはありませんか？  
40. 患者：それはないです。  
41. 医師：日常生活で特に気になっていることはありますか？  
42. 患者：疲れやすいのと、トイレが近いので外出ができないのが辛いです。  
43. 医師：普段の生活リズムはどうですか？仕事のストレスなどはありますか？  
44. 患者：仕事はデスクワークで、特に大きなストレスはありません。  
45. 医師：今回の症状が出てきたきっかけに思い当たることはありますか？  
46. 患者：特に思い当たりません。  
47. 医師：手や足に痛みや関節の腫れなどはありますか？  
48. 患者：そういうのはありません。  
49. 医師：これまで海外旅行や生肉を食べた経験はありますか？  
50. 患者：海外旅行も行っていないし、生肉も食べていません。  "
