"1. 医師：どのような症状でお困りですか？
2. 患者：3週間前から血便が出て、発熱もしています。
3. 医師：血便はどのようなものでしたか？
4. 患者：最初は軽いもので、最近は量が増えています。
5. 医師：腹痛はありますか？
6. 患者：はい、右下腹部が特に痛いです。
7. 医師：その痛みはどのくらいの強さですか？
8. 患者：痛む時は痛み止めが必要なほど強いです。
9. 医師：発熱はどのように感じますか？
10. 患者：体温が38.5℃まで上がりました。
11. 医師：他に体調の変化はありましたか？
12. 患者：たまに吐き気を感じることもあります。
13. 医師：便の状態はどうでしたか？
14. 患者：血便の他に、回数が増えた気がします。
15. 医師：既往歴について教えてください。
16. 患者：十二指腸潰瘍があったことがあります。
17. 医師：潰瘍の治療は受けましたか？
18. 患者：特に治療は受けていません。
19. 医師：家族に体調が心配な方はいらっしゃいますか？
20. 患者家族：私は最近、彼の体調が心配です。
21. 医師：具体的に何が気になりますか？
22. 患者家族：食事をほとんど取れないのが心配です。
23. 医師：脱水症状はありましたか？ 
24. 患者：少し喉が渇く感じがあります。
25. 医師：便潜血検査はしたことがありますか？
26. 患者：はい、検査しましたが陽性でした。
27. 医師：体重の変化はありますか？
28. 患者：少し体重が減った気がします。
29. 医師：日常生活に支障はありますか？
30. 患者：仕事を休むことが増えています。
31. 医師：どのような仕事をされていますか？
32. 患者：IT関連の仕事をしています。
33. 医師：ストレスは感じますか？
34. 患者：結構あります、プロジェクトの納期が迫っていて。
35. 医師：他に病院に行ったことはありますか？
36. 患者：最近はいいえです。
37. 医師：全体的に良好な時期もありましたか？
38. 患者：以前は健康には自信がありました。
39. 医師：どのくらい多くの水分を取っていますか？
40. 患者：最近はあまり飲めていないと思います。
41. 医師：家族の健康についてはどうですか？
42. 患者家族：特に問題はありませんが、彼のことが気掛かりです。
43. 医師：これまでの経過から、腸の検査が必要です。
44. 患者：わかりました、お願いします。
45. 医師：腹部の圧痛はどこに感じますか？
46. 患者：右下腹部が特に痛いです、押されると辛いです。
47. 医師：便の色はどうでしたか？
48. 患者：赤みを帯びています。
49. 医師：最近の食事はどうでしたか？
50. 患者：普段の食事よりも少なくなっています。
51. 医師：内視鏡検査の結果、クローン病と診断されました。"
