"1. 医師：今日はどうされましたか？  
2. 患者：ここ最近、頭痛がひどくて、動悸もするんです。  
3. 医師：いつ頃からその症状がありますか？  
4. 患者：2週間くらい前からです。最近、特にひどくなってきました。  
5. 医師：頭痛はどんな感じですか？ズキズキしますか？それとも締め付けられるような感じですか？  
6. 患者：ズキズキする感じで、頭の後ろの方がよく痛くなります。  
7. 医師：動悸はいつもしていますか？それとも何かきっかけがありますか？  
8. 患者：急に始まることが多いです。特にストレスとかは感じてないですけど。  
9. 医師：その時、汗が出たり顔が赤くなったりしますか？  
10. 患者：そうです、汗がたくさん出て、顔が赤くなることもありますね。  
11. 医師：血圧を測ったことはありますか？  
12. 患者：はい、一度家で測ったんですが、異常に高すぎて測定不能と表示されました。  
13. 医師：それは驚かれたでしょうね。他に気になる症状はありませんか？  
14. 患者：うーん、あとは特にないと思います。  
15. 医師：頭痛や動悸の症状が出る時間帯に特徴はありますか？  
16. 患者：特には決まっていないですが、仕事中やリラックスしているときでも突然起こります。  
17. 医師：その症状はどれくらい続きますか？  
18. 患者：だいたい10分から30分くらいで自然と収まることが多いです。  
19. 医師：症状が軽くなるときがありますか？  
20. 患者：そうですね、症状がない時も普通にあります。  
21. 医師：ご家族に高血圧や頭痛の病歴がある方はいらっしゃいますか？  
22. 患者：父親が高血圧で薬を飲んでいますが、こういう症状はないはずです。  
23. 医師：日頃、薬を飲まれていますか？または何か健康食品を取っていますか？  
24. 患者：特にそういうことはしていないです。  
25. 医師：頭痛がひどくなったときに何か症状が同時に増えて感じることはありますか？  
26. 患者：動悸がさらに強くなり、汗もさらに出る感じです。  
27. 医師：胸の痛みや息切れはありませんか？  
28. 患者：胸の痛みはなく、息切れも感じません。  
29. 医師：最近、体重の大きな変化はありましたか？増えたり減ったりとか。  
30. 患者：特に変わりはないです。  
31. 医師：アルコールやカフェインの摂取量はどうですか？増えていたりしますか？  
32. 患者：アルコールは時々飲むぐらいですし、コーヒーも1日1杯程度です。  
33. 医師：日常のストレスや心理的な負担を感じますか？  
34. 患者：特にそういうこともないですね。  
35. 医師：食事の好き嫌いとか、塩分をたくさん取ることがあったりしますか？  
36. 患者：そこまで気にしていないですが、普通だと思っています。  
37. 医師：夜間起きてトイレに行くことが増えましたか？  
38. 患者：いえ、それは特にないです。  
39. 医師：のどが渇いて水をたくさん飲みたくなることはありますか？  
40. 患者：そういうことはないですね。普通に飲んでいると思います。  
41. 医師：過去に同じような症状があったことはありませんか？  
42. 患者：いいえ、初めてです。  
43. 医師：体の一部がしびれたり、ふらつくことはありますか？  
44. 患者：それもないです。  
45. 医師：運動や体を動かす時に症状が引き起こされることはありますか？  
46. 患者：運動中に特に症状が起こるわけではないです。  
47. 医師：その頭痛ですが、横になっていると楽になることがありますか？  
48. 患者：いいえ、横になっても変わらないですね。  
49. 医師：検査結果によると、カテコールアミン値が上昇していました。それに加え、腹部のCTで副腎に腫瘍が確認されました。  
50. 患者：それはどういうことですか？  
51. 医師：これらの結果を総合すると、褐色細胞腫という病気が疑われます。この腫瘍が原因で血圧や脈拍が急激に上がるようです。"
