"1. 医師：今日はどんなことでお困りですか？  
2. 患者：3ヶ月前から頭が痛いんです。  
3. 医師：頭痛は突然始まったんですか？  
4. 患者：はい、突然来て、それからどんどん強くなってきました。  
5. 医師：頭痛の頻度はどのくらいですか？  
6. 患者：今はほぼ毎日、特に朝がひどいです。  
7. 医師：日中はどうですか？  
8. 患者：日中は少し良くなることもありますが、仕事のストレスがあるとまた痛くなります。  
9. 医師：仕事のストレスは感じていますか？  
10. 患者：はい、最近忙しくて、ますますストレスを感じています。  
11. 医師：他に何か気になる症状はありますか？  
12. 患者：疲れやすくて、手足がしびれることもあります。  
13. 医師：しびれはどの部分に感じますか？  
14. 患者：手と足、特に力が入れにくいです。  
15. 医師：それは辛いですね。血圧は気にされていますか？  
16. 患者：はい、最近血圧が高いことをよく感じます。  
17. 医師：どのくらいの数値を見ましたか？  
18. 患者：大体170くらいですね。  
19. 医師：最近、血圧測定の結果を記録していますか？  
20. 患者：はい、少しずつ高くなっている気がします。  
21. 医師：他に体調の変化はありますか？  
22. 患者：特にはないですが、心配です。  
23. 医師：ご家族に同じような症状を持つ方はいらっしゃいますか？  
24. 患者：いえ、家族にはあまりいないと思います。  
25. 医師：最近のストレスの原因は何でしょうか？  
26. 患者：仕事が忙しいのが一番ですね。  
27. 医師：最近の睡眠はどうですか？  
28. 患者：あまり眠れない日もあります。  
29. 医師：睡眠不足も健康に影響しますね。  
30. 患者：それでも頑張らないといけないと思っています。  
31. 医師：お疲れのようですね。他に精神的な変化はありますか？  
32. 患者：特に気分が落ち込むことはないですが、イライラすることはあります。  
33. 医師：生活の中でリラックスできる時間はありますか？  
34. 患者：あまりないです。趣味の時間も取れない状態です。  
35. 医師：ストレス解消の方法は考えていますか？  
36. 患者：なかなか思いつかないです。  
37. 医師：運動などは試されましたか？  
38. 患者：前はやっていましたが、最近はできていません。  
39. 医師：運動は気分転換になりますよ。  
40. 患者：そうですね、少し考えてみます。  
41. 医師：今日は他に気になる点はありますか？  
42. 患者：今のところ大丈夫です。  
43. 医師：それでは、血圧を測ってみましょう。  
44. 患者：はい、お願いします。  
45. 医師：血圧は180/110です。高いですね。  
46. 患者：そうですか、やっぱり高いですね。  
47. 医師：血液検査もしたいと思いますが、どう思いますか？  
48. 患者：ぜひお願いします。  
49. 医師：検査結果が出たら詳しく説明しますね。  
50. 患者：ありがとうございます、よろしくお願いします。  
51. 医師：結果から見て、原発性アルドステロン症の可能性があります。  
52. 患者：それはどういう病気ですか？  
53. 医師：ホルモンの異常によって血圧が高くなる病気です。  
54. 患者：そうなんですね、どうしたら良いですか？  
55. 医師：治療としてエプレレノンを試してみます。  
56. 患者：わかりました、ありがとうございます。"
