"1. 医師：こんにちは、今日はどうされましたか？  
2. 患者：全身に青あざが多くできてしまい、筋力も弱くなってきました。  
3. 医師：それは大変ですね、まず青あざについて詳しく教えてください。いつ頃から気づきましたか？  
4. 患者：1年くらい前から軽くぶつけただけで広い範囲に青あざができるようになったんです。  
5. 医師：青あざができやすい場所や、特に症状が強い部位はありますか？  
6. 患者：特に決まった場所はないんですが、足とか腕に多い気がします。  
7. 医師：そのほかに皮膚の変化を感じたりしていますか？  
8. 患者：最近、肌が薄くなったみたいでちょっとしたことで切れやすいですね。  
9. 医師：皮膚の色が変わったり、傷が治りにくいことはありますか？  
10. 患者：はい、紫色の線みたいなものがあるし、傷もなかなか治らないです。  
11. 医師：筋力低下についてですが、いつごろから感じるようになりましたか？  
12. 患者：6か月前くらいからです。特に階段を上るのがすごくしんどいです。  
13. 医師：どの部分の筋力が特に弱く感じますか？  
14. 患者：特に腕や足の付け根が力が入らない感じです。  
15. 医師：筋力低下の程度は、日常生活に支障をきたすほどですか？  
16. 患者：最近は歩くのも大変で、物を持ち上げるのも苦労しています。  
17. 医師：体重の変化について気になることはありますか？  
18. 患者：2年前くらいから急に太りだして、特に顔とお腹が目立つように思います。  
19. 医師：食事量や運動量に変化はありましたか？  
20. 患者：特に変わったわけではないんですが、自然と体重が増えた感じです。  
21. 医師：ご自身のストレスや睡眠などについて何か心当たりはありますか？  
22. 患者：特にストレスとか変わったことはないですが、体型が変わるのが嫌で気になっています。  
23. 医師：顔や首に脂肪の変化はありますか？  
24. 患者：顔が丸くなった気がしますし、首の後ろに脂肪の塊があるのも気になります。  
25. 医師：体調について他に気になる点はありますか？  
26. 患者：血圧が高めだと言われていたことはあります。  
27. 医師：過去に他の医師に相談されたことはありますか？  
28. 患者：1年前くらいに青あざのことで受診しましたが、特に問題ないと言われました。  
29. 医師：その際に行った検査や治療について覚えていますか？  
30. 患者：血液検査だけしたような気がしますが、具体的なことは覚えていません。  
31. 医師：なるほど。現在、服用されている薬やサプリはありますか？  
32. 患者：特にはありません。  
33. 医師：ご家族に同じような症状の方はいませんか？  
34. 患者：家族には特にいないと思います。  
35. 医師：これまで大きな病気や手術を受けたことはありますか？  
36. 患者：特にありませんが、小さいころ喘息だったくらいです。  
37. 医師：生活習慣についてお伺いします。お仕事や趣味で激しい運動はしますか？  
38. 患者：デスクワーク中心で、運動はほとんどできてません。  
39. 医師：お酒やたばこについてはどうですか？  
40. 患者：お酒はたまに飲む程度で、たばこは吸いません。  
41. 医師：今回の症状について何か特に心配されていることはありますか？  
42. 患者：このまま動けなくなるんじゃないかと心配です。  
43. 医師：診察させていただきます。腹部や顔に特徴的な脂肪のたまりがあるようです。  
44. 患者：はい、これも気になっていました。普通じゃないですよね？  
45. 医師：筋力を確認しましたが、上半身と下半身の筋力低下が顕著です。  
46. 患者：やっぱり、うまく力が入らないんです。  
47. 医師：血圧やお体全体から見ると、ホルモン異常の可能性があります。  
48. 患者：ホルモンですか。それでこんな風になるんですか？  
49. 医師：血液検査と画像検査の結果から、右の副腎の腫瘍によるCushing症候群という病気だとわかりました。  
50. 患者：そうなんですね。Cushing症候群ってどんな病気なんですか？"
