"1. 医師：今日はどのような症状で来院されましたか？
2. 患者：最近、青あざができやすくて、筋力がすごく落ちているんです。
3. 医師：筋力の低下はいつから感じられましたか？
4. 患者：約6か月前からです。
5. 医師：特にどの部分の筋力が落ちていますか？
6. 患者：下肢、特に太ももがすごく弱くなっている感じがします。
7. 医師：青あざはどのくらいの頻度でできていますか？
8. 患者：最近は頻繁にできていて、気づいたらいつの間にかできていることが多いです。
9. 医師：仕事や日常生活に支障は出ていますか？
10. 患者：はい、普通の生活が難しくなってきています。
11. 医師：具体的にはどのような場面で困っていますか？
12. 患者：階段を上るのが辛くなったり、重いものを持つのが難しいです。
13. 医師：食欲や体重の変化はありますか？
14. 患者：最近、体重が増えてきました。
15. 医師：それは気になっていましたか？
16. 患者：はい、特にお腹周りについたのが気になります。
17. 医師：以前に何か病歴はありますか？
18. 患者：甲状腺機能低下症の診断を受けて、今はレボチロキシンを服用しています。
19. 医師：服用しているお薬はどのくらいの期間ですか？
20. 患者：もう何年も飲んでいます。
21. 医師：他に気になる症状はありますか？
22. 患者：いえ、今のところはそれくらいです。
23. 医師：お母様やご家族から何か同じような症状を聞いたことはありますか？
24. 患者家族：そうですね、青あざができていたり疲れやすいのは伝えていました。
25. 医師：最近の生活はどうですか？ストレスなどは感じていますか？
26. 患者：仕事が忙しくて、ストレスは結構あります。
27. 医師：ストレスが影響している可能性もありますね。
28. 患者：そうかもしれません。
29. 医師：運動はしていますか？
30. 患者：最近は全然できていません。
31. 医師：最後に運動をしたのはいつですか？
32. 患者：数ヶ月前です。
33. 医師：それでは、身体を拝見させていただきますね。
34. 患者：はい、お願いします。
35. 医師：血圧は130/80 mmHg、脈拍は78回で安定していますね。
36. 患者：よかったです。
37. 医師：皮膚が薄く見えます。青あざも確かにありますね。
38. 患者：やっぱりそうなんです、気になります。
39. 医師：腹部にも脂肪がついている印象がありますね。
40. 患者：そうなんです、特にお腹がぽっこりしています。
41. 医師：下肢の筋力を測定してみましょう。
42. 患者：わかりました、どうぞ。
43. 医師：大腿部の筋力低下が見られます。
44. 患者：やっぱり落ちているんですね。
45. 医師：血液検査を行いましょう。結果が気になりますね。
46. 患者：はい、早く知りたいです。
47. 医師：検査の結果、コルチゾールが高いことが分かりました。
48. 患者：それは何か悪いことですか？
49. 医師：ACTHも測定したところ、低値でした。
50. 患者：それはどういう意味なんですか？
51. 医師：Cushing症候群の可能性が考えられますね。
52. 患者：Cushing症候群……？それはどういう病気ですか？"
