"1. 医師：今日はどうされましたか？ 
2. 患者：体重が増えて、すごく疲れやすいです。 
3. 医師：いつからそのように感じますか？
4. 患者：3ヶ月前くらいからです。 
5. 医師：その間に食事の内容は変わりましたか？ 
6. 患者：いいえ、変わっていません。 
7. 医師：どのくらい体重が増えましたか？ 
8. 患者：約5kg増えました。 
9. 医師：それは日常生活に影響していますか？
10. 患者：はい、特に疲れを感じます。 
11. 医師：倦怠感は一日中続きますか？ 
12. 患者：はい、朝起きても疲れている感じです。 
13. 医師：高血圧の既往歴があると伺いましたが、他に病歴はありますか？
14. 患者：特に他の病気はありません。 
15. 医師：最近、冷えや皮膚の変化は感じていますか？ 
16. 患者：はい、皮膚が乾燥しています。 
17. 医師：髪の毛も変わりありますか？ 
18. 患者：最近、抜けやすくなっています。 
19. 医師：それは気になりますね。 
20. 患者：はい、ちょっと不安です。 
21. 医師：血圧はどうですか？ 
22. 患者：医者には135/85 mmHgと言われました。 
23. 医師：普段から血圧の測定はしていますか？ 
24. 患者：時々、家で測ります。 
25. 医師：その他に、特に気になる症状はありますか？
26. 患者：特にはないです。 
27. 医師：最近のストレスや生活の変化はありましたか？ 
28. 患者：仕事が忙しくなって少しストレスを感じています。 
29. 医師：それが影響しているかもしれませんね。 
30. 患者：そうかもしれません。 
31. 医師：お食事はどうですか？偏りはありますか？ 
32. 患者：特にはないですが、外食が増えています。 
33. 医師：運動はしていますか？ 
34. 患者：あまりできていません。 
35. 医師：普段はどんな運動をしていましたか？ 
36. 患者：ウォーキングが好きでした。 
37. 医師：それはいいですね。なぜその運動ができないと思いますか？ 
38. 患者：時間が取れなくて。 
39. 医師：少しずつでも取り入れると良いですよ。 
40. 患者：はい、そうしてみます。 
41. 医師：検査を行ってみる必要がありますね。 
42. 患者：何の検査ですか？ 
43. 医師：甲状腺の検査を含める予定です。 
44. 患者：甲状腺って、具体的にどんなことですか？ 
45. 医師：甲状腺ホルモンのバランスを調べます。 
46. 患者：それで何かわかるんですね。 
47. 医師：はい、何か異常があれば、今後の方針が決まります。 
48. 患者：それは心配です。 
49. 医師：結果が出たら、しっかりお話ししましょう。 
50. 医師：結果を見て、橋本病が疑われるかもしれません。"
