"1. 医師：こんにちは、上田さん。今日はどうされましたか？
2. 患者：3週間ほど前から首の痛みと熱が出てきて心配になって。
3. 医師：その痛みはどの部分に感じますか？
4. 患者：右側の前の方が特に痛くて、腫れている気がします。
5. 医師：発熱はどれくらい続いていますか？
6. 患者：ずっと38度以上の熱が続いてまして。
7. 医師：他にどんな症状がありますか？
8. 患者：体がだるくて何もする気になれません。
9. 医師：過去に似たような症状になったことはありますか？
10. 患者：いえ、こんなにひどいのは初めてです。
11. 医師：既往歴について教えてください。何か持病はありますか？
12. 患者：高血圧があります。薬も飲んでます。
13. 医師：どのような薬を服用されていますか？
14. 患者：降圧薬を飲んでいますが、名前はちょっと…。
15. 医師：大丈夫です。首を診せていただけますか？
16. 患者：はい、どうぞ。
17. 医師：右側の甲状腺に圧痛と腫れがありますね。
18. 患者：やっぱり腫れてますか…。
19. 医師：他にどこか痛むところはありませんか？
20. 患者：いえ、他は特にありません。
21. 医師：心拍数も少し増えているようです。
22. 患者：それは昔からあまり気にしたことなかったので…。
23. 医師：皮膚が温かくなっていますね。
24. 患者：そうなんですね、あまり意識してなかったです。
25. 医師：血液検査をしてみた結果があります。
26. 患者：何かわかったんですか？
27. 医師：白血球が少し増えていて、CRPも高いです。
28. 患者：それはどういうことですか？
29. 医師：炎症が体内で起きている可能性があります。
30. 患者：そうなんですか…。
31. 医師：甲状腺の機能も確認しました。
32. 患者：結果はどうだったんでしょう？
33. 医師：FT4とFT3が上昇し、TSHは抑制されています。
34. 患者：専門用語でよくわからないですが…。
35. 医師：甲状腺が過剰に働いているかもしれない状況です。
36. 患者：甲状腺てそんなに大事なんですか？
37. 医師：はい、ホルモンの調整をする大切な器官です。
38. 患者：それでこの症状が出てるんですね…。
39. 医師：超音波検査もしましたが、腫瘤は見つかりませんでした。
40. 患者：それは良かったです、心配してました。
41. 医師：これらの情報から亜急性甲状腺炎という診断になりました。
42. 患者：聞いたことのない病名ですが、大丈夫なんですか？
43. 医師：ステロイドを使った治療で改善が見込めます。
44. 患者：それで治るなら安心しました。
45. 医師：Prednisoloneという薬を処方します。
46. 患者：飲み方に注意が必要ですか？
47. 医師：1日15mgを飲んでみて、様子を見ましょう。
48. 患者：わかりました、ちゃんと飲みます。
49. 医師：もし症状が悪化したらすぐに来てください。
50. 患者：はい、気をつけます。ありがとうございました。"
