"1. 医師：こんにちは、本日はどうなさいましたか？  
2. 患者：最近、突然めまいや汗が出ることがあって、それがすごく怖いんです。  
3. 医師：それはいつくらいから始まりましたか？  
4. 患者：だいたい1ヶ月前くらいです。初めてのときは学校で授業中でした。  
5. 医師：その時、どんな感じだったか覚えていますか？  
6. 患者：心臓が急にバクバクして、息苦しくなって、胸がすごく締め付けられる感じがしました。  
7. 医師：その症状はどれくらい続きましたか？  
8. 患者：ピークは数分で、その後15分くらいでだいぶ楽になりました。  
9. 医師：その後、同じような症状はありましたか？  
10. 患者：はい、週に2〜3回くらいあります。特に授業中や発表のときに多いです。  
11. 医師：発作が始まるとき、何かきっかけや前触れはありますか？  
12. 患者：何となく緊張しているときが多い気がしますが、突然始まることもあります。  
13. 医師：発作のとき、他に体の症状はありますか？例えば、震えや吐き気など。  
14. 患者：手が震えたり、胸がドキドキしたりします。吐き気は特にないです。  
15. 医師：その症状が怖くて、何か生活に影響は出ていますか？  
16. 患者：はい、人前に出るのが怖くて、外に出るのを避けるようになりました。  
17. 医師：他に身体の症状があると感じたことはありますか？例えば、頭痛、体のだるさなど。  
18. 患者：特にないです。  
19. 医師：発作の間、意識を失ったことはありますか？  
20. 患者：いいえ、それはないです。  
21. 医師：発作以外のときは、いつもと変わらず過ごせていますか？  
22. 患者：はい、普通に過ごせています。  
23. 医師：ご家族に同じような症状の方はいらっしゃいますか？  
24. 患者：いえ、家族でこんな経験をした人はいません。  
25. 医師：過去に大きな病気をしたことや、精神的に辛かった経験はありましたか？  
26. 患者：特に思い当たることはありません。  
27. 医師：現在の生活で、何か大きなストレスを感じていますか？  
28. 患者：大学受験の準備で少しプレッシャーはあります。  
29. 医師：睡眠はしっかりと取れていますか？  
30. 患者：最近は夜に心配事を考えちゃうことがあって、少し寝付きが悪いんです。  
31. 医師：なるほど。それでは、過去にこういった症状で病院に行かれたことはありませんか？  
32. 患者：今回が初めてです。  
33. 医師：運動中や食後にこういった症状が出ることはありますか？  
34. 患者：いえ、それはないです。  
35. 医師：食欲や体重の変化はどうですか？  
36. 患者：特に変わりません。普通に食べられています。  
37. 医師：普段からお酒やタバコは使用されていますか？  
38. 患者：どちらも使っていません。  
39. 医師：薬やサプリメントは何か服用されていますか？  
40. 患者：ビタミンのサプリを時々飲むくらいです。  
41. 医師：最後に、ほかに何か困っていることや気になることはありますか？  
42. 患者：特にないですが、この発作がまた起きるんじゃないかと不安です。  
43. 医師：お伺いしたお話と検査結果から、心の状態が関係している可能性が高いと思います。  
44. 患者：心の状態ですか？  
45. 医師：そうですね。これはパニック障害という病気の可能性があります。  
46. 患者：パニック障害？それってどんな病気ですか？  
47. 医師：突然強い不安感や身体症状が起こる病気です。ただし、治療で十分改善することが期待できます。  
48. 患者：それは良かったです。でも治るんでしょうか？  
49. 医師：必要な説明や生活指導、そして薬物療法で多くの方が改善しています。ぜひ治療を始めましょう。  
50. 患者：わかりました。よろしくお願いします。  "
