"1. 医師：今日はどうされましたか？  
2. 患者：最近、急に心臓がドキドキして、胸が苦しくなることがあるんです。  
3. 医師：それはいつ頃から始まりましたか？  
4. 患者：1週間くらい前からです。仕事中に上司と喧嘩してから変なんです。  
5. 医師：その時、具体的にはどんな症状がありましたか？  
6. 患者：突然、心臓が飛び出しそうにドキドキして、息も苦しくなりました。汗もすごく出てきて、死ぬんじゃないかと思ったんです。  
7. 医師：その時の症状は、どのくらいの時間続きましたか？  
8. 患者：30分くらいで自然に収まったと思います。  
9. 医師：その後も同じ症状が出ていますか？  
10. 患者：はい。自宅でも、通勤途中でも急に来るようになりました。  
11. 医師：その症状が出るとき、何か共通点はありますか？  
12. 患者：特に思い当たることはないんですが、外にいるときが多い気がします。  
13. 医師：そうですか。外出するのが怖くなったりしていますか？  
14. 患者：はい、また起こったらどうしようと思って怖いんです。  
15. 医師：これまでに同じような経験をしたことはありますか？  
16. 患者：いいえ、これが初めてです。  
17. 医師：体に他に気になる症状はありますか？頭痛やめまいなどは？  
18. 患者：特にないです。ただ息苦しさと動悸が一番辛いです。  
19. 医師：ご家族や身近な方に体調について相談されましたか？  
20. 患者：母に少し話しましたが、ストレスだろうって言われました。  
21. 医師：最後に健康診断を受けたのはいつですか？問題はありませんでしたか？  
22. 患者：つい最近ですが、特に問題はありませんでした。  
23. 医師：過去に何か大きな病気や手術をしたことはありますか？  
24. 患者：いいえ、特にありません。  
25. 医師：普段の生活で睡眠や食事に問題はありますか？  
26. 患者：少し寝つきが悪くなったくらいです。  
27. 医師：カフェインやアルコールをよく摂りますか？  
28. 患者：コーヒーは1日1杯くらい、アルコールはあまり飲みません。  
29. 医師：仕事のストレスや日常でのストレスはどうですか？  
30. 患者：最近、仕事のストレスが特に多くて、上司とも衝突が多いです。  
31. 医師：お仕事以外でリラックスできる時間や趣味などはありますか？  
32. 患者：趣味はありますが、最近は疲れてできていません。  
33. 医師：その疲れを感じるようになったのも1週間前からですか？  
34. 患者：そうですね、それくらいです。  
35. 医師：ご自身で何か症状を和らげる工夫をしていますか？  
36. 患者：深呼吸してみたりしますが、あまり効果がありません。  
37. 医師：症状の頻度が高くなる時間帯はありますか？  
38. 患者：特に決まっていないけど、外に出るときが多い気がします。  
39. 医師：息苦しさについて、他の症状、例えば胸の痛みなどはありますか？  
40. 患者：胸が締め付けられるような感じにはなりますけど、痛いわけではないです。  
41. 医師：他にお薬や薬局で購入したものを飲まれていますか？  
42. 患者：いいえ、何も飲んでいません。  
43. 医師：症状が出ると日常生活にどのくらい影響がありますか？  
44. 患者：外出するのが怖くて、最近は会社にも行けなくなりそうです。  
45. 医師：症状が続いていることに対してどんな不安を感じていますか？  
46. 患者：また発作があれば自分じゃどうしようもないと思うと不安です。  
47. 医師：息苦しさですが、冷たい水を飲むなどで楽になったりしますか？  
48. 患者：いいえ、そういうのは何もしていません。  
49. 医師：症状が始まると何か兆候がありますか？  
50. 患者：急に来るので、あまり予兆はないです。
51. 医師：お話を伺ったり、検査の結果から判断するに、これはパニック障害の可能性が高いですね。"
