"1. 医師：今日はどうされましたか？
2. 患者：最近、息切れやすくて疲れが取れないんです。
3. 医師：いつ頃からその症状がありますか？
4. 患者：数ヶ月前からです。特に仕事の後がつらいです。
5. 医師：呼吸困難はどの時点で悪化しますか？
6. 患者：夕方になるとひどくなります。
7. 医師：他に何か気になる症状はありますか？
8. 患者：まぶたが重く感じたり、体の力が抜けたりします。
9. 医師：日常生活でどのような影響がありますか？
10. 患者：しょっちゅう休まないといけなくなりました。
11. 医師：ご家族の方はどうおっしゃってますか？
12. 患者家族：とにかく疲れやすくなったとこぼしてます。
13. 医師：既往症として何か持ってらっしゃいますか？
14. 患者：糖尿病がありますが、それ以外は特に。
15. 医師：糖尿病の管理はうまくいっていますか？
16. 患者：まあ、薬はちゃんと飲んでいます。
17. 医師：筋力低下はいつ頃から気になり始めたんですか？
18. 患者：しばらく前から感じてますが、最近ひどくなってます。
19. 医師：休んだ後に筋力が戻ることはありますか？
20. 患者：そうですね、少し休むと少し良くなります。
21. 医師：眼瞼下垂はいつからですか？
22. 患者家族：ここ数ヶ月で目立つようになりました。
23. 医師：嚥下困難を感じることはありますか？
24. 患者：時々喉に力が入らなくて飲み込みにくいです。
25. 医師：喉が乾くことはありますか？
26. 患者：特に乾くことはないですが、飲み込みが難しいです。
27. 医師：具体的にどのような活動がつらいですか？
28. 患者：階段を上るのがとにかくしんどいですね。
29. 医師：現在のお仕事は何ですか？
30. 患者：以前はもっと楽に働けたんですが、今は工場勤務です。
31. 医師：家ではどうですか？家事などは？
32. 患者：妻のヘルプがないと家事も難しいです。
33. 医師：趣味やリラックスできる場面ではどう感じますか？
34. 患者：趣味の時間でも疲れがたまる感じがします。
35. 医師：食生活はいかがですか？
36. 患者：普通に食べているつもりですが、ご飯を残すことも。
37. 医師：アルコールやタバコは？
38. 患者：どちらも特に嗜むことはないです。
39. 医師：ご家族に同じような病状の方はいますか？
40. 患者：特にいませんね。
41. 医師：最近、体重は減ってきていませんか？
42. 患者：ちょっと減ったかもしれないです。
43. 医師：他に何かご不安なことはありますか？
44. 患者：とにかくこの状態がどうなるのか不安です。
45. 医師：以前、抗アセチルコリン受容体抗体の検査を受けたことは？
46. 患者：受けた覚えはないですね。
47. 医師：胸部CTで何か指摘されたことは？
48. 患者：特にそんなこと言われたことないです。
49. 医師：検査結果に基づき、重症筋無力症が疑われます。
50. 患者：どういった治療が必要になるんでしょうか？"
