"1. 医師：今日はどうされましたか？  
2. 患者：最近、呼吸が苦しい感じがして、疲れやすいんです。  
3. 医師：いつ頃からその症状を感じるようになりましたか？  
4. 患者：2か月くらい前からです。特に階段を登るとすぐに疲れてしまいます。  
5. 医師：疲労感は以前と比べてどうなっていますか？悪化していますか？  
6. 患者：そうですね、今は夕方になるともっとひどくなります。  
7. 医師：他に気になる症状はありますか？  
8. 患者：最近では咀嚼したり話したりすると顎がだるくなる感じがあります。  
9. 医師：それはいつから感じるようになりましたか？  
10. 患者：1～2週間前くらいからですね。  
11. 医師：その症状はずっと続いていますか？それとも良い時と悪い時がありますか？  
12. 患者：休むと少し良くなる気がしますが、またすぐだるくなります。  
13. 医師：ほかに新しい症状はありますか？  
14. 患者：視界が二重に見えることが増えてきました。  
15. 医師：いつからそうなりましたか？  
16. 患者：1週間前くらいからです。それとまぶたが下がる感じもして…。  
17. 医師：まぶたが下がるのは一日中感じますか？それとも特にある時間帯ですか？  
18. 患者：疲れるとひどくなりますね。特に夜とか夕方。  
19. 医師：呼吸が苦しいと感じるのはいつ頃からですか？  
20. 患者：それもここ1週間くらいです。前より悪化してる気がします。  
21. 医師：息苦しさはずっと続いていますか？それとも特定の時だけですか？  
22. 患者：動くと特に感じますが、安静時も少し苦しいです。  
23. 医師：ほかに体のだるさや力が入らない部分などはありますか？  
24. 患者：腕とか足とか、とくに登ったり重いものを持つとすぐ疲れます。  
25. 医師：最近、体重の変化や食欲の変化はありましたか？  
26. 患者：いいえ、特に変わったことはありません。  
27. 医師：これまでに大きな病気をされたことはありますか？  
28. 患者：糖尿病があります。でも食事でコントロールしてるので特に悪化はないと思います。  
29. 医師：お薬は今何か飲まれていますか？  
30. 患者：糖尿病には特に薬は使ってなくて、食事療法だけです。  
31. 医師：家族に同じような症状の方はいらっしゃいますか？  
32. 患者：いいえ、家族にはいないと思います。  
33. 医師：最近、感染症にかかったり、特に風邪を引いたりしましたか？  
34. 患者：特にそのようなことはなかったですね。  
35. 医師：お仕事や家庭での大きなストレスなどはどうですか？  
36. 患者：仕事は忙しいですが、特に大きなストレスはないです。  
37. 医師：例えば長く話し続けると声が変になったり、出しにくくなったりしませんか？  
38. 患者：そういえば話しているうちに声がかすれる感じがあります。  
39. 医師：いま顔の筋肉が疲れたり、動きにくいと感じることはありませんか？  
40. 患者：はい、目とか口まわりが特に疲れる感じです。  
41. 医師：歩く時や階段を登ったときに、脚の筋力が落ちていると感じますか？  
42. 患者：そうですね、すぐに疲れちゃって。登るのがしんどいです。  
43. 医師：腕をあげ続けるのはどうですか？例えば棚のものを取るとき。  
44. 患者：腕も疲れやすくて長くあげてられません。  
45. 医師：これまでに似た症状があったことはありますか？  
46. 患者：いえ、こんなのは初めてです。  
47. 医師：症状が良くなると感じたのはどんな時ですか？  
48. 患者：休むと少し楽になります。でもまた動くとだるさが戻ってきます。  
49. 医師：視界が二重に見えるのは右目、左目のどちらが主に影響しますか？  
50. 患者：両方ともです。でも特に右目がひどいかもしれません。  
51. 医師：これまでのお話や検査結果から、重症筋無力症（Myasthenia gravis）の可能性が高いですね。  "
