"1. 医師：こんにちは、今日はどのようなことでお困りですか？  
2. 患者：右手が震えるのと、歩くときに足が出にくい気がして。  
3. 医師：いつ頃からその症状に気づきましたか？  
4. 患者：1年くらい前から気づいていました。  
5. 医師：その震えは常に感じていますか？それとも特定の状況で目立ちますか？  
6. 患者：座っているときや何もしていないときに目立つんです。  
7. 医師：震え以外に、例えば箸を使うときや字を書くときに困ることはありますか？  
8. 患者：最近、細かい動きが少し苦手で、箸を持つのもぎこちなくなってきました。  
9. 医師：歩くときに足が出にくいとのことですが、どういった場面で感じますか？  
10. 患者：普通に歩こうとすると、足が重い感じがしてスムーズに動かないんです。  
11. 医師：症状は右と左で違いがありますか？  
12. 患者：右の方が重い気がします。左はあまり気になりません。  
13. 医師：そのほかに転んだことや足がふらつくことはありましたか？  
14. 患者：まだ転んだことはありませんが、ふらつく感じが少しあります。  
15. 医師：職場やご家庭で疲れやすくなったり、日常動作に支障がある感じはありますか？  
16. 患者：最近、歩くのも食事するのも少し手間がかかるようになりました。  
17. 医師：そのほかに何か体調の変化や困りごとはありますか？  
18. 患者：疲れやすさとか便秘が増えてきた気がします。  
19. 医師：便秘は最近始まったものですか？頻度や重さはどうですか？  
20. 患者：1、2年前から少しずつ悪くなっている感じです。  
21. 医師：これまでに似たような症状で病院にかかったことはありますか？  
22. 患者：いいえ、初めてです。  
23. 医師：持病や飲んでいるお薬はありますか？  
24. 患者：高血圧で薬を飲んでいます。名前はちょっと忘れてしまいましたが、血圧を下げる薬です。  
25. 医師：飲酒や喫煙の習慣はありますか？  
26. 患者：タバコもお酒もやりません。  
27. 医師：ご家族の中で似たような症状をご経験された方はいらっしゃいますか？  
28. 患者：いないと思います。  
29. 医師：夜間眠れない、あるいは途中で目が覚めるようなことはありますか？  
30. 患者：最近は寝つきが悪い気がしますが、大きな問題は感じていません。  
31. 医師：日中、体が勝手に動いてしまうようなことや、不随意運動はありませんか？  
32. 患者：特にありませんが、震えが止まらないのが気になります。  
33. 医師：震え以外に右手の動きが悪く感じることはありますか？  
34. 患者：はい、物を持つのにも少し力が入りにくい感じです。  
35. 医師：文字を書くときの字が小さくなったとか、書きにくさを感じたことはありますか？  
36. 患者：言われてみれば、字が小さくなったなと家族にも言われましたね。  
37. 医師：歩いているとき、手が揺れる動きが少ないことにお気づきですか？  
38. 患者：そうなんです。気がつくと手が固まったままみたいで。  
39. 医師：右手の震えは、物を持ったり動かしたりするとどうなりますか？  
40. 患者：動かすと少し落ち着くけど、じっとしていると震えます。  
41. 医師：頭を動かしたり、後ろを振り向いたときにつまずいたりすることはありますか？  
42. 患者：まだそういうことはないです。  
43. 医師：普段の生活の中で、ご家族は何か特に気づいたことをおっしゃっていますか？  
44. 患者家族：食べこぼしや動作のゆっくりさが目立ってきたように感じます。  
45. 医師：食事や更衣動作も以前より時間がかかる感じですか？  
46. 患者家族：はい、すごく時間がかかっていて、手元も震えています。  
47. 医師：診察を行った結果からですが、右側の手足に特に筋肉の固さや動きの遅さがあります。これは「硬直」といいます。他の検査結果も総合して考えますと、ご病気の名前が明らかになりました。  
48. 患者：先生、それはどんな病気なんですか？  
49. 医師：Parkinson病といって、脳でのドーパミンという物質が減ることを原因とする病気です。  
50. 患者：そうでしたか…。でも、この病気は治せるんですか？  "
