"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：最近、物忘れがひどくなってきたんです。  
3. 医師：いつ頃からそのような症状を感じ始めましたか？  
4. 患者：2年くらい前からですかね。それが最近もっと目立ってきました。  
5. 医師：例えば、どんなことを忘れることが多いですか？  
6. 患者：財布や鍵をどこに置いたか忘れたり数日前のことが思い出せないんです。  
7. 医師：家族との会話で何か困ることはありますか？  
8. 患者：あるみたいです。同じことを何度も聞いてしまうと言われます。  
9. 医師：新しいことを覚えるのが難しいと感じることはありますか？  
10. 患者：はい、それも家族からよく言われますね。  
11. 医師：日常生活ではどんな支障がありますか？  
12. 患者：1年前から道を間違えることが増えました。  
13. 医師：それで今は何か助けてもらうことが増えてきましたか？  
14. 患者：そうですね。近所に行く時に妻に一緒に来てもらうことが増えています。  
15. 医師：奥様にもお話を伺ってもいいですか？  
16. 患者家族：はい、もちろんです。物忘れがかなり増えており、大事な用事を忘れることもあります。  
17. 医師：具体的にはどんな出来事がありましたか？  
18. 患者家族：例えば、約束していた食事会を忘れて外出せず、気づいた時には終わっていました。  
19. 医師：会話中に同じ質問を繰り返すこともありますか？  
20. 患者家族：はい、それも元々なかったことです。特に最近ひどくなってきました。  
21. 医師：日常生活の中で他に何か気になることはありますか？  
22. 患者家族：道順を覚えられず迷子になりかけることがあります。  
23. 医師：他に健康面で気になる症状や病院に通っていることはありますか？  
24. 患者：特にないですね。体は元気です。  
25. 医師：頭痛やめまい、ふらつきはありませんか？  
26. 患者：それはありません。  
27. 医師：言葉が出にくいとか、話すのが難しいと感じることはありますか？  
28. 患者：いえ、それもありません。話すのは普通にできています。  
29. 医師：歩きにくい、手足が動きにくいと感じたことはありますか？  
30. 患者：それについても特に問題ないです。  
31. 医師：飲み込みにくいとか、食事中にむせるようなことはないですか？  
32. 患者：今のところそれはないです。  
33. 医師：夜間の睡眠はどうですか？よく眠れていますか？  
34. 患者：たまに目が覚めることはありますが、特に問題なく寝ています。  
35. 医師：日中、急に眠くなることはありますか？  
36. 患者：日中は大丈夫です。疲れた時は昼寝するくらいです。  
37. 医師：他に忘れたことが原因で困った出来事はありますか？  
38. 患者：食事の時間を忘れたり、電気を消し忘れたりすることがあります。  
39. 医師：家族として安全面について不安に感じることはありますか？  
40. 患者家族：はい、火の元や外出時が心配ですね。  
41. 医師：感情や行動に変化を感じることはありますか？  
42. 患者家族：特に変わった行動はないですが、少し短気になった気がします。  
43. 医師：いつもの趣味や活動はどうされていますか？  
44. 患者：今もやっていますが、途中で忘れてしまうことがあります。  
45. 医師：体調管理や服薬に問題はありませんか？  
46. 患者家族：今のところしっかり服薬はできています。  
47. 医師：ここまでの検査結果から判断すると、アルツハイマー型認知症の可能性が高いです。  
48. 患者：そうですか…。  
49. 医師：神経細胞の変性が進むことで物忘れや認知機能の低下がみられる病気です。  
50. 医師：治療を行いながら進行をできるだけ抑える方法を一緒に考えましょう。"
