"1. 医師：こんにちは、吉田さん。今日はどういった症状がありますか？
2. 患者：おはようございます。頭を動かすと目が回るような感じがして、特に朝起きたときがひどいんです。
3. 医師：それはお辛いですね。いつごろからその症状がありますか？
4. 患者：ちょうど一週間くらい前からです。
5. 医師：立ち上がったり寝返りを打ったりする時にめまいを感じますか？
6. 患者：はい、特に顔を起こしたり、寝返るときです。
7. 医師：他に耳鳴りや難聴はありますか？
8. 患者：いいえ、耳に関しては特に問題ないです。
9. 医師：今までに同じような症状を経験したことはありますか？
10. 患者：いや、今回が初めてです。
11. 医師：過去に頭をぶつけたりしたことはありますか？
12. 患者：特に覚えがないですね。
13. 医師：わかりました。日常生活に支障はありますか？
14. 患者：めまいがひどくて、仕事にも行けていません。
15. 医師：それは困りましたね。お薬は何か飲んでいますか？
16. 患者：高血圧と糖尿病の薬を飲んでいます。
17. 医師：血圧や血糖の管理はうまくいってますか？
18. 患者：はい、最近は安定しています。
19. 医師：他に健康上で気になることはありますか？
20. 患者：特にはないですね。
21. 医師：では、いくつか体の動きで試してみましょう。まず、頭を一定方向に回してみてください。
22. 患者：わかりました。この方向でいいですか？
23. 医師：はい、それで大丈夫です。どうですか、めまいは出ますか？
24. 患者：はい！またぐるぐる回る感じがします。
25. 医師：わかりました。眼振も確認できました。これでいくつかのテストを行っていきます。
26. 患者：お願いします。
27. 医師：次にDix-Hallpike法を行いますね。どちらか特に方向が悪いと感じますか？
28. 患者：右を向くと特にひどいです。
29. 医師：では、右側から進めましょう。やはり右後ろ側で強く反応が出ていますね。
30. 患者：そうですか。それが原因なんですね。
31. 医師：MRIやCTで特に問題はないようですが、神経のテストも行ってみましたが異常はありませんでした。
32. 患者：それを聞いて少し安心しました。
33. 医師：この症状は特に頭に影響を及ぼすようなものではないので安心してください。
34. 患者：そうですか、よかったです。
35. 医師：聴力検査も問題なかったので、耳石が原因の一つかと思われます。
36. 患者：耳石って何ですか？
37. 医師：耳の中にある小さな石のようなもので、それが位置がずれるとめまいを引き起こすことがあります。
38. 患者：なるほど、それでこんなにぐるぐるするんですね。
39. 医師：今回の症状はPosterior canal Benign Paroxysmal Positional Vertigo、つまり良性発作性頭位めまい症と思われます。
40. 患者：難しい名前ですね。でも、どうすれば治りますか？
41. 医師：Epley法という治療で耳石の位置を修正する手技を行います。それと併せて、Brandt-Daroff体操も教えます。
42. 患者：その体操は自分でもできるんですか？
43. 医師：はい、自分で簡単に行える体操です。一緒にやってみましょう。
44. 医師：それから、めまいや吐き気を和らげるために、しばらくの間抗めまい薬を出します。
45. 患者：薬は飲むのは平気です。どんな薬でしょうか？
46. 医師：Meclizineという薬で、就寝前に服用してもらいます。
47. 患者：わかりました、ありがとうございます。
48. 医師：もし症状が改善しない場合は、また相談してください。
49. 患者：はい、それまで頑張ってみます。
50. 医師：体操や薬を試してみて、日常が少しでも楽になることを願っています。では、お大事に。"
