"1. 医師：今日はどうされましたか？
2. 患者：最近、頭を動かすとめまいがするんです。
3. 医師：いつ頃からその症状がありますか？
4. 患者：数週間前からです。
5. 医師：めまいはどのような感じですか？
6. 患者：ぐるぐる回る感じです。
7. 医師：めまいが起こる時、何か特定の動きがありますか？
8. 患者：寝返りを打ったり、急に立ち上がった時です。
9. 医師：めまいはどのくらい続きますか？
10. 患者：数秒から数分程度です。
11. 医師：吐き気や嘔吐はありますか？
12. 患者：はい、吐き気を感じることが多いです。
13. 医師：耳鳴りや難聴は感じますか？
14. 患者：いいえ、そのようなことはないです。
15. 医師：めまいの症状が起きた時に、他にどんな症状がありますか？
16. 患者：頭痛ほどではないですが、少し頭が重い感じがします。
17. 医師：めまい以外の日常生活には問題ありませんか？
18. 患者：めまいが出ると動けないのでそれが困ります。
19. 医師：以前にも似た症状があったと聞いてますが？
20. 患者：はい、片頭痛は昔からありますが、今回のめまいは初めてです。
21. 医師：身体を動かさない時にめまいはどうですか？
22. 患者：特に何も感じません。
23. 医師：なるほど、体温や血圧に変化は感じますか？
24. 患者：特にないと思います。
25. 医師：現在の睡眠状況はいかがですか？
26. 患者：最近はめまいのせいで浅い感じです。
27. 医師：他に何かお困りのことはありますか？
28. 患者：めまいのせいで仕事に支障が出ているのが心配です。
29. 医師：仕事はどのような内容ですか？
30. 患者：事務仕事です。パソコンを使うことが多いです。
31. 医師：日常的に飲んでいる薬はありますか？
32. 患者：頭痛薬をたまに飲むことがあります。
33. 医師：どんな頭痛薬を使用していますか？
34. 患者：市販の鎮痛剤です。
35. 医師：最近、特にストレスを感じることはありますか？
36. 患者：特にはありませんが、少し忙しいくらいです。
37. 医師：栄養のバランスは取れていますか？
38. 患者：まあまあだと思います。
39. 医師：運動は普段していますか？
40. 患者：時間がないのでほとんどしてません。
41. 医師：過去に大きな病気の経験はありますか？
42. 患者：特にはないと思います。
43. 医師：血縁者に同様のめまいを経験した方はいますか？
44. 患者：いいえ、家族にはいません。
45. 医師：最近、風邪などで病院に行かれましたか？
46. 患者：特に体調は変わりませんでした。
47. 医師：それでは、神経学的な検査を一緒に進めてみましょう。
48. 患者：わかりました。お願いします。
49. 医師：検査の結果、良性発作性頭位性眩暈症の可能性があります。
50. 患者：それはどういった病気ですか？
（以下は、診断説明後の追記事項になるので、ここで終了します。）"
