"1. 医師：今日はどうされましたか？  
2. 患者：2日前からズキズキする頭痛が続いていて、生活するのがつらいんです。  
3. 医師：頭痛はどの部分に感じますか？  
4. 患者：頭の片側だけです。右側が多いですね。  
5. 医師：頭痛が始まる前に何か前兆のようなものがありましたか？  
6. 患者：はい、始まる前に照明がすごく眩しく感じました。  
7. 医師：視覚が変化したり、視野が狭くなることはありましたか？  
8. 患者：はい、一部見えにくくなる感じがしました。  
9. 医師：頭痛が始まってから他にどんな症状がありますか？  
10. 患者：音や光に敏感で、寝ていても大変です。  
11. 医師：普段の活動や眠ることに影響はありますか？  
12. 患者：はい、全然集中できないし、寝るのも難しいです。  
13. 医師：以前にも似たような頭痛を経験したことはありますか？  
14. 患者：中学生の頃からたまにあります。  
15. 医師：どのくらいの頻度で起こりますか？  
16. 患者：最近は半年で3回くらいです。  
17. 医師：その頭痛はいつも同じような感じですか？  
18. 患者：はい、いつも片側がズキズキして、光や音がつらいです。  
19. 医師：その時、何をすると症状が楽になりますか？  
20. 患者：暗い部屋で寝るか、市販の鎮痛薬を飲むと少し楽になります。  
21. 医師：ひどいときには吐き気や嘔吐はありませんか？  
22. 患者：はい、吐き気を感じることが多いですけど嘔吐はないです。  
23. 医師：頭痛が始まりやすい状況やきっかけを感じたことはありますか？  
24. 患者：うーん、試験の前などストレスが多い時期に起こることが多いです。  
25. 医師：頭痛が起きた時、運動や動くことで症状が悪化しますか？  
26. 患者：動くともっとひどくなるので横になります。  
27. 医師：家族で同じような頭痛を経験している人はいますか？  
28. 患者：母が私と似たような頭痛があると言っています。  
29. 医師：他に健康上の問題があったり、治療を受けたことはありますか？  
30. 患者：特にありません、小児期に片頭痛と聞いたことがあるくらいです。  
31. 医師：食欲や体重の変化などはありますか？  
32. 患者：いいえ、特別な変化はないです。  
33. 医師：普段よく眠れていますか？睡眠パターンに問題はありませんか？  
34. 患者：最近は少し寝不足ですが、普段は特に問題ないです。  
35. 医師：頭痛の前後に花粉や匂いなど何か特定の刺激を感じることはありますか？  
36. 患者：強い匂いや香水は少し気になります。  
37. 医師：頭痛の程度は10点満点でどのくらい強いですか？  
38. 患者：だいたい8くらいです。かなり痛いです。  
39. 医師：過去に撮影したMRIやCTなどの画像検査がありますか？  
40. 患者：いいえ、そこまでは受けたことがありません。  
41. 医師：普段の食事や飲み物でカフェインが多いものを摂取していますか？  
42. 患者：結構コーヒーを飲むことが多いです。  
43. 医師：最近、何か生活習慣の変化や大きなストレスはありましたか？  
44. 患者：大学受験を控えていてずっと勉強しています。  
45. 医師：偏頭痛以外に目や耳、喉の不調はありませんか？  
46. 患者：いいえ、特にないです。  
47. 医師：今回の頭痛が起きた時の前後にケガや事故はありませんでしたか？  
48. 患者：全然ないです。  
49. 医師：これまでに頭痛の治療で病院を訪れたことはありますか？  
50. 患者：いいえ、市販薬でなんとかしてきましたけど今回は効きません。  
51. 医師：いただいた情報から考えると、あなたの頭痛は片頭痛の可能性が高いです。"
