"1. 医師：今日はどうされましたか？
2. 患者：3週間くらい前から、右目の周りがとても痛くて。
3. 医師：痛みはどれくらい続きますか？
4. 患者：10分から3時間くらいです。
5. 医師：痛みの頻度はどんな感じですか？
6. 患者：特に夜間に、1日に数回あります。
7. 医師：痛みに伴って他の症状はありますか？
8. 患者：右側の鼻水や、まぶたが腫れることがあります。
9. 医師：その症状は急に始まりましたか？
10. 患者：はい、急に始まって1～2週間続きます。
11. 医師：その後、いったん軽くなるんですか？
12. 患者：そうです、自然に軽くなりますが、また同じ症状が出てきます。
13. 医師：頭痛の間、涙がたくさん出ることはありますか？
14. 患者：ええ、やたら泣いているように見えるくらい涙が出ます。
15. 医師：発熱や他の体調不良はありませんか？
16. 患者：特に熱は出ていません。
17. 医師：普段の血圧はご存知ですか？
18. 患者：はい、少し高めと言われています。
19. 医師：他に健康上で気になることはありますか？
20. 患者：特にありませんが、運動不足かもしれません。
21. 医師：頭痛が起こる前に何か特別なことはありましたか？
22. 患者：特に思い当たることはないですね。
23. 医師：仕事や生活でストレスを感じることはありますか？
24. 患者：多少はありますが、普通だと思います。
25. 医師：MRIやCTの検査を行いましたか？
26. 患者：はい、問題はないと言われました。
27. 医師：異常がないと聞いて少し安心ですね。
28. 患者：そうなんですが、痛みがあまりに酷くて困っています。
29. 医師：それは辛いですね。飲んでいる薬はありますか？
30. 患者：痛み止めを試しましたが、効きませんでした。
31. 医師：診察の結果、群発頭痛の可能性が高いです。
32. 患者：えっ、そうなんですか？初めて聞きました。
33. 医師：はい、群発頭痛というのは激しい痛みが特徴です。
34. 患者：どのように治療できますか？
35. 医師：急性期には注射でSumatriptanを使います。
36. 患者：それで痛みが和らぐんですか？
37. 医師：個人差はありますが、多くの場合改善が見られます。
38. 患者：それを試してみたいです。
39. 医師：酸素吸入療法も有効です。
40. 患者：それはどんな治療ですか？
41. 医師：高濃度の酸素を吸入することで、痛みを和らげます。
42. 患者：それなら安心できますね。
43. 医師：予防のためにVerapamilも使用します。
44. 患者：毎日服用しなければならないですか？
45. 医師：はい、発作を予防するための薬です。
46. 患者：分かりました、それで生活は良くなりますか？
47. 医師：多くの患者で発作の頻度が減少します。
48. 患者：それは良いですね。
49. 医師：何か質問や不安なことはありますか？
50. 患者：今はないですが、また何かあればお願いします。"
