"1. 医師：こんにちは、中村さん。今日はどうされましたか？
2. 患者：最近、激しい頭痛が何度も起きて困っていて。
3. 医師：どんな感じの頭痛ですか？
4. 患者：右の目の奥がすごく痛くなって、突然始まります。
5. 医師：その頭痛はどれくらい続きますか？
6. 患者：大体1時間くらいで自然に治るんですが、1日に何回も起きるんです。
7. 医師：最初にこの頭痛が起きたのはいつですか？
8. 患者：2週間くらい前からですね。
9. 医師：日中と夜間のどちらによく起こりますか？
10. 患者：日中も夜中も突然始まるんです。
11. 医師：痛くなる前に何か前兆はありますか？
12. 患者：特にないです。始まってからすぐに痛みが激しくなります。
13. 医師：鼻の症状はありますか？
14. 患者：右側だけ鼻が詰まる感じがします。
15. 医師：そのほかに症状はありますか？
16. 患者：右のまぶたがむくんだり、涙が出たりします。
17. 医師：これまでに似たような頭痛を経験したことはありますか？
18. 患者：いいえ、こんな頭痛は初めてです。
19. 医師：お薬を飲んだりしていますか？
20. 患者：頭痛薬を飲みましたが、効き目はあまりありません。
21. 医師：既往歴や他の病気で気になるところはありますか？
22. 患者：特にないです。
23. 医師：喫煙歴について教えていただけますか？
24. 患者：10年くらい、1日10本ほど吸っています。
25. 医師：この頭痛が起きる直前に特別なことはしましたか？
26. 患者：特に思い当たることはないですね。
27. 医師：この頭痛以外に体調の変化はありますか？
28. 患者：今のところ、他には変わりないです。
29. 医師：神経学的な症状や麻痺は感じましたか？
30. 患者：いいえ、そういった症状はないです。
31. 医師：発作が起きているときに家族は何か感じていましたか？
32. 患者家族：目やまぶたが腫れているのを見て、涙目になっていると言っていました。
33. 医師：なるほど、鼻閉はどれくらい続きますか？
34. 患者：頭痛があるときに感じるだけです。
35. 医師：他に違和感のある症状はありませんか？
36. 患者：特にないです。ただ頭痛がつらいです。
37. 医師：生活に支障が出ていますか？
38. 患者：夜中の発作で眠れず、日中も集中できないです。
39. 医師：頭痛発作の間隔や頻度は変わりましたか？
40. 患者：ここ数日は頻度が多くなっています。
41. 医師：ご家族で頭痛を持っている方はいますか？
42. 患者：親や兄弟は頭痛持ちではないです。
43. 医師：最後に、どんなことがあれば発作的に痛むことが多いですか？
44. 患者：本当に突然始まるので、心当たりはないです。
45. 医師：では、検査結果からの大きな異常は見つかりませんでしたが、考えられることをお話します。
46. 患者：よろしくお願いします。
47. 医師：症状や経緯から群発頭痛の可能性が高いと考えています。
48. 患者：群発頭痛ですか。初めて聞きますが。
49. 医師：はい、発作時に治療できる方法がありますので、お話しさせてください。
50. 患者：ぜひお願いします。"
