"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：最近、立ちくらみや気を失うことがあって、不安で来ました。  
3. 医師：どんなときにその症状が起きますか？  
4. 患者：特に満員電車で立っているときに起きました。  
5. 医師：そのとき、どんな感じがしましたか？  
6. 患者：まずめまいがして、急に気持ち悪くなり、気を失ったんです。  
7. 医師：その意識消失はどのくらいの時間続きましたか？  
8. 患者：30秒ほどで自然に目が覚めました。  
9. 医師：その後何か違和感はありましたか？  
10. 患者：少し体がだるかったですが、会話は普通にできました。  
11. 医師：最近、食事や水分はしっかり摂れていますか？  
12. 患者：はい、普段通り食べていますし、水も十分飲んでいます。  
13. 医師：何か特別に疲れていたり、ストレスが多かったりは？  
14. 患者：特別な疲れやストレスもないと思います。  
15. 医師：倒れたときに怪我をしたり、転ぶことはありましたか？  
16. 患者：転ぶことはありませんでした。  
17. 医師：これまで同じようなことが起きたことはありますか？  
18. 患者：2週間前くらいから、時々動悸を感じていましたが、それくらいです。  
19. 医師：その動悸はどんな感じでしたか？例えば速い感じ？強い感じ？  
20. 患者：速くなる感じがありましたが、ほんの短時間で収まります。  
21. 医師： 運動中や夜間に突然症状が出ることは？  
22. 患者：いいえ、立っているとき以外は大丈夫です。  
23. 医師： 以前に心臓や血圧の病気を診断されたことはありますか？  
24. 患者：いいえ、特にありません。  
25. 医師：家族に似たような症状や心臓の病気を持っている方はいますか？  
26. 患者：特に家族には聞いたことがないです。  
27. 医師：電車での出来事以外でも立っていて気分が悪くなることはありますか？  
28. 患者：はい、長時間立っていると少しフラッとすることがありますが、倒れるほどではありません。  
29. 医師：最近、高温の場所や蒸し暑い環境にいることはありましたか？  
30. 患者：今は寒くなってきているので、特に暑い環境にはいません。  
31. 医師：体調が悪いとき、頭痛や吐き気は感じますか？  
32. 患者：時々吐き気は感じますが、頭痛はないです。  
33. 医師：症状が出る前、息切れや胸の痛みは感じましたか？  
34. 患者：特にないですね。  
35. 医師：ほかに体がだるくなったり力が抜けたりすることは？  
36. 患者：倒れた後は少し脱力を感じましたが、それ以外は大丈夫です。  
37. 医師：仕事や日常生活に症状の影響は出ていますか？  
38. 患者：倒れることが不安で、人混みを避けて生活しています。  
39. 医師：前回の症状の後、何か対策を取っていましたか？  
40. 患者：特に何もしていませんが、できるだけ座るようにしています。  
41. 医師：普段塩分や水分は意識して摂っていますか？  
42. 患者：意識はしていませんが、普通に摂っています。  
43. 医師：その他、何か気になる症状や体調の変化は感じていますか？  
44. 患者：特にこれ以上はないと思います。  
45. 医師：検査結果も確認しましたが、特に心臓の病気や他の異常は見られませんでした。  
46. 患者：じゃあ、どうして倒れるんですか？  
47. 医師：診察や検査から、神経調節性失神と診断されます。  
48. 患者：それはどういうものですか？  
49. 医師：立位のときに一時的に血圧や心拍数が不安定になることで起こる、比較的よくある原因です。  
50. 患者：そうなんですね。ありがとうございます。"
