"1. 医師：今日はどうされましたか？  
2. 患者：最近、立ち上がると失神しそうになることがあるんです。  
3. 医師：それはいつからですか？  
4. 患者：約2週間前からです。  
5. 医師：具体的にはどんな時に失神しそうになりましたか？  
6. 患者：立ち上がった時や長い時間立っている時です。  
7. 医師：動悸や吐き気を感じることもありますか？  
8. 患者：はい、動悸と吐き気もよくあります。  
9. 医師：失神したことはありますか？  
10. 患者：軽く意識がぼんやりしたことはあります。  
11. 医師：症状が起こる頻度はどのくらいですか？  
12. 患者：数回です。  
13. 医師：他に感じる症状はありますか？  
14. 患者：特にはないです。  
15. 医師：普段の生活は元気ですか？  
16. 患者：はい、普段は活発に動いています。  
17. 医師：運動はしていますか？  
18. 患者：サッカーをしています。  
19. 医師：最近何かストレスを感じることはありましたか？  
20. 患者：特にありませんが、学校が忙しいです。  
21. 医師：それは大変ですね。学校の友達とはどうですか？  
22. 患者：みんなと仲良くやっています。  
23. 医師：家族はこの症状について知っていますか？  
24. 患者：はい、母が心配しています。  
25. 医師：お母さんはどういうことを心配していますか？  
26. 患者家族：この子が倒れるのではないかと心配しています。  
27. 医師：それは心配ですよね。最近の体調の変化について何かありますか？  
28. 患者：特に体調が悪いわけではないです。  
29. 医師：吐き気はご飯を食べた後にもありますか？  
30. 患者：食事後にはあまり感じないです。  
31. 医師：立っている時にふらつきを感じたことはありますか？  
32. 患者：時々、少し立ちくらみがします。  
33. 医師：それについてまた教えてもらえますか？  
34. 患者：急に立ち上がるときに感じることが多いです。  
35. 医師：最近、気温の変化があったかもしれませんね。  
36. 患者：はい、少し暑い日があります。  
37. 医師：水分は十分にとれていますか？  
38. 患者：あまり意識していなかったかもしれません。  
39. 医師：体重の変化はありましたか？  
40. 患者：特に変わっていません。  
41. 医師：持病や過去に大きな病気はありましたか？  
42. 患者：特にはありません。  
43. 医師：血液検査や心電図は受けましたか？  
44. 患者：はい、最近したばかりです。  
45. 医師：結果はどうでしたか？  
46. 患者：特に異常はないと言われました。  
47. 医師：それは良いことですね。  
48. 患者：はい、安心しました。  
49. 医師：立ちくらみの原因をもう少し調べるために、スタンディングテストをしてみましょう。  
50. 患者：わかりました。何か大事な病気ですか？  
51. 医師：今のところ、神経調節性失神の可能性があります。  
52. 患者：それってどういうことですか？  
53. 医師：血圧が立っているときに下がることが原因です。  
54. 患者：そうなんですね。気をつけます。"
