"1. 医師：こんにちは、今日はどうされましたか？  
2. 患者：最近夜全然眠れなくて困ってるんです。  
3. 医師：どのくらい前からその症状がありますか？  
4. 患者：3か月くらい前からですね。  
5. 医師：眠れないと感じるとき、具体的にどんな状態ですか？たとえば、寝つけないとか、夜中に目が覚めるとか。  
6. 患者：そうですね、寝つきが悪いのがまずありますね。それに、夜中に何度も目が覚めちゃって。  
7. 医師：夜中に目が覚める以外はどうですか？朝はどうでしょう？  
8. 患者：朝は早く目が覚めちゃって、その後また眠れないんですよ。  
9. 医師：そのせいで昼間にどんな影響がありますか？例えば疲れた感じがするとか、集中しづらいとか。  
10. 患者：昼間は頭がぼーっとしたり、イライラしちゃったりします。疲れもすごく感じます。  
11. 医師：最初はどのくらいの頻度で眠れないと感じていましたか？  
12. 患者：最初は週に2、3回くらいだったんですけど、今ではほぼ毎日眠れてない感じです。  
13. 医師：そうですか、それで日常生活に影響は出ていますか？  
14. 患者：仕事に集中できないんですよね…。それも困ってます。  
15. 医師：これまでに同じような症状があったことはありますか？  
16. 患者：いや、特に思い当たることはないですね。  
17. 医師：何か最近の出来事などでストレスを感じることがありますか？  
18. 患者：特に大きなストレスはないと思います。ただ少し忙しい時期ではありますけど…。  
19. 医師：普段の睡眠時間や生活リズムについてお聞きしてもいいですか？  
20. 患者：大体夜11時くらいには寝ようとするんですけど、眠れないから遅くなっちゃいます。朝は6時に起きてます。  
21. 医師：日中に昼寝したり、カフェインを多く取ったりしますか？  
22. 患者：昼寝はしないですね。コーヒーは結構飲みますけど、夜は控えてます。  
23. 医師：家族の中で同じように不眠に悩んでいる方はいらっしゃいますか？  
24. 患者：いませんね、家族はみんなよく寝てます。  
25. 医師：体調に変化を感じることはありますか？例えば体重の増減とか、疲れやすいとか。  
26. 患者：特に変わりはないですね。ただとにかく疲れが取れない感じです。  
27. 医師：最近、食欲はどうですか？普通に食べられていますか？  
28. 患者：食欲は問題ないですね。普段どおりです。  
29. 医師：これまでに何か病気で治療をされたことはありますか？  
30. 患者：特にないですね、大きな病気も経験していません。  
31. 医師：検査について少しお話ししますが、特に異常は見つかりませんでした。  
32. 患者：そうなんですね、少し安心しました。  
33. 医師：睡眠ポリグラフ検査というものでも、不眠の身体的な原因は認められませんでした。  
34. 患者：原因が特定できないとは思っていませんでしたが…。  
35. 医師：この症状は「原発性不眠症」が考えられます。ご存知ですか？  
36. 患者：いいえ、初めて聞きました。  
37. 医師：これは身体の病気や明確な心理的ストレスが原因でなくても、不眠が続く状態をいいます。  
38. 患者：そうですか…。  
39. 医師：まず睡眠習慣を改善する、いわゆる睡眠衛生指導をお話ししますが、試してもらったことがありますか？  
40. 患者：やってみたんですけど、あまり効果がなかったみたいで。  
41. 医師：わかりました。では薬を少し調整してみましょう。一部試した薬に基づいて、入眠と睡眠の中断を軽減する薬があります。  
42. 患者：それで変わるなら試してみたいです。  
43. 医師：RamelteonとLemborexantを夜に使う治療法を試してみたいと思います。  
44. 患者：はい、それで少しでも眠れるようになればいいんですけど。  
45. 医師：それでは、これで様子を見てみてください。先に睡眠が確保できると、日中の困った状態も改善してきます。  
46. 患者：それを聞くと少し希望が持てます。  
47. 医師：お困りの点があればまたすぐに教えてくださいね。調整しながら最善を探していきましょう。  
48. 患者：はい、よろしくお願いします。  
49. 医師：それでは、お大事になさってください。経過を一緒に見ていきましょう。  
50. 患者：ありがとうございました。"
