"1. 医師：今日はどうされましたか？  
2. 患者：2日前から熱が出て、その後息が苦しくなってきました。  
3. 医師：発熱の具体的な温度はどのくらいでしたか？  
4. 患者：最初は37.8℃くらいでした。  
5. 医師：他にどんな症状がありますか？  
6. 患者：喉が痛いのと、体がだるい感じがします。それに乾いた咳も出ます。  
7. 医師：息苦しさは発熱してすぐに始まりましたか？  
8. 患者：いいえ、次の日くらいから出て、だんだんひどくなっています。  
9. 医師：咳は痰が絡む感じですか、それとも乾いた咳ですか？  
10. 患者：乾いた咳ばかりですね。  
11. 医師：咳や息苦しさで夜間に眠れないことはありますか？  
12. 患者：眠りは浅いですけど、なんとか寝ています。  
13. 医師：倦怠感の程度はどうですか？日常生活に支障がでるくらいですか？  
14. 患者：もうすごくだるいです。動くのもひと苦労ですよ。  
15. 医師：以前から似たような症状があったことはありますか？  
16. 患者：ありません。  
17. 医師：喘息やアレルギーなど持病はお持ちですか？  
18. 患者：特にないです。  
19. 医師：タバコは吸ったことありますか？  
20. 患者：いいえ、吸ったことありません。  
21. 医師：ご家族の中で同様の症状を訴える方はいらっしゃいますか？  
22. 患者家族：いいえ、家族には誰もいません。  
23. 医師：発熱以外に何か原因になる出来事が思い当たりますか？  
24. 患者：特に思い当たることはないですね。  
25. 医師：食事や環境で新しいものに触れたとか、特別なことは？  
26. 患者：いつもと変わらない生活をしてました。  
27. 医師：学校や運動中に息苦しさが悪化することはありますか？  
28. 患者：運動どころじゃなかったのでわかりません。  
29. 医師：咳や息苦しさは座っている時や横になった時で変化しますか？  
30. 患者：横になるときつい気がします。  
31. 医師：朝や夜のどちらで症状がひどくなると感じますか？  
32. 患者：夜になると少しひどくなるように思います。  
33. 医師：体中に発疹や赤みはありませんか？  
34. 患者：特にはありません。  
35. 医師：痰が出てくるとき、血が混ざっていたり色がおかしかったりしたことがありますか？  
36. 患者：いえ、出てくる痰はないです。  
37. 医師：頭痛や関節の痛みなど、他の症状はないですか？  
38. 患者：少し頭痛がありますけど、大したことはないです。  
39. 医師：何か特定の場所や特定の行動で悪化することはありますか？  
40. 患者：移動とかで特に変わるわけじゃないです。  
41. 医師：一日にどのくらいの頻度で咳が出ますか？  
42. 患者：頻繁に出ます。数え切れないくらいです。  
43. 医師：痰が絡んで苦しい咳ではないということですね？  
44. 患者：はい、乾いた咳です。  
45. 医師：体重の変化や食欲不振はありますか？  
46. 患者：特に変わりません。  
47. 医師：先週まで何か運動をしたり、特別な行動をしたりしましたか？  
48. 患者：特別なことは何もしてないんです。  
49. 医師：呼吸困難の程度がどんどん悪化していく感じですか？  
50. 患者：はい、だんだん息が苦しくなっています。
51. 医師：分かりました。これは急性好酸球性肺炎の可能性があります。詳しい検査を進めながら治療を始めましょう。"
