"1. 医師：今日はどうされましたか？
2. 患者：両手が3か月前から痛くて、特に朝はこわばってしまいます。
3. 医師：痛みはどのあたりにありますか？
4. 患者：指の中間関節とその付け根あたりです。
5. 医師：日中の痛みはいかがですか？
6. 患者：日中は少し楽になりますが、夕方になるとまた痛くなります。
7. 医師：腫れや熱感はありますか？
8. 患者：はい、腫れていて熱っぽい感じもします。
9. 医師：関節の痛みは左右対象ですか？
10. 患者：はい、両方の手に同じような痛みがあります。
11. 医師：日常生活にどんな影響がありますか？
12. 患者：普通の家事や仕事がとても大変になりました。
13. 医師：ほかに気になる症状はありますか？
14. 患者：最近、膝もちょっと腫れているような気がします。
15. 医師：膝の痛みはどの程度ですか？
16. 患者：手ほどではないんですが、少し腫れて重い感じがあります。
17. 医師：朝以外で手が特に痛む時間帯はありますか？
18. 患者：夕方ですね。仕事の後が特に辛いです。
19. 医師：どんなお仕事をされていますか？
20. 患者：事務仕事です、パソコンをよく使います。
21. 医師：以前に関節の病気を指摘されたことはありますか？
22. 患者：いいえ、今回が初めてです。
23. 医師：家族に同じような症状の方はいらっしゃいますか？
24. 患者：母が少し似た症状を持っていたかもしれません。
25. 医師：お母様は何か特定の病気を診断されていますか？
26. 患者：リウマチの疑いがあると言われていた気がします。
27. 医師：他に持病や常用されているお薬はありますか？
28. 患者：特にないと思います。
29. 医師：最近の健康診断で何か異常を指摘されたことは？
30. 患者：特に何もありませんでした。
31. 医師：手や指を動かすと痛みは増しますか？
32. 患者：はい、動かすと痛みが増します。
33. 医師：症状が始まったきっかけは心当たりがありますか？
34. 患者：特に思い当たることはないです。
35. 医師：食事や生活習慣に変化はありましたか？
36. 患者：特に変わったことはしていないです。
37. 医師：睡眠は取れていますか？
38. 患者：夜中に痛みで目が覚めることがあります。
39. 医師：運動やリハビリをされていますか？
40. 患者：最近はできていません。
41. 医師：ストレスが増えたと感じることはありますか？
42. 患者：仕事や家庭で少しストレスが増えています。
43. 医師：普段の食事はどんなものを食べていますか？
44. 患者：普通の日本食ですが、最近は忙しくて外食が多いです。
45. 医師：関節の痛み以外に体の不調はありますか？
46. 患者：特にないとは思います。
47. 医師：最後に、最近旅行や新しい活動を始めましたか？
48. 患者：特に新しいことはしていません。
49. 医師：検査結果から、関節リウマチが疑われます。
50. 患者：そうなんですね…。どうすればいいのでしょう？"
