"1. 医師：今日はどうされましたか？  
2. 患者：手と指、特に関節が痛くて、腫れもあるんです。  
3. 医師：痛みや腫れはいつ頃から始まったんですか？  
4. 患者：3か月くらい前からですね。最初は朝起きたときに指が動かしにくかったんです。  
5. 医師：朝のこわばりはどれくらい続くんですか？  
6. 患者：1時間くらいでしょうか、それくらい動かしていると少し良くなります。  
7. 医師：それ以外に痛みが広がったりしたことはありますか？  
8. 患者：最近では手首や足首、膝の関節も痛くなってきました。  
9. 医師：腫れや熱感を感じることはありますか？  
10. 患者：はい、腫れていますし、触ると熱い感じがします。  
11. 医師：痛みは左右均等に出ていますか、それとも片側だけでしょうか？  
12. 患者：どっちもです。両方同じくらい痛いです。  
13. 医師：関節の動きはどうですか？不自由を感じますか？  
14. 患者：かなり制限されています。曲げ伸ばしが痛くて大変です。  
15. 医師：日常生活にはどのような影響がありますか？  
16. 患者：料理や掃除が難しくなってきて、歩くのも辛いです。  
17. 医師：最近疲労感やだるさを感じることはありますか？  
18. 患者：はい、全身がだるくて、家事もできない日が増えました。  
19. 医師：発熱や皮膚の異常、体重の変化はありましたか？  
20. 患者：熱はないと思いますし、皮膚にも特に変わりはないです。体重も変わっていません。  
21. 医師：ご家族で同じような症状の方はいらっしゃいますか？  
22. 患者：いいえ、家族には特に聞いたことがないです。  
23. 医師：過去に病気や手術をしたことはありますか？  
24. 患者：特に大きな手術や病気はありません。  
25. 医師：現在治療を受けている病気や服薬中の薬はありますか？  
26. 患者：いいえ、特に何もありません。  
27. 医師：食事や睡眠の状況はどうですか？  
28. 患者：食事は普通ですが、痛みで眠れない夜があります。  
29. 医師：お仕事やストレスはどうですか？  
30. 患者：最近仕事が辛くて、出勤するのが難しくなってきています。  
31. 医師：過去にリウマチや関節炎と言われたことはありますか？  
32. 患者：いえ、そういったことは初めてです。  
33. 医師：関節以外に痛みを感じる場所や症状はありますか？  
34. 患者：はい、全身が重く感じるくらいです。  
35. 医師：特に悪化する時間帯や体勢はありますか？  
36. 患者：朝が一番辛いですね。他は同じ姿勢が長いと痛みます。  
37. 医師：指のどの部分が特に痛いと感じますか？  
38. 患者：指の真ん中辺りや付け根が特に痛いです。  
39. 医師：痛みが始まったとき、怪我や打撲などの心当たりはありましたか？  
40. 患者：いいえ、全然思い当たりません。  
41. 医師：痛みが温めたり休んだりすると和らぎますか？  
42. 患者：ちょっとは楽になりますが、完全には治まりません。  
43. 医師：冷えると症状が悪化することはありますか？  
44. 患者：寒いと特に悪化しますね。  
45. 医師：動かすと余計に痛むことはありますか？  
46. 患者：そうですね、最初は動かすのが辛いです。  
47. 医師：他に何か気になる症状はありますか？  
48. 患者：それくらいです。とにかく関節が痛いのが一番困ります。  
49. 医師：長くお話しありがとうございました。現時点で関節リウマチの可能性が高いと考えます。  
50. 患者：そうですか、やはり病気なんですね…。"
