"1. 医師：こんにちは。どうされましたか？  
2. 患者：2週間くらい前から熱が出ていて、全然治らなくて…。  
3. 医師：熱はどのくらいの高さですか？  
4. 患者：38℃くらいがずっと続いています。  
5. 医師：解熱剤などを使ってみましたか？  
6. 患者：はい、でも全然効かなくて…。  
7. 医師：そうですか。他に体の症状はありますか？  
8. 患者：頬に赤い発疹が出てきました。それが広がってきています…。  
9. 医師：その発疹は、かゆみや痛みがありますか？  
10. 患者：かゆくも痛くもないです。ただ見た目が気になります。  
11. 医師：発疹が出る前に、特別な心当たりはありませんでしたか？例えば薬を飲んだり、新しい化粧品を使ったり。  
12. 患者：特に変わったことはしていないです。  
13. 医師：わかりました。それ以外に体のどこかにつらい症状はありますか？  
14. 患者：手の指とか膝がすごく痛くて…。動かすのがつらいです。  
15. 医師：関節の痛みは、いつから感じるようになりましたか？  
16. 患者：発熱が始まってからしばらくしてです。  
17. 医師：その痛みは、どの時間帯が特に強いですか？  
18. 患者：朝が一番痛いです。しばらくするとちょっと良くなりますけど。  
19. 医師：それはつらいですね。何か他に気になる変化はありますか？  
20. 患者：体重が少し減ったような気もします。だるさがずっとあります。  
21. 医師：体重はどのくらい減りましたか？  
22. 患者：2キロくらいです。  
23. 医師：ほかに皮膚に発疹や変化はありますか？  
24. 患者：手足にも紫っぽい斑点が出てます。  
25. 医師：なるほど。それは最初に出た頬の発疹と同じタイミングですか？  
26. 患者：いえ、少しあとでした。  
27. 医師：ご家族に同じような症状の方はいますか？  
28. 患者：いません。私だけです。  
29. 医師：これまでに大きな病気やアレルギーなどはありましたか？  
30. 患者：特にないです。今まで病院に行くこともほとんどなかったです。  
31. 医師：少し失礼しますね。頬と鼻のあたりを診ます。あ、発疹が蝶々の形のように見えますね。  
32. 患者：そうですか…。結構目立ちますか？  
33. 医師：少しですが、気にしなくても大丈夫ですよ。ほかの部分も診てみますね。  
34. 患者：はい…。  
35. 医師：手指と関節のところに腫れがありますね。圧痛はありますか？  
36. 患者：はい、押すと痛いです。  
37. 医師：膝のあたりはどうですか？  
38. 患者：ここも痛いですが、膝は動かせます。  
39. 医師：四肢の紫斑が少し目立ちますね。以前にも似たようなものが出たことは？  
40. 患者：いえ、今回が初めてです。  
41. 医師：リンパ節が少し腫れているようです。これは触ったり押すと痛みを感じますか？  
42. 患者：ちょっと痛い気がします。  
43. 医師：最後に、尿や便に特に変わったところは感じますか？  
44. 患者：いえ、普通です。  
45. 医師：検査結果から考えると、全身で炎症が起こっている可能性があります。  
46. 患者：そうなんですか…風邪とかではないんですか？  
47. 医師：風邪とは違うようですね。血液検査で自己免疫系の異常を示すデータもありました。  
48. 患者：自己免疫系ってなんですか？  
49. 医師：体が自分自身を攻撃してしまうような反応のことです。今回、診断としては全身性エリテマトーデス、略してSLEが疑われます。  
50. 患者：そうなんですか…。治療はあるんですか？  
51. 医師：はい、治療がありますよ。しっかりコントロールしていきましょう。"
