"1. 医師：こんにちは、梨華ちゃんはどうして今日は病院に来たのかな？
2. 患者：熱があって、咳が出てるの。
3. 医師：いつからその症状が始まったんですか？
4. 患者家族：5日前からです。
5. 医師：熱はどのくらいの高さがありますか？
6. 患者家族：だいたい39°Cくらいです。
7. 医師：咳はどんな感じですか？
8. 患者：乾いた咳が出るの。
9. 医師：夜になると咳がひどくなったりしますか？
10. 患者家族：はい、夜に特に悪くなります。
11. 医師：他にはどんな症状がありますか？
12. 患者：目が真っ赤になって、光が眩しいの。
13. 医師：目の充血が気になりますね。その他に変わったことはありますか？
14. 患者家族：2日前から口の中に白い点があるのに気づきました。
15. 医師：それは頬の内側ですか？
16. 患者家族：はい、頬の内側に白い斑点が見えます。
17. 医師：発疹はどこかに出ていますか？
18. 患者：赤いぽつぽつが耳の後ろから広がったの。
19. 医師：その発疹はかゆみがありますか？
20. 患者：少しかゆいけど、そんなにひどくないよ。
21. 医師：今までリンパ腺が腫れるとか、喉が痛いことはありましたか？
22. 患者家族：いえ、特にそれはなかったです。
23. 医師：最近何か特別なことをしたり、どこかに行かれたりしましたか？
24. 患者家族：特に変わったことはしていませんし、旅行もしていません。
25. 医師：食欲はどうですか？
26. 患者：あまり食べてないの。
27. 医師：最近何を食べるのが一番好きですか？
28. 患者：アイスが食べたいな。
29. 医師：水分はちゃんと取れていますか？
30. 患者家族：できるだけ飲ませるようにしています。
31. 医師：血液検査をして、少し白血球が増えていましたが、それ以外は大きな異常はなかったです。
32. 患者家族：それなら少し安心です。
33. 医師：麻疹特有の抗体が出ていたので、麻疹の可能性が高いと思います。
34. 患者家族：麻疹ですか？ワクチンを打っていたのですが。
35. 医師：ワクチンを打っていても、少数ですが感染することがあります。
36. 患者家族：どうやって治療しますか？
37. 医師：熱にはAcetaminophenを使って熱を下げましょう。
38. 患者家族：なるほど。で、咳はどうしましょう？
39. 医師：小児用シロップのDextromethorphanを使いますね。
40. 患者家族：水分はちゃんと与えるよう注意します。
41. 医師：はい、脱水症状を防ぐために、しっかり水分を取らせてください。
42. 患者家族：長く続きますか？
43. 医師：発疹は少しずつ良くなり、1週間ほどで治まるでしょう。
44. 患者家族：それは良かったです。熱は？
45. 医師：解熱剤の効果もあってすぐに下がると思います。
46. 患者家族：わかりました。経過に気を付けます。
47. 医師：その他に何か心配事や質問はありますか？
48. 患者家族：特にはありませんが、もうすぐ幼稚園が再開するので心配です。
49. 医師：回復後しばらくしたら、活動を再開するのは大丈夫だと思います。
50. 患者家族：ありがとうございます。頑張って看護します。"
