"1. 医師：今日はどのような症状で受診されましたか？  
2. 患者：熱と発疹、そして咳が出ています。  
3. 医師：熱はいつから出ているのですか？  
4. 患者：7日前からです。最初はちょっとだけでした。  
5. 医師：最初の熱はどのくらいの温度でしたか？  
6. 患者：39℃を超えるようになりました。  
7. 医師：咳はどんな感じですか？  
8. 患者：乾いた咳です。  
9. 医師：発疹はいつから出てきましたか？  
10. 患者：咳が出るようになってから、全身に広がりました。  
11. 医師：発疹はどのように始まりましたか？  
12. 患者：顔から始まって、全身に広がりました。  
13. 医師：食欲には影響がありますか？  
14. 患者：あまり食べられないです。  
15. 医師：お母さんやお父さんはどう言っていますか？  
16. 患者家族：彼は普段より元気がないです。  
17. 医師：具体的に、どのような行動の変化がありますか？  
18. 患者家族：普段のように走り回らないですね。  
19. 医師：咳が出る時、何か特別なことはありましたか？  
20. 患者：特に何もないです。  
21. 医師：熱はどのくらいの頻度で測っていますか？  
22. 患者：毎日測っていますが、ずっと高いです。  
23. 医師：頚部のリンパ節が腫れていることに気付いていますか？  
24. 患者：お母さんが言っていました。  
25. 医師：発疹にはかゆみや痛みはありますか？  
26. 患者：かゆくないです。  
27. 医師：咳以外の症状はありませんか？  
28. 患者：それだけです。  
29. 医師：体調が悪くて寝ていることは多いですか？  
30. 患者：はい、よく寝ています。  
31. 医師：普段飲んでいる水分は足りていますか？  
32. 患者：うーん、あまり飲んでいないかも。  
33. 医師：お母さん、家での水分摂取はどうですか？  
34. 患者家族：確かに、あまり水分を摂らせていなかったかもしれません。  
35. 医師：それは心配ですね。水分補給が大切です。  
36. 患者：入院とか、しますか？  
37. 医師：まずは自宅で様子を見たいと思います。  
38. 患者：そうなんですね。  
39. 医師：発疹はどれくらいの大きさですか？  
40. 患者：小さな赤い点みたいです。  
41. 医師：顔の発疹は特に目立ちますか？  
42. 患者：はい、鏡で見たら赤いです。  
43. 医師：自分で見えるところは他にありますか？  
44. 患者：背中にもあります。  
45. 医師：呼吸はどうですか？苦しいことはありますか？  
46. 患者：苦しくはないです。  
47. 医師：咳が出る時、何か特別なことを感じますか？  
48. 患者：特に変わりはないです。  
49. 医師：最後に、同じような症状の友達はいますか？  
50. 患者：いいえ、友達は元気です。  
51. 医師：わかりました。感染症の疑いがありますので、検査をしてみますね。  
52. 患者：はい、お願いします。  
53. 医師：結果が出たら、またお話ししましょう。  
54. 医師：実は、結果から麻疹の可能性が高いです。  
55. 患者：麻疹ってどういう病気ですか？  
56. 医師：ウイルスによって起こる病気で、発熱と発疹が特徴です。  
57. 患者：治るのにどのくらいかかりますか？  
58. 医師：通常、数週間で回復することが多いです。  
59. 患者：それなら安心です。  
60. 医師：大切なことなのでしっかり治療していきましょう。  
61. 患者：はい、頑張ります！  
62. 医師：良いですね、しっかり休んでください。"
