"1. 医師：どのような症状で来院されましたか？
2. 患者：発熱と発疹があるんです。
3. 医師：発熱はいつからですか？
4. 患者：1週間前からです。
5. 医師：最初はどのくらいの熱でしたか？
6. 患者：軽い熱でした。38度くらいでした。
7. 医師：その後、どのように症状が変わりましたか？
8. 患者：3日目から咳が出始めました。
9. 医師：咳はどのような咳ですか？
10. 患者：乾いた咳です。
11. 医師：咳が出る前に何か違和感はありましたか？
12. 患者：特には感じなかったです。
13. 医師：発疹はいつから現れましたか？
14. 患者：6日目に出たんです。
15. 医師：発疹はどんな見た目でしたか？
16. 患者：紅色で、顔から始まりました。
17. 医師：体全体に広がったとおっしゃいましたが、広がる速さはどうでしたか？
18. 患者：徐々に広がっていきました。
19. 医師：発疹はかゆいですか？
20. 患者：あまりかゆくないです。
21. 医師：食欲に変化はありましたか？
22. 患者：食べる気があまりしないです。
23. 医師：それはいつ頃からですか？
24. 患者：発熱が始まった時からです。
25. 医師：他に気になる症状はありますか？
26. 患者：倦怠感があります。
27. 医師：どれぐらい疲れを感じますか？
28. 患者：すごく疲れやすいです。
29. 医師：お家での生活には支障がありますか？
30. 患者：遊びたくても疲れてできません。
31. 医師：家族の方も様子を見ているかもしれませんね。お母さんはどう言っていますか？
32. 患者家族：最近は元気がなくて、よく寝ています。
33. 医師：お母さんがおっしゃるように、体調が悪そうですね。
34. 患者：はい、結構ぐったりしています。
35. 医師：呼吸はどうですか？息切れはありますか？
36. 患者：それはないです。
37. 医師：鼻水も出ているとお聞きしましたが、どんな感じですか？
38. 患者：ちょっと出ているけど、そんなにひどくはないです。
39. 医師：目のかゆみや充血はどうですか？
40. 患者家族：結膜が赤くなっているのも気になります。
41. 医師：口の中は痛いか、何かありますか？
42. 患者：特には痛くないです。
43. 医師：周りで風邪やインフルエンザにかかった人はいますか？
44. 患者：いないと思います。
45. 医師：最近、どこかへ旅行に行きましたか？
46. 患者：いいえ、特に行っていません。
47. 医師：ワクチン接種歴についてはご存知ですか？
48. 患者家族：今までのワクチン接種はしていません。
49. 医師：免疫がないために感染する可能性が高いですね。
50. 医師：この症状から考えると、麻疹の可能性があります。"
