"1. 医師：今日はどのような症状でお越しですか？
2. 患者：2日前から急に腹痛が出て、悪化してるんです。
3. 医師：どのあたりの痛みですか？
4. 患者：右上のお腹が痛くて、背中とか右の肩にも響きます。
5. 医師：痛みは常にありますか、それとも波のように襲ってきますか？
6. 患者：波みたいに来る感じです。
7. 医師：何かきっかけはありましたか？
8. 患者：油っぽい食事をした後から始まった気がします。
9. 医師：他にどんな症状がありますか？
10. 患者：黄色くなってきたって言われました。それに熱もあります。
11. 医師：皮膚や目が黄色くなっているのを感じますか？
12. 患者：はい、家族も黄色いって言ってます。
13. 医師：ほかに発汗や吐き気はありますか？
14. 患者：汗がよく出ますね、吐き気はないですが...
15. 医師：睡眠に影響はありますか？
16. 患者：夜中に痛みで目が覚めちゃいます。
17. 医師：痛みで体勢を変えると少しは良くなりますか？
18. 患者：体勢変えてもあまり変わらないですね。
19. 医師：最近、体重の変化はありましたか？
20. 患者：特にないと思います。
21. 医師：過去に何か似た症状はありましたか？
22. 患者：初めてですね、こんな痛みは。
23. 医師：何か持病やアレルギーはありますか？
24. 患者：特にないです。
25. 医師：お酒やタバコの習慣はありますか？
26. 患者：お酒はたまに飲むくらいで、タバコは吸いません。
27. 医師：家族に似た症状があった方はいませんか？
28. 患者：いませんね。
29. 医師：普段のお食事の内容はどんな感じですか？
30. 患者：普通だと思いますが、外食が多いです。
31. 医師：痛みが出る前に特にストレスや疲れはありましたか？
32. 患者：特に思い当たらないですね。
33. 医師：運動はどれくらいされていますか？
34. 患者：あまり運動はしていません。
35. 医師：最近、旅行や新しい場所に行ったことはありますか？
36. 患者：無いです、特に変わったことはしていません。
37. 医師：体温を測ったところ、38.5℃とのことですが、熱はいつからですか？
38. 患者：腹痛と同じくらいからですね。
39. 医師：最後におしっこの色や便の状態に変化はありますか？
40. 患者：黄色くて濃いおしっこが出るようになりました。
41. 医師：この時間になると症状が悪化することはありますか？
42. 患者：夜になると特に痛みが強くなりますね。
43. 医師：何か特定の食べ物で痛みが強くなりますか？
44. 患者：油っこいものを食べた後は確かに痛みます。
45. 医師：診察の結果から、おそらく胆石が原因の急性胆嚢炎が考えられます。
46. 患者：胆石ってどんなものなんですか？
47. 医師：胆汁の成分が固まってできる石で、痛みを引き起こすことがあります。
48. 患者：そうなんですね。治るんでしょうか？
49. 医師：治療を進めれば良くなりますので、ご安心ください。
50. 患者：それを聞いて少し安心しました。ありがとうございます。"
