"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：最近胸が痛むことがあります。数日前から軽く押されるような感じがしていて、特に歩いたりすると息切れもあります。  
3. 医師：胸の痛みはどの辺りで感じますか？押さえると痛みますか？  
4. 患者：胸の真ん中あたりです。押しても痛みは特に増えませんね。  
5. 医師：いつからその痛みが始まりましたか？  
6. 患者：4日前くらいからですかね。でも最初は軽かったんです。  
7. 医師：何をしているときに痛みを感じることが多いですか？  
8. 患者：歩いたり、階段を上るときですね。ちょっと動いたときにです。  
9. 医師：動きを止めて安静にしていると痛みはどうなりますか？  
10. 患者：じっとしていると、しばらくすると痛みが引きます。  
11. 医師：今日はその痛みがよりひどかったと聞きましたが、どのような状況でしたか？  
12. 患者：朝に階段を上ったとき、急に強い痛みが出て、冷や汗もかいてしまいました。  
13. 医師：その痛みはどれくらい続きましたか？  
14. 患者：10分くらいで治まりましたけど、また起こったらと思うと不安で。  
15. 医師：最近、動悸がしたり息切れが強くなったりすることはありますか？  
16. 患者：はい、それも時々感じます。特に体を動かした後ですね。  
17. 医師：そうですか。胸以外の部分、例えば背中や腕に痛みが広がることはありますか？  
18. 患者：いえ、胸だけですね。ほかのところは特にありません。  
19. 医師：最近、食事中や夜間に急な症状が出たことはありますか？  
20. 患者：食事中や夜は特に問題なかったです。  
21. 医師：先週に何か特別に体調を崩すようなことがありましたか？  
22. 患者：いえ、いつも通り元気でしたよ。  
23. 医師：過去に胸の痛みを感じたり、似たような症状を経験したことはありますか？  
24. 患者：前は特にありませんでした。今回が初めてです。  
25. 医師：高血圧や糖尿病、心臓にまつわる持病はお持ちですか？  
26. 患者：高脂血症があります。それで薬を飲んでいます。  
27. 医師：お薬の名前を覚えていますか？  
28. 患者：名前は忘れましたが、確かコレステロールを下げる薬だと言われています。  
29. 医師：ありがとうございます。喫煙や飲酒はされていますか？  
30. 患者：若い頃はタバコを吸っていましたが、もう20年以上前にやめました。お酒は少しだけ飲みます。  
31. 医師：それは良いですね。ご家族に心臓病や脳卒中の病歴がおありの方はいらっしゃいますか？  
32. 患者：父が脳卒中で亡くなりましたが、それ以外は特にありません。  
33. 医師：最近、ストレスを感じるようなことはありますか？  
34. 患者：少し忙しいことはありましたが、大きなストレスになるようなことはありませんでした。  
35. 医師：食事や運動について普段はどのようにされていますか？  
36. 患者：脂っこいものは控えるようにしていますが、運動はあまりできていないですね。  
37. 医師：最近、体重の増減はありましたか？  
38. 患者：特にはないです。いつも同じくらいです。  
39. 医師：ありがとうございました。じゃあ、今まで行った検査の話をしましょうか。  
40. 患者：はい、お願いします。どんな検査になるんですか？  
41. 医師：まず心電図を取った結果ですが、STが少し下がっていました。他の事も含めて見ると、心臓を圧迫している可能性が考えられます。  
42. 患者：それは心臓に何か問題があるということですか？  
43. 医師：そうですね。いまのところ、不安定狭心症の疑いが強いです。心臓に血液が届きにくくなっている状態ですね。  
44. 患者：それって大丈夫なんでしょうか？  
45. 医師：症状が管理されているので、今は安定しています。でも治療が必要です。  
46. 患者：治療はどんなものになるんですか？  
47. 医師：まず症状を和らげるために舌下で硝酸薬を使いました。それと内服薬も追加します。  
48. 患者：内服薬って安全ですか？  
49. 医師：はい、適切に使えば心臓への負担を減らし、再発を防いでくれます。  
50. 医師：不安定狭心症と診断されました。体を無理しないようにして、治療を進めていきましょう。  "
