"1. 医師：こんにちは、吉田さん。どのような症状がありますか？
2. 患者：こんにちは。3日前から熱があって、息切れがしています。
3. 医師：それは大変ですね。他に何か変わった症状はありますか？
4. 患者：味が変に感じるんです。いつも食べているものの味がわからないです。
5. 医師：息切れはいつから感じていますか？
6. 患者：ちょうど昨日くらいから強く感じ始めました。
7. 医師：最初に微熱と疲れが出たと言っていましたが、発熱はどれくらいの熱ですか？
8. 患者：最初は微熱くらいだったんですが、翌日には38.5度になりました。
9. 医師：高いですね。咳はどんな感じのものですか？
10. 患者：気が付いたらしょっちゅうせき込むようになって。
11. 医師：健康状態について、これまでに何か特別な問題があったことはありますか？
12. 患者：特に今まで病気をしたことはないです。
13. 医師：家族の方で風邪をひいている方はいますか？
14. 患者：うちはみんな元気で、体調を崩している人はいません。
15. 医師：最近どこかに出かけたことはありますか？
16. 患者：友達と外に出たくらいですかね。
17. 医師：外出したのはいつですか？
18. 患者：ちょうどこの前の日曜日です。
19. 医師：味覚の変化に気づいたタイミングはどんな時でしたか？
20. 患者：食事をしたときに味が薄く感じて、それで変だなと思いました。
21. 医師：呼吸が苦しくなる状況は特にありますか？
22. 患者：ちょっと歩いただけでも息切れしちゃいます。
23. 医師：酸素飽和度は92%ですね。少し低いですが、酸素を吸ってみましょうか。
24. 患者：お願いします。
25. 医師：体調が悪くなり始めたとき、何をしたか覚えていますか？
26. 患者：すぐに寝たんですが、あんまり良くなりませんでした。
27. 医師：飲んでいる薬やサプリメントはありますか？
28. 患者：いいえ、特にありません。
29. 医師：PCR検査の結果ですが、COVID-19の陽性でした。
30. 患者：そうなんですか…。やっぱり感染しちゃったんですね。
31. 医師：はい。今のところ軽症から中等症というところなので、適切に治療しましょう。
32. 患者：わかりました。よろしくお願いします。
33. 医師：治療には抗ウイルス薬を使います。日々の発熱にはアセトアミノフェンを頓用で使いましょう。
34. 患者：はい、飲み薬は大丈夫です。
35. 医師：酸素を少し使っていきますので、ご安心ください。
36. 患者：ありがとうございます。
37. 医師：入院が必要になりますが、ご家族には伝えてありますか？
38. 患者：いや、まだ言ってないです。
39. 医師：後ほど、病院側からもご説明しますね。
40. 患者：よろしくお願いします。
41. 医師：さて、他に何か困ったことなどありますか？
42. 患者：今のところは大丈夫です。
43. 医師：では治療を進めていきましょう。しばらくは安静に。
44. 患者：はい、わかりました。
45. 医師：味覚の回復には少し時間がかかることがあります。心配しないでください。
46. 患者：少し心配でしたが安心しました。
47. 医師：何かまた疑問があれば、言ってくださいね。
48. 患者：ありがとうございます。
49. 医師：体温が下がってきたら、活動を少しずつ増やしていきましょう。
50. 患者：わかりました、頑張ります。"
