"1. 医師：こんにちは、今日はどうされましたか？  
2. 患者：数日前から咳とだるさがひどくて、息切れもしてきたんです。  
3. 医師：咳はいつ頃から始まりましたか？  
4. 患者：3日前くらいからです。  
5. 医師：咳は何かをきっかけに出ますか？例えば運動した後や寒い場所にいる時など。  
6. 患者：特にきっかけはないですが、だんだんひどくなってきました。  
7. 医師：咳の性質はどうですか？痰が絡むような感じがありますか、それとも乾いた咳ですか？  
8. 患者：痰はほとんど出ないです。乾いた感じの咳ですね。  
9. 医師：その咳で夜眠れなくなることはありますか？  
10. 患者：夜中にも咳が出て、最近はよく眠れません。  
11. 医師：咳以外に何か体調の変化はありますか？  
12. 患者：熱もあります。昨日は38度以上出ました。  
13. 医師：体温計で測りましたか？最高で何度くらいでしたか？  
14. 患者：38.5度が最高でした。  
15. 医師：倦怠感と言われましたが、どの程度のだるさですか？普段の生活に差し支えるくらいですか？  
16. 患者：かなりつらいです。普段通りには動けない感じです。  
17. 医師：息切れはどんな時に出ますか？  
18. 患者：階段を登ろうとしたらすごく苦しくなりました。  
19. 医師：息切れは突然出ましたか、それとも徐々にひどくなりましたか？  
20. 患者：徐々にひどくなりました。  
21. 医師：他に症状はありませんか？例えば鼻水や喉の痛みなど。  
22. 患者：喉も少し痛いけど、鼻水は特に出ていません。  
23. 医師：最近、体重の減少や食欲の低下を感じますか？  
24. 患者：はい、あまり食べられなくて体重も少し減ったかも。  
25. 医師：周りに同じような症状の方はいらっしゃいますか？  
26. 患者：特にはいないと思います。  
27. 医師：最近、どこか旅行や人が多い場所に行きましたか？  
28. 患者：特に遠出はしていませんが、スーパーには行きました。  
29. 医師：喫煙の習慣はありますか？  
30. 患者：いいえ、吸いません。  
---その後も問診を進め、COVID-19の診断に至る---  
31. 医師：胸の痛みや胸が重く感じるなどの症状はありますか？  
32. 患者：胸が重い感じは少しあります。  
33. 医師：病歴をお伺いしますが、これまでに何か大きな病気や入院経験はありますか？  
34. 患者：昔、糖尿病と診断されました。  
35. 医師：糖尿病の治療は現在も続けていますか？  
36. 患者：最近治療をおろそかにしているかもしれません。  
37. 医師：ほかに持病や現在服用している薬はありますか？  
38. 患者：他には特にないです。  
39. 医師：呼吸が苦しくなる状況について詳しく教えてください。横になった時や深呼吸をした時も苦しいですか？  
40. 患者：横になっても少し苦しいです。  
41. 医師：過去に肺に関係する病気を患ったことはありますか？  
42. 患者：いいえ、特にありません。  
43. 医師：現在の症状が始まる前に、新型コロナウイルスの検査を受けたことはありますか？  
44. 患者：ありません。  
45. 医師：では、SARS-CoV-2のPCR検査を行いましょう。結果が出るまでお待ちください。  
---検査を実施し、結果を確認後---  
46. 医師：検査の結果、新型コロナウイルス感染症、いわゆるCOVID-19による肺炎と診断されました。  
47. 患者：そうなんですか…。  
48. 医師：現在、酸素吸入と抗ウイルス療法を含めた治療を始める必要があります。  
49. 患者：わかりました。よろしくお願いします。  
50. 医師：今後も連携を取りながら治療を進めますのでご安心ください。  
終了。"
