"1. 医師：こんにちは。どうされましたか？  
2. 患者：3日前から熱が出て、喉も痛いです。  
3. 医師：熱はどのくらいありますか？  
4. 患者：38.5℃くらいだと思います。昨夜測ったらそれくらいでした。  
5. 医師：喉の痛みはどのような感じですか？  
6. 患者：飲み込むとき特に痛くて、しゃべるのも少し辛いです。  
7. 医師：他に気になる症状はありますか？  
8. 患者：首が腫れている感じがします。触ると痛みます。  
9. 医師：いつ頃からその腫れを感じましたか？  
10. 患者：昨日くらいからですね。  
11. 医師：全身のだるさや食欲の変化はありますか？  
12. 患者：体がだるくて、あまり食べられないです。  
13. 医師：市販薬などは試されましたか？  
14. 患者：熱さましを飲みましたが、あまり効かない感じです。  
15. 医師：なるほど。喉の痛みやリンパの腫れは、少しずつ悪化している感じですか？  
16. 患者：ええ、日に日に強くなってきている気がします。  
17. 医師：これまでに似たような症状が出たことはありますか？  
18. 患者：いいえ、こんなにひどいのは初めてです。  
19. 医師：アレルギーや持病はお持ちですか？  
20. 患者：特にありません。  
21. 医師：同居している方や、最近接触した方で似た症状の方はいましたか？  
22. 患者：特にいませんね。ただ、最近少し忙しかったので疲れがたまっているかもしれません。  
23. 医師：お仕事や学校などで何か特別なストレスがありましたか？  
24. 患者：大学の勉強が少しハードでした。それくらいです。  
25. 医師：旅行や外出など感染リスクの高そうな場所に出かけたことはありましたか？  
26. 患者：先週、友達とカラオケに行きました。でも、それくらいです。  
27. 医師：そうですか。体温が38.8℃と高めで喉に強い痛みがありますね。少し喉を診せてもらいます。  
28. 患者：はい。  
29. 医師：喉が赤く腫れていますね。扁桃腺に白い膜がついているようです。  
30. 患者：やっぱりそうですか、最近特に痛いんです。  
31. 医師：首のリンパ節も触診させてもらいますね。少し触ります。  
32. 患者：わかりました。  
33. 医師：顎の下と首の後ろに腫れがありますね。痛みますか？  
34. 患者：ええ、押されると結構痛いです。  
35. 医師：お腹も触らせてください。少し冷たいですが大丈夫ですか？  
36. 患者：はい、大丈夫です。  
37. 医師：左上腹部に少し圧痛がありますね。最近、お腹の不調は感じませんか？  
38. 患者：特に気になることはないです。  
39. 医師：血液検査をさせていただきますね。少しお待ちください。  
40. 患者：わかりました。  
41. 医師：お待たせしました。検査結果が戻りました。白血球が高く、異型リンパ球という特殊な細胞が増えています。また、肝臓の値に少し異常があります。  
42. 患者：そうなんですね…。  
43. 医師：ウイルス感染が疑われるのでさらに詳しい検査を行いました。その結果、EBウイルスというウイルスによる感染が原因であることがわかりました。  
44. 患者：EBウイルス…それは何ですか？  
45. 医師：EBウイルスは一般的には伝染性単核球症と呼ばれる病気を引き起こします。この病気は長くは続かず、対症療法で回復が望めます。  
46. 患者：そうなんですね。ちょっと怖いですが、治るんですね？  
47. 医師：はい、適切な休養と薬で症状を和らげることができます。重い病気ではありませんので、安心してください。  
48. 患者：それを聞いて少し安心しました。  
49. 医師：熱を下げるためにアセトアミノフェンを処方します。あとは水分をたくさん摂って、しっかり休んでください。  
50. 患者：わかりました。ありがとうございます。 
"
