"1. 医師：今日はどのような症状でお越しいただきましたか？
2. 患者：発熱と喉の痛みが続いていて、食欲も落ちています。
3. 医師：発熱はどのくらいの温度が続いていますか？
4. 患者：38度から39度の高熱が続いています。
5. 医師：喉の痛みは具体的にどのような感じですか？
6. 患者：特に飲み込むときが強く痛くて、つらいです。
7. 医師：食欲はどのくらい減少しましたか？
8. 患者：以前の半分くらいになってしまいました。
9. 医師：いつ頃からこれらの症状が始まりましたか？
10. 患者：発症してから約1週間になります。
11. 医師：他に伴う症状はありますか？
12. 患者：倦怠感や頭痛もあります。
13. 医師：体重の変化はありましたか？
14. 患者：はい、少し減った気がします。
15. 医師：最近、風邪などにかかったことはありますか？
16. 患者：特にはないと思います。
17. 医師：お家ではどのように過ごしていますか？
18. 患者：寝ていることが多いです。
19. 医師：喉の痛みは朝起きた時と夜で違いますか？
20. 患者：夜になると痛みが強くなる気がします。
21. 医師：他に異常は感じられますか？
22. 患者：喉の腫れを感じることがあります。
23. 医師：ご家族の方は、あなたの症状について何か気にしていることはありますか？
24. 患者家族：喉が腫れているのを見て、心配しています。
25. 医師：その喉の腫れは、他の人と比べてどうですか？
26. 患者：かなり腫れてると思います。喉の奥が赤いです。
27. 医師：それはおつらいですね。腫れに加えて、熱は出ましたか？
28. 患者：はい、熱は常にあります。
29. 医師：特に汗をかくことはありますか？
30. 患者：夜に汗をかくことが多いです。
31. 医師：食事をとるのがつらいですね。何か特別な食べ物はありますか？
32. 患者：冷たいものが少し楽に感じます。
33. 医師：それはよかったですね。喉が腫れている場合、飲み込みにくいですか？
34. 患者：はい、飲み込みが難しいときがあります。
35. 医師：その他に、色々な症状はありませんか？
36. 患者：特にはないです。
37. 医師：あなたの体調に関して、最近のストレスなどはどうでしょうか？
38. 患者：学校のことで少しストレスを感じています。
39. 医師：それが影響している可能性もありますね。家族のサポートはどうですか？
40. 患者家族：しっかりサポートしていますが、心配です。
41. 医師：それは心強いですね。最近新しい環境に変わったりしましたか？
42. 患者：はい、進学して新しい友達ができました。
43. 医師：新しい環境は楽しいですか？
44. 患者：はい、でも少し緊張します。
45. 医師：喉の痛みは気になりつつも、楽しいこともあるんですね。それでは、喉を診させていただきますね。
46. 患者：はい、お願いします。
47. 医師：扁桃腺が腫れていて、赤くなっていますね。
48. 患者：そうなんですか？
49. 医師：それでは、血液検査を行ってみましょう。
50. 患者：わかりました、よろしくお願いします。
51. 医師：結果が出ました。伝染性単核球症ですね。"
