"1. 医師：こんにちは。今日はどのような症状でいらっしゃいましたか？  
2. 患者：喉が痛いんです。3日前からです。  
3. 医師：喉の痛み以外に何か他の症状はありますか？  
4. 患者：昨日から熱も出て、首が腫れて痛いです。  
5. 医師：熱はどのくらいの高さですか？  
6. 患者の母親：昨日計ったら38.5℃くらいでした。  
7. 医師：発熱のために何かお薬は飲みましたか？  
8. 患者の母親：市販の解熱剤を飲ませましたが、一時的に下がるだけでした。  
9. 医師：咳や鼻水は出ますか？  
10. 患者：いいえ、咳も鼻水もほとんどないです。  
11. 医師：声が変わったり、飲み込むときに特別つらい感じはありますか？  
12. 患者：声は普通なんですが、飲み物を飲むときに喉が痛いです。  
13. 医師：最近、周りに風邪をひいている方はいませんでしたか？  
14. 患者の母親：特には聞いていないですね。学校にも行っていますけど、特に何も。  
15. 医師：この喉の痛みが始まる前に特別な行事や食事をした覚えはありますか？  
16. 患者：特にありません。普通に学校の給食でした。  
17. 医師：喉や他の場所に発疹などは出ていませんか？  
18. 患者：発疹はないと思います。  
19. 医師：首が腫れて痛みがあるとのことですが、左右両方で感じますか？  
20. 患者：そうですね、両方とも痛いです。  
21. 医師：いつ頃から首が腫れているのに気づきましたか？  
22. 患者：喉が痛み始めた次の日くらいです。  
23. 医師：それ以外で体で変わった症状はありませんか？  
24. 患者：特に他にはないです。  
25. 医師：食欲はどうですか？  
26. 患者：少し減っています。痛くて食べたくない感じです。  
27. 医師：学校には最近行けていましたか？  
28. 患者の母親：昨日と今日は休ませました。  
29. 医師：お家でご兄弟や他の家族も熱や症状が出ていますか？  
30. 患者の母親：いえ、家族はみんな元気です。  
31. 医師：今までに今回のような喉の痛みや腫れを繰り返したことはありましたか？  
32. 患者の母親：いいえ、初めてです。  
33. 医師：普段、病院にかかったりすることはありますか？  
34. 患者の母親：いいえ、風邪くらいで滅多に病院には来ません。  
35. 医師：アレルギーや特別な病気の診断を受けたことは？  
36. 患者の母親：特にありません。  
37. 医師：学校や日常生活の中で何かストレスはありますか？  
38. 患者：特にないと思います。学校も普通に楽しいです。  
39. 医師：現在、市販薬以外のお薬は使っていますか？  
40. 患者の母親：いいえ、解熱剤だけです。  
41. 医師：舌の状態を確認させていただきますね。あーっと言ってもらえますか？  
42. 患者：あー（舌を見せる）。  
43. 医師：舌に少しぶつぶつがありますね。他に気になる点ありますか？  
44. 患者：特には気づいていません。  
45. 医師：それでは、のどを触ってみます。痛かったら教えてください。  
46. 患者：左も右も少し痛いです。  
47. 医師：これまでに周りで同じような症状が出た人はいませんでしたか？  
48. 患者の母親：特に聞いていませんね。  
49. 医師：迅速な検査でおそらく原因を確認できると思いますので、少しだけお待ちください。  
50. 医師：検査の結果、溶連菌による咽頭炎が診断されました。抗生剤の治療を始めましょう。"
