"1. 医師：こんにちは、今日はどうされましたか？
2. 患者：喉が痛くて、熱もあるんです。
3. 医師：いつからその症状が始まりましたか？
4. 患者：3日前からです。
5. 医師：痛みはどのくらいの強さですか？
6. 患者：飲み物を飲むときも痛いです。
7. 医師：熱はどのくらい出ましたか？
8. 患者：38.5℃になりました。
9. 医師：他に症状はありますか？
10. 患者：頭が痛いです。
11. 医師：食べるのは大変ですか？
12. 患者：はい、すごく痛いです。
13. 医師：扁桃腺が腫れている感じはありますか？
14. 患者：はい、腫れてると思います。
15. 医師：お父さんやお母さんは、あなたのことについて何か気にしていますか？
16. 患者家族：最近、食欲が落ちているのが心配しています。
17. 医師：体がだるい感じはありますか？
18. 患者：はい、すごくだるいです。
19. 医師：咳は出ますか？
20. 患者：あまり出ません。
21. 医師：体が寒いと感じることはありますか？
22. 患者：時々寒いです。
23. 医師：吐き気や嘔吐はありませんか？
24. 患者：最近はありません。
25. 医師：最近、風邪をひいた人はいますか？
26. 患者家族：子供たちの中で風邪をひいている子がいたかもしれません。
27. 医師：痛みは、ズキズキしますか？それとも鈍いですか？
28. 患者：ズキズキします。
29. 医師：夜はよく眠れましたか？
30. 患者：あまり眠れませんでした。
31. 医師：咽頭に赤みがありますか？
32. 患者：はい、赤くなっています。
33. 医師：息苦しさは感じていますか？
34. 患者：少し感じます。
35. 医師：リンパ節が腫れているのを感じたりしますか？
36. 患者：首のしこりがあります。
37. 医師：しこりは触れることができますか？
38. 患者：はい、触れます。
39. 医師：周りの子供たちと遊びましたか？
40. 患者：最近は遊んでいません。
41. 医師：学校にはいつから行けてないのですか？
42. 患者：1週間前から休んでいます。
43. 医師：食べ物を飲み込むのも大変ですか？
44. 患者：はい、本当に痛いです。
45. 医師：風邪に似た症状は過去に経験したことがありますか？
46. 患者：以前も少し似たようなことがありました。
47. 医師：その時、どうでしたか？
48. 患者：ちょっと風邪でしたけど、すぐ良くなりました。
49. 医師：最近、風邪薬を飲んだことはありますか？
50. 患者：飲んでないです。
51. 医師：最後に受けた予防接種はいつですか？
52. 患者：去年の秋です。
53. 医師：ありがとうございます。咽頭を見せてもらえますか？
54. 患者：はい、扁桃腺が腫れていると思います。
55. 医師：それでは、検査を行っていきますね。
56. 医師：迅速抗原検査の結果、溶連菌感染が疑われますので、治療を開始します。"
