"1. 医師：こんにちは、今日はどうされましたか？
2. 患者：最近、発熱と倦怠感があって、黄疸も出てきたんです。
3. 医師：それは辛そうですね。発熱はいつから始まりましたか？
4. 患者：発熱は1週間前からです。最初は軽い熱だったんですが、今は38℃を超えています。
5. 医師：倦怠感はどうですか？日常生活に支障が出ていますか？
6. 患者：はい、すごく疲れていて、仕事にも行けていません。
7. 医師：黄疸はいつ頃から気づかれましたか？
8. 患者：3日ほど前から、肌と目が黄色くなってきました。
9. 医師：他に症状はありますか？腹痛や吐き気など。
10. 患者：腹痛は特にないですが、時々吐き気は感じます。
11. 医師：飲食には影響がありますか？
12. 患者：食べると気持ち悪くなることが多いです。
13. 医師：体重の変化はありますか？
14. 患者：ここ1週間で少し減ったと思います。
15. 医師：家族には同じような症状を訴えている人はいますか？
16. 患者：特にいないと思います。家族はみんな元気です。
17. 医師：何か旅行や外食など、普段と違うことをされましたか？
18. 患者：特に変わったことはないです。ただ、友人と両親と食事をしました。
19. 医師：最近お酒を飲むことはありましたか？
20. 患者：普段はあまり飲まないのですが、少しだけ飲みました。
21. 医師：お仕事は何をされていますか？
22. 患者：事務職で、デスクワークが多いです。
23. 医師：ストレスは感じていますか？
24. 患者：最近は少し忙しくて、ストレスを感じています。
25. 医師：これまでに特別な病歴やアレルギーはありませんか？
26. 患者：特に病歴はなく、アレルギーもないです。
27. 医師：では、体温を測りますね。どうぞお待ちください。
28. 患者：はい、お願いします。
29. 医師：体温は38.5℃ですね。皮膚と目に黄疸が見られます。
30. 患者：そうなんです、目が特に気になります。
31. 医師：腹部の検査をしますが、痛みはありますか？
32. 患者：腹部は痛くないです。
33. 医師：それでは、肝臓の腫れがないか確認しますね。
34. 患者：はい、お願いします。
35. 医師：肝臓が軽く腫れているようですが、圧痛はありませんね。
36. 患者：そうなんですね。
37. 医師：血液検査をしますので、少しお待ちください。
38. 患者：どの検査をするんですか？
39. 医師：肝機能や感染症の確認をします。
40. 患者：わかりました。心配です。
41. 医師：心配はいりません。結果を見て必要な対応をしていきます。
42. 患者：ありがとうございます。
43. 医師：血液検査の結果、肝機能が低下しているようです。
44. 患者：どのくらい悪いんですか？
45. 医師：ASTやALTが高い値ですし、ビリルビンも上昇しています。
46. 患者：それはやはり肝臓に問題がありそうですね。
47. 医師：はい、そうです。EBウイルスの抗体が陽性です。
48. 患者：EBウイルスって何ですか？
49. 医師：主に感染症を引き起こすウイルスの一種です。
50. 患者：治療はどうなりますか？"
