"1. 医師：今日はどうされましたか？  
2. 患者：あの、実はめまいがして、頭が痛いです。  
3. 医師：めまいと頭痛はいつから感じていましたか？  
4. 患者：今日は午後2時頃から急に感じてきました。  
5. 医師：その時間、何をされていましたか？  
6. 患者：外で作業をしていました。  
7. 医師：気温は高かったですか？  
8. 患者：はい、すごく暑かったです。  
9. 医師：他に症状はありましたか？  
10. 患者：左下肢がけいれんしていました。  
11. 医師：けいれんはいつから始まりましたか？  
12. 患者：めまいと同じ頃からです。  
13. 医師：意識ははっきりしていましたか？  
14. 患者：最初は大丈夫でしたが、途中からもうろうとしてきました。  
15. 医師：歩行はどうでしたか？  
16. 患者：途中から歩くのも大変でした。  
17. 医師：家族の方に聞いても良いですか？  
18. 患者家族：はい、急に意識がもうろうとして、本人も混乱していました。  
19. 医師：なるほど、他には何か気づいたことはありますか？  
20. 患者家族：脱水症状があるように見えました。  
21. 医師：具体的には、乾燥や口渇はありましたか？  
22. 患者家族：はい、全然水分を摂らないようでした。  
23. 医師：その後、体温はどうでしたか？  
24. 患者：体温はどのくらいか分かりませんが、すごく熱い感じでした。  
25. 医師：今、病院に来て体温を測りましたが、39.5度でした。  
26. 患者：それは高いですね。  
27. 医師：脈拍は110回/分でしたが、普段はどうですか？  
28. 患者：普段はもう少しゆっくりです。  
29. 医師：血圧は90/60mmHgでしたが、これについてはどう感じますか？  
30. 患者：特に気にしていなかったです。  
31. 医師：他に何か身体的な変化を感じましたか？  
32. 患者：全体的に疲れがたまっている気がします。  
33. 医師：最近、どのような作業をしていましたか？  
34. 患者：庭仕事や草むしりをしていました。  
35. 医師：作業は長時間しましたか？  
36. 患者：午後はかなり長くやっていました。  
37. 医師：当日は水分を摂取しましたか？  
38. 患者：ほとんど飲んでいなかったと思います。  
39. 医師：作業をする際、日差しは強かったですか？  
40. 患者：はい、直射日光の下で作業していました。  
41. 医師：気温以外に、湿度も高かった酒と思いますか？  
42. 患者：湿度も高かったと思います。  
43. 医師：今までに熱中症になったことはありますか？  
44. 患者：いいえ、初めてです。  
45. 医師：それでは、ご家庭での水分補給については意識していますか？  
46. 患者：普段は気にしていないかもしれません。  
47. 医師：食事の際、水をよく飲むようにしていますか？  
48. 患者：いつも少しは飲んでいますが、そんなに多くはないです。  
49. 医師：今後は水分補給も気をつけてくださいね。  
50. 医師：診断は熱中症です。"
