"1. 医師：こんにちは、松本さん。今日はどんな症状がありますか？
2. 患者：胸が突然圧迫されるような感じがして、息苦しくなってきました。
3. 医師：それはいつから始まりましたか？
4. 患者：発症してからもう数日経ちますが、どんどん悪くなってきているんです。
5. 医師：胸の痛みはどんな時に強くなりますか？
6. 患者：仰向けになると特に痛みが強くなります。
7. 医師：それ以外に症状はありますか？
8. 患者：38度くらいの熱がずっとありまして、薬を飲んでも下がらないんです。
9. 医師：以前に何か病気や手術をしたことはありますか？
10. 患者：高血圧の治療を受けていますが、それ以外は特にありません。
11. 医師：呼吸が苦しくなるのはいつもですか、それとも特定の時ですか？
12. 患者：動いたり、深く横になると息苦しさが増します。
13. 医師：何か体位を変えると症状は変わりますか？
14. 患者：前屈すると少し楽になります。
15. 医師：高血圧の薬はきちんと服用していますか？
16. 患者：はい、毎日欠かさず飲んでいます。
17. 医師：最近、風邪っぽい症状や他の感染症はありましたか？
18. 患者：特に風邪を引いた覚えはないですね。
19. 医師：心臓や肺の問題で過去に診断を受けたことはありますか？
20. 患者：いいえ、それはありません。
21. 医師：普段の生活で何かストレスや心配事はありますか？
22. 患者：特に大きな変化やストレスはないですよ。
23. 医師：痛みを軽減するために何か試したことはありますか？
24. 患者：寝る姿勢を色々変えてみたりしましたが、前屈が一番効果がありました。
25. 医師：他に身体のどこか調子の悪いところはありますか？
26. 患者：いいえ、特にありません。
27. 医師：家族に同じような症状の方はいませんか？
28. 患者：いませんね。
29. 医師：体位によって痛みが変わるというのは面白いですね。
30. 患者：そうですね、最初は大したことないかと思いましたが。
31. 医師：お酒やタバコは嗜まれていますか？
32. 患者：お酒は少し飲みますが、タバコは吸いません。
33. 医師：最近運動をしたり何か無理をしたことはありますか？
34. 患者：特にはしていません。
35. 医師：胸の痛みが背中に響くことはありますか？
36. 患者：はい、時々背中の方にも響きます。
37. 医師：痛みの程度は急に変化しますか、それとも徐々にですか？
38. 患者：徐々に悪化しているように感じます。
39. 医師：特に朝晩で痛みの変化はありますか？
40. 患者：特に朝が辛いですが、ずっと痛みは続いています。
41. 医師：胸痛について何かきっかけになるようなことはありましたか？
42. 患者：特に思い当たることはないです。
43. 医師：病気になる前に海外旅行や新しい環境に行ったりしましたか？
44. 患者：旅行など特にはしていません。
45. 医師：心電図とエコーの検査結果が出ましたのでお話しします。
46. 患者：お願いします。
47. 医師：心膜に液体の貯留がありましたが、大量ではありませんでした。
48. 患者：それはどういうことでしょうか？
49. 医師：急性心外膜炎の疑いが強いようです。
50. 患者：そうなんですか、治療はできるのでしょうか？
51. 医師：初期治療でIbuprofenを使用し、症状によっては薬を追加します。
52. 患者：なるほど、お願いします。
53. 医師：今後の治療について詳しく説明させていただきます。
54. 患者：はい、わかりました。
55. 医師：Colchicineを含めた治療を続けます。数週間後には改善が期待できます。
56. 患者：治る可能性があるなら良かったです。"
