"1. 医師：今日はどうされましたか？
2. 患者：胸が圧迫されて、呼吸もしづらいです。
3. 医師：その症状はいつからですか？
4. 患者：3日前から急に始まりました。
5. 医師：症状は徐々に悪化していますか？
6. 患者：はい、特に悪化しています。
7. 医師：発熱はありますか？
8. 患者：はい、38度を超えることもあります。
9. 医師：それに伴って、不安を感じているとのことですが。
10. 患者：とても不安で、落ち着きません。
11. 医師：既往歴には何かありますか？
12. 患者：高血圧のみです。
13. 医師：最近、何か特別な出来事がありましたか？
14. 患者：特にはないですが、ちょっと風邪気味でした。
15. 医師：咳や痰は出ますか？
16. 患者：咳は時々出るけど、痰はあまりありません。
17. 医師：胸の痛みは感じますか？
18. 患者：時々、胸がズキズキします。
19. 医師：それは安静時にも感じますか、それとも体を動かしたときですか？
20. 患者：動いた時の方が強く感じます。
21. 医師：呼吸を深くするとどうですか？
22. 患者：深呼吸するとさらに呼吸が苦しくなります。
23. 医師：座っていると楽ですか？
24. 患者：座っていると少し楽になりますが、完全には楽になりません。
25. 医師：家族の方が心配されていると思いますが、何か言っていましたか？
26. 患者家族：最近、私たちもおじさんが元気がないと感じています。
27. 医師：心拍数は早くなっているようですね。普段と比べてどうですか？
28. 患者：いつもよりも心臓がバクバクしています。
29. 医師：それに加えて、何か他の症状はありますか？
30. 患者：特に他には感じていませんが、すごく疲れやすいです。
31. 医師：食欲に変化はありますか？
32. 患者：あまり食べる気がしません。
33. 医師：夜はよく眠れていますか？
34. 患者：眠れないことが多いです。
35. 医師：最近旅行など行かれましたか？
36. 患者：いいえ、特には行っていません。
37. 医師：何かアレルギーはありますか？
38. 患者：特にアレルギーはありません。
39. 医師：他の病歴について教えてください。
40. 患者：心臓病などの家族歴はありません。
41. 医師：最近お仕事でストレスを感じていますか？
42. 患者：仕事は忙しいですが、そこまでストレスとは感じていません。
43. 医師：身体的な活動はどのくらいしていますか？
44. 患者：最近はあまり運動していません。
45. 医師：日頃の生活はどのようですか？
46. 患者：普通に生活していますが、気分が落ち込みがちです。
47. 医師：感情の変化はありますか？
48. 患者：ちょっとイライラします。
49. 医師：胸の圧迫感はどういう風に変わりましたか？
50. 患者：最初は少しだけだったのが、今は常に感じます。
51. 医師：診察や検査を行って、何か異常が見つかるかもしれませんが、自分は心に不安を感じていますか？
52. 患者：はい、心配です。
53. 医師：実際に検査で何が見つかるか、少しお待ちください。
54. 医師：どうやら心膜炎の可能性があります。
55. 患者：心膜炎？それはどういうものですか？"
