"1. 医師：今日はどうされましたか？  
2. 患者：3か月前から咳が出始めて、だんだんひどくなってきました。  
3. 医師：その咳はどのような咳ですか？痰が出たりしますか？  
4. 患者：乾いた咳ですね、たまに喉がむせる感じがありますが、痰はほとんど出ません。  
5. 医師：咳の頻度はどうですか？  
6. 患者：最近では1日に何度も出ますし、夜も寝づらいくらいです。  
7. 医師：血痰などを見たことがありますか？  
8. 患者：はい、1週間くらい前から少し血が混じったことがあります。  
9. 医師：どれくらいの量でしたか？  
10. 患者：線が少し入っているくらいですが、最初はびっくりしました。  
11. 医師：なるほど。体の他の変化は感じますか？  
12. 患者：2か月くらい前から、急に食欲がなくなって、体重も減りました。  
13. 医師：どのくらい体重が減りましたか？  
14. 患者：約5キロほど減りました。  
15. 医師：体重が減り始めた時期に他に症状はありませんでしたか？  
16. 患者：いや、特に覚えていませんが全身的にだるい感じはありました。  
17. 医師：その疲労感は日常生活に影響を与えるほどですか？  
18. 患者：はい、だんだん動くのがつらくなり、1か月前から特にひどくなりました。  
19. 医師：咳が始まる前に、何か大きな環境や生活の変化はありましたか？  
20. 患者：特にありませんね。同じ暮らしをしていました。  
21. 医師：喫煙歴はありますか？  
22. 患者：はい、実は40本ぐらい吸っていました。45年ほど続けていました。  
23. 医師：現在も吸っていますか、それとも禁煙されていますか？  
24. 患者：禁煙はしていませんが、咳がひどくて量は減らしています。  
25. 医師：そのほか、これまでに何か肺や呼吸器に関わる病気がありましたか？  
26. 患者：20年前にCOPDと診断されたことがあります。でも治療は特にしていませんでした。  
27. 医師：それ以来このような症状が出たことはありませんでしたか？  
28. 患者：長年少し息苦しい感じはありましたが、これほどひどいことはありませんでした。  
29. 医師：COPD以外に大きな病気をしたことはありますか？  
30. 患者：肺に関しては特にないですね。他の病気もありません。  
31. 医師：熱っぽさや夜間にひどくなる症状はありますか？  
32. 患者：熱はないと思いますが、夜の咳は特にひどいです。  
33. 医師：呼吸困難や胸の痛みを感じることはありますか？  
34. 患者：胸の奥が圧迫されるような感じがしますが、息はできています。  
35. 医師：最近検査を受けたことはありますか？  
36. 患者：いえ、こうして病院に来たのは久しぶりです。  
37. 医師：最近旅行や特別な飲み物や薬を変えたことはないですか？  
38. 患者：いえ、普段通りの生活をしていました。  
39. 医師：深く息をする時に痛みを感じることはありますか？  
40. 患者：深呼吸をした時だけ少し痛い感じがあります。  
41. 医師：体重減少や食欲不振について、ご家族の方が何か気づいたことはありますか？  
42. 患者：妻も心配して食欲が戻らないのを気にしています。  
43. 医師：呼吸音に少し異常がありましたが、夜中に息苦しさで目を覚ましたことは？  
44. 患者：いいえ、そのようなことはありません。  
45. 医師：過剰な疲労感が出てきたのはここ1か月でしょうか？  
46. 患者：はい、それくらい前からです。  
47. 医師：運動する際の症状の変化はありますか？  
48. 患者：歩くだけでも疲れを感じます。  
49. 医師：便や尿の変化、他の不調はありますか？  
50. 患者：特に変化はありません。  
（以下、診断編に進む）"
