"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：2か月くらい前から息切れと咳が続いていて、最近ひどくなってきました。  
3. 医師：どのような時に息切れが強くなるとか、咳が出ることはありますか？  
4. 患者：階段を上る時とか、荷物を持つと息が上がります。あと咳は夜も止まらないんです。  
5. 医師：咳は痰が絡むような感じですか？それとも乾いた咳でしょうか？  
6. 患者：乾いた感じで、痰はほとんど出ませんね。  
7. 医師：息切れや咳以外に熱や体重の減少はありますか？  
8. 患者：熱はありませんが、最近少し体重が減った気がしますね。  
9. 医師：どれくらい体重が減りましたか？  
10. 患者：3キロくらいです。痩せたって周りにも言われます。  
11. 医師：かぜやアレルギーのような症状は以前からありましたか？  
12. 患者：ないですね、こんなに咳が続くのは初めてです。  
13. 医師：咳のために何か市販薬などを試されたことはありますか？  
14. 患者：はい、咳止めを買って飲んだんですけど、全然効きませんでした。  
15. 医師：そうですか。他に気になる症状、胸の痛みや骨の痛みなどはないですか？  
16. 患者：特に痛みはありません。  
17. 医師：過去に肺や心臓の病気を診断されたことはありますか？  
18. 患者：いえ、特にありません。健康だと思ってたんですけど。  
19. 医師：タバコは吸われますか？  
20. 患者：はい、30年くらい吸ってます。1日20本くらいです。  
21. 医師：喫煙歴が長いですね。他にアレルギーや特に気をつけていることはありますか？  
22. 患者：アレルギーもないですし、特に気をつけてることもないですね。  
23. 医師：家族に同じような症状の方はいらっしゃいますか？  
24. 患者：いえ、家族は健康です。  
25. 医師：2か月前から症状が始まったとのことですが、もっと前に息苦しさを感じたことはありませんでしたか？  
26. 患者：もっと前はなかったですね。本当に急に始まった感じです。  
27. 医師：息切れは日に日にひどくなってきていますか？  
28. 患者：はい、最近は階段を上るのもきついです。  
29. 医師：勤務中や日常生活に影響は出ていますか？  
30. 患者：そうですね、仕事中も動くと息切れするので困っています。  
31. 医師：咳や息切れが原因で夜眠れないことはありますか？  
32. 患者：咳がひどいときは夜中に何度も起きてしまいます。  
33. 医師：夜中に横になると苦しくなる感じはありますか？  
34. 患者：特に横になるのが苦しいってわけではないですが、咳が気になって眠れないです。  
35. 医師：息苦しさは運動以外の安静時にも感じますか？  
36. 患者：あまり動いていないときは息苦しさは少ない気がしますね。  
37. 医師：咳や息切れを感じる際に胸の圧迫感とか、何か詰まったような感じはありますか？  
38. 患者：そういう感じは特にありません。  
39. 医師：何か最近ストレスが増えたりするようなことがありましたか？  
40. 患者：特にないと思います。  
41. 医師：これまで胸部の検査を受けたことはありますか？  
42. 患者：はい、前に近くの病院でレントゲンを撮ってもらいました。  
43. 医師：そこで何か問題があると言われましたか？  
44. 患者：はい、胸に影があると言われてこちらを紹介されました。  
45. 医師：わかりました。こちらで詳細な検査をしますね。胸部CTなどを取らせてください。  
46. 患者：お願いします。  
47. 医師：結果が揃いました。右上肺に腫瘤が見られます。組織検査も行いましたが、腺癌の診断でした。  
48. 患者：癌なんですか…どうしたらいいのでしょう？  
49. 医師：少し落ち着いてください。詳しい治療方針についてはこれから説明します。現時点では治療を開始する準備を進めていきます。  
50. 患者：よろしくお願いします。  
"
