"1. 医師：今日はどうされましたか？  
2. 患者：2か月くらい前から食後に胸が変な感じがして、重たいような不快感があります。  
3. 医師：それはどのくらいの頻度で起こりますか？  
4. 患者：毎食後ですね。最初は軽かったんですが、最近は毎回起きてます。  
5. 医師：食べ物を飲み込むのに違和感とか引っかかる感じはありますか？  
6. 患者：最近は食べ物が喉を通りにくい感じがして、時間がかかります。  
7. 医師：具体的には、固いものと柔らかいもの、どちらが飲み込みにくいですか？  
8. 患者：特に固いものですね。ご飯とか、お肉を食べるときが大変です。  
9. 医師：食欲はどうですか？  
10. 患者：胸が苦しくなるから、あんまり食べられなくて、食欲が落ちてます。  
11. 医師：その結果、体重の変化はありましたか？  
12. 患者：2か月で3キロくらい減りました。  
13. 医師：それ以外に胸や喉の痛みや熱感はありますか？  
14. 患者：痛みとかはないですけど、食べ物が流れない感じがあります。  
15. 医師：飲み込むときに咳や窒息感を感じたりしますか？  
16. 患者：時々、咳が出ることはありますが、窒息まではいかないですね。  
17. 医師：この症状以外で、何かアレルギーやアトピーのような病歴はありますか？  
18. 患者：はい。果物やナッツでアレルギー反応が起きたことがあります。  
19. 医師：そのアレルギー反応は具体的にどのような症状でしたか？  
20. 患者：喉がむず痒くなったり、少し腫れたりしました。  
21. 医師：過去に医師からそのアレルギーについて診断や治療を受けたことはありますか？  
22. 患者：アレルギー検査をしたことがありますが、それ以外は特に治療はありません。  
23. 医師：最近特にアレルギー反応が出やすくなったと感じますか？  
24. 患者：特に増えてはいないですが、ナッツは避けています。  
25. 医師：他に普段から薬やサプリメントを飲まれているものはありますか？  
26. 患者：家庭医から胃薬をもらって飲んでましたが、あんまり効果はなかったです。  
27. 医師：それはどのような胃薬でしたか？覚えていれば教えてください。  
28. 患者：名前はよく覚えてないんですが、胃の不快感を和らげるって言われました。  
29. 医師：胃薬を飲んでから胸の不快感が少しでも軽くなりましたか？  
30. 患者：ほとんど変わらなかったです。  
31. 医師：一日の中で症状が強くなる時間帯などはありますか？  
32. 患者：食後が一番強いです。それ以外は特に気になりません。  
33. 医師：ストレスがたまっているなと感じることはありますか？  
34. 患者：仕事が忙しいので少し疲れてるかなとは思います。  
35. 医師：飲み物を飲むときは、引っかかるような感覚はありますか？  
36. 患者：水は大丈夫ですけど、粘り気のあるものは少し大変です。  
37. 医師：他に最近気になる体調不良はありますか？  
38. 患者：特にはないですけど、体重が減ったのが気になります。  
39. 医師：ご家族にも似たようなアレルギーや消化管の病気をお持ちの方はいらっしゃいますか？  
40. 患者：いいえ、家族にはそういうのは聞いたことがないです。  
41. 医師：かかりつけ医からは何か詳しい検査を勧められましたか？  
42. 患者：特には言われてないですが、胃薬で様子を見ましょうと言われました。  
43. 医師：胸部不快感以外に、胸やけのような症状を感じたりしますか？  
44. 患者：胸やけは特に感じません。  
45. 医師：最後に、一日の中でお腹の痛みや下痢のような消化器症状はありませんか？  
46. 患者：それは全然ないです。  
47. 医師：わかりました。頂いた情報をもとに考えていきます。  
48. 医師：内視鏡検査の結果や血液検査から、好酸球性食道炎の可能性が高いと思われます。  
49. 患者：好酸球性食道炎って何ですか？  
50. 医師：簡単に言えば、アレルギー反応が食道で起きて、胸部の不快感や飲み込みにくさを引き起こす病気です。"
