"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：2日前にジョギング中に突然倒れてしまって、動悸や胸が苦しい感じがしていました。  
3. 医師：それは心配ですね。倒れる前に何か前兆はありましたか？  
4. 患者：少し息苦しい感じと胸の圧迫感があったくらいです。  
5. 医師：倒れた後はすぐに意識は戻りましたか？  
6. 患者：はい、数十秒後には意識は戻りました。  
7. 医師：これまでにも同じような症状がありましたか？  
8. 患者：はい、3か月くらい前から階段を上ったりジョギング中に胸が苦しくなることが増えてました。  
9. 医師：その時は失神することはありませんでしたか？  
10. 患者：失神まではいかなかったのですが、結構症状がつらくて一旦止まって休むと治りました。  
11. 医師：なるほど。その胸の苦しさはどのくらい続きますか？  
12. 患者：大体5分とか10分くらいで自然になくなります。  
13. 医師：動悸も一緒に感じますか？  
14. 患者：はい、特に運動をしている時に強く感じます。  
15. 医師：休んでいる時や夜間には動悸や胸の症状はありますか？  
16. 患者：いいえ、休んでいる時や寝ている時は特に感じません。  
17. 医師：ジョギング中以外にも失神したことはありますか？  
18. 患者：いいえ、今回が初めてです。  
19. 医師：家族の中に同じような症状の方はいらっしゃいますか？  
20. 患者：いえ、家族にはそういう人はいないと思います。  
21. 医師：これまで心臓や血圧の病気と言われたことはありますか？  
22. 患者：特にありません。健康診断でも問題なかったです。  
23. 医師：何か普段から服用している薬やサプリメントはありますか？  
24. 患者：いいえ、何も飲んでいません。  
25. 医師：全身のだるさや冷や汗、吐き気などはありますか？  
26. 患者：特にそういった症状はありません。  
27. 医師：普段の生活で何か他に気になることはありますか？  
28. 患者：特に問題なく元気に過ごしています。  
29. 医師：失神する前に何か特別な行動や食べ物を取っていたことはありますか？  
30. 患者：いいえ、普通にいつも通りのジョギングをしていただけです。  
31. 医師：胸の圧迫感はどこで一番感じますか？胸の中央ですか？  
32. 患者：そうですね、胸の真ん中あたりが重くなる感じです。  
33. 医師：痛みよりも重い感じということでしょうか？  
34. 患者：はい、痛みというより押されるような感じです。  
35. 医師：胸の症状は何か特定の姿勢や動作で悪化しますか？  
36. 患者：運動をしている時にだけ起こるので、座っている時や休んでいる時には特に感じません。  
37. 医師：最近、風邪や感染症にかかりましたか？  
38. 患者：特に思い当たることはありません。  
39. 医師：喫煙や飲酒の習慣はありますか？  
40. 患者：タバコは吸いませんが、週末に少しお酒を飲むくらいです。  
41. 医師：運動は普段からどのくらいされていますか？  
42. 患者：週に3回くらいジョギングをしています。  
43. 医師：運動中以外では疲れやすいと感じることはありますか？  
44. 患者：運動してない時は全然大丈夫です。  
45. 医師：なるほど。日常生活やお仕事でストレスは感じますか？  
46. 患者：特にストレスは感じていないです。仕事も問題ありません。  
47. 医師：ありがとうございます。診察といくつかの検査をしましたので、それを基にお話ししますね。  
48. 医師：心エコーの結果などを含めて診断をお話しすると、心筋症の一種で「閉塞性肥大型心筋症」という病気が見つかりました。  
49. 患者：そうなんですね…それはどういう病気なんですか？  
50. 医師：簡単に言うと心臓の筋肉が異常に厚くなり、心臓から血液を送り出す部分が狭くなりやすい状態です。それが動悸や失神、胸の圧迫感の原因と考えられます。  
会話終了。"
