"1. 医師：今日はどうされましたか？  
2. 患者：最近、息切れがひどくて、横になると余計に苦しくなります。  
3. 医師：いつ頃から、そのような症状が出てきましたか？  
4. 患者：1か月くらい前から少しずつ悪くなってきた感じです。  
5. 医師：具体的にはどんなときに息切れが出やすいですか？  
6. 患者：少し動いただけでも息が上がるようになりました。特に階段を上るときが辛いです。  
7. 医師：横になると余計に苦しくなると言いましたが、それは毎晩のことですか？  
8. 患者：はい、寝てもすぐに息苦しくなって目が覚めます。それで座ると少し楽になります。  
9. 医師：そうなんですね。他に何か症状はありますか？  
10. 患者：足がむくんでパンパンです。それに一日中だるい感じがします。  
11. 医師：足のむくみはいつから気づきましたか？  
12. 患者：これも1か月前くらいからですね。最初は夕方になると靴がきつく感じていました。  
13. 医師：ここ最近、体重の変化はありましたか？  
14. 患者：特に食べる量は変わってないのに、2〜3キロ増えました。  
15. 医師：血圧はこれまでに何か言われたことはありますか？  
16. 患者：はい、高血圧でずっと薬を飲んでいます。でも最近はあまり測ってないです。  
17. 医師：どんな薬を飲んでいますか？  
18. 患者：名前は覚えていませんが、高血圧の薬を1種類だけです。  
19. 医師：他に持病やこれまで大きな病気をしたことはありますか？  
20. 患者：特にありません。  
21. 医師：頭痛や胸の痛み、動悸などは感じていますか？  
22. 患者：胸が苦しく感じることはありますが、痛みではないです。動悸はたまにあります。  
23. 医師：咳や痰が出ることはありますか？  
24. 患者：咳はあまり出ないです。  
25. 医師：食欲や飲む水の量に変化はありましたか？  
26. 患者：食欲は普通ですが、喉が渇く感じがして水をよく飲むようになりました。  
27. 医師：普段の生活についてお聞きしてもいいですか？お仕事はされていますか？  
28. 患者：はい、事務仕事をしています。最近は体がしんどくて、仕事もかなりきついです。  
29. 医師：睡眠はきちんと取れていますか？  
30. 患者：うーん、息苦しさでしょっちゅう目が覚めるので、寝た気がしません。  
31. 医師：飲酒や喫煙はされていますか？  
32. 患者：お酒は週に1〜2回ほど少し飲むだけですね。タバコは吸いません。  
33. 医師：1日の中で体調が特に悪い時間帯はありますか？  
34. 患者：朝起きたときや夕方になると特にだるく感じます。  
35. 医師：ご家族に同じような症状の方はいますか？  
36. 患者：特に聞いたことはないですが、親も高血圧だったと思います。  
37. 医師：最近、風邪を引いたり、熱を出したことはありますか？  
38. 患者：いいえ、そういうことはないです。  
39. 医師：では、普段どの程度の運動をされていますか？  
40. 患者：最近はあまり動く気も起きなくて、ほとんどしていません。  
41. 医師：何か特別なストレスや心配ごとはありますか？  
42. 患者：少し仕事が忙しいですが、それ以外は特にないです。  
43. 医師：食事の塩分や水分摂取について気を付けていますか？  
44. 患者：あまり気にしていませんが、外食が多いです。  
45. 医師：尿や便の回数、色に変化はありますか？  
46. 患者：特に変わったことはないと思います。  
47. 医師：肺や心臓を診察していきますね。ゆっくり深呼吸してください。  
48. 患者：はい、お願いします。  
49. 医師：診察の結果や検査結果から、心臓の機能が弱まっていることが分かりました。拡張型心筋症と呼ばれる状態が考えられます。  
50. 患者：そうなんですね。どうすればよいでしょうか？  "
