"1. 医師：こんにちは。本日はどのようなご症状でお越しですか？  
2. 患者：最近、動くとすぐ息切れして辛いんです。夜も咳が止まらなくて、少し心配になって…。  
3. 医師：どのくらい前からその息切れの症状が始まりましたか？  
4. 患者：2か月くらい前からです。ちょっとした家事や階段を上るだけで息切れします。  
5. 医師：それは以前はなかった症状ですか？  
6. 患者：そうですね、今までそんなことはなかったです。  
7. 医師：夜間の咳はいつくらいから始まりましたか？  
8. 患者：1か月くらい前からですね。寝ていると咳が頻繁に出るんです。  
9. 医師：咳の内容ですが、痰が絡んだりすることはありますか？  
10. 患者：はい、少し痰が絡む感じはありますが、そんなに多くはないです。  
11. 医師：寝る体勢によって咳が悪化することがありますか？  
12. 患者：そうなんです。横になると特に咳が出やすくて、最近は背もたれを使って体を起こして寝ています。  
13. 医師：それは辛いですね。他に何か気になる症状はありますか？  
14. 患者：先日、立ちくらみがしてめまいがひどく、ついに倒れてしまいました。  
15. 医師：それは大変でしたね。倒れる前に何か予兆のようなものはありましたか？  
16. 患者：少しふらつきが続いていて、急に倒れた感じです…。  
17. 医師：他に胸が痛むような感覚や、心臓がドキドキするということはありませんか？  
18. 患者：胸の痛みはないですが、たまに少し動悸を感じることがありました。  
19. 医師：以前、お近くのクリニックで診察を受けられたとお聞きしましたが、その際に処方されたお薬の効果はどうでしたか？  
20. 患者：利尿薬をもらいましたが、特に良くなった感じはありませんでした。  
21. 医師：分かりました。既往歴についてお伺いしますが、過去に甲状腺の病気と診断されたと聞いています。それについて今は何か治療をされていますか？  
22. 患者：はい。甲状腺が少し働きが悪いって言われて、ずっと薬を飲んでいます。  
23. 医師：お薬の名前を覚えていますか？  
24. 患者：はい、「レボチロキシン」っていう薬です。  
25. 医師：内服について問題はありませんか？特に飲み忘れたりはしていないですか？  
26. 患者：忘れずにしっかり飲んでいます。  
27. 医師：最近食欲が減ったり、体重が急に増えたりすることはありませんでしたか？  
28. 患者：特にないですけど、お腹や足がむくむ感じが少しあります。  
29. 医師：足のむくみですが、いつ頃から気づかれましたか？  
30. 患者：むくみ始めたのは1か月くらい前でしょうか。日に日に悪くなってきた感じです。  
31. 医師：むくみは朝起きた時よりも夕方の方が強いですか？  
32. 患者：そうですね。夕方になると特にひどくなります。  
33. 医師：呼吸困難についてですが、普段の活動以外で布団などで眠る時も息苦しいことはありますか？  
34. 患者：横になると少し息が詰まる感じがして、なので体を起こして寝ています。  
35. 医師：息切れが激しくなるような具体的な行為はありますか？例えば重い物を持つ時とか？  
36. 患者：特に重いものを持たなくても、掃除機をかけたり洗濯物を干したりするだけで息が切れます。  
37. 医師：日常生活は支障なくこなせていますか？  
38. 患者：いいえ、今はもう普通の家事もやっとです。  
39. 医師：最近の出来事や大きなストレスがありましたか？  
40. 患者：特にはないと思いますが、息切れが続くとやっぱり気が滅入りますね。  
41. 医師：頻繁に咳が出ることから気管支炎や肺の病気が関係している可能性も考えますが、そのような病歴はありますか？  
42. 患者：いいえ、呼吸器系の病気はこれまでありませんでした。  
43. 医師：咳が出るタイミングはどのような時が多いですか？  
44. 患者：夜が特にひどいですが、朝も少し出ます。  
45. 医師：咳や息切れ以外に、手や顔が腫れるようなことはありませんか？  
46. 患者：いいえ、顔は腫れていないと思います。  
47. 医師：倒れた時やふらついた時に手足のしびれや脱力感を感じることはありますか？  
48. 患者：いいえ、倒れる前も手足は動きました。ただめまいだけですね。  
49. 医師：ちょっと長くなりましたが、もう少し伺わせてください。普段の運動習慣や生活リズムはどのような感じですか？  
50. 患者：普段は家事くらいしか運動はしないです。最近は動くのも辛いのであまり動けていません。  
（解釈を続ける医師は診断に基づき「拡張型心筋症（DCM）」を診断として伝える）"
