"1. 医師：今日はどうされましたか？  
2. 患者：急に胸が締めつけられるような感じがして、息苦しかったんです。  
3. 医師：いつからその症状が出ましたか？  
4. 患者：今から2時間くらい前です。  
5. 医師：その症状が出る前に何かきっかけはありましたか？  
6. 患者：家族が亡くなったという知らせを受けて、とてもショックを受けていました。  
7. 医師：そうでしたか。それはかなりの心理的負担ですね。その後、どんな症状が出ましたか？  
8. 患者：胸が締めつけられる感じと息苦しさがどんどん増しました。  
9. 医師：胸の痛みは今も続いていますか？  
10. 患者：今は少し落ち着いているけれど、まだ少し違和感があります。  
11. 医師：胸の痛みが広がる感じはありますか？背中や腕に痛みを感じますか？  
12. 患者：広がる感じはないです。ただ、締めつけられるような感じだけです。  
13. 医師：他に気になる症状はありますか？例えば、冷や汗や吐き気などは？  
14. 患者：少し冷や汗は出た気がしますが、吐き気はありません。  
15. 医師：普段から糖尿病のお薬を飲まれているそうですが、それ以外の病歴はありますか？  
16. 患者：いいえ、それ以外には特に病気をしたことはありません。  
17. 医師：喫煙や飲酒の習慣はありますか？  
18. 患者：いえ、タバコもお酒もやりません。  
19. 医師：ご家族で心臓病を患った方はいらっしゃいますか？  
20. 患者：特に心臓病になった家族はいないと思います。  
21. 医師：発症時、心臓がドキドキして速くなる感じはありましたか？  
22. 患者：はい、すごく脈が速くなっている気がしました。  
23. 医師：呼吸が苦しい感じはどうでした？横になれないほどでしたか？  
24. 患者：とても苦しかったけれど、横になれないほどではなかったです。  
25. 医師：顔色は少し青白かったとのことですが、ご家族が何か気づいたことはありますか？  
26. 患者家族：はい、顔色が悪く見えましたが、汗をかいている様子はありませんでした。  
27. 医師：ご自身では心臓がバクバクしている以外に違和感はありましたか？  
28. 患者：特にそれ以外はなかったと思います。  
29. 医師：発症してから何かすることで症状が和らぎましたか？  
30. 患者：横になって休んでみたのですが、あまり良くならなかったので来ました。  
31. 医師：症状が和らぐことがなく、急いで病院に来られたのですね。それは正解でした。  
32. 医師：診察の結果や検査で冠動脈の詰まりなどは見られませんでした。  
33. 医師：ただ、心エコーで心臓の一部が正常に動いていないことがわかりました。  
34. 患者：それは心臓が悪いんですか？  
35. 医師：はい、診断としてはTakotsubo型心筋症と考えています。  
36. 患者：その病気はどういうものですか？  
37. 医師：主に強いストレスが引き金となり、心臓の一部が一時的に正常に動かなくなる状態です。  
38. 患者：家族の訃報のストレスが原因ということですか？  
39. 医師：その可能性が高いと思います。気持ちの整理がつかなくても、心が大きく影響しますね。  
40. 患者：治る病気なのでしょうか？  
41. 医師：時間と共に回復する方がほとんどです。心拍数や血圧をコントロールする薬を使います。  
42. 患者：薬でよくなるんですか？  
43. 医師：はい、適切な治療を行えば回復が期待できます。心負荷を減らす薬を処方します。  
44. 医師：具体的には心拍を抑えるカルベジロールと、血圧を調整するエナラプリルを使用します。  
45. 患者：わかりました。薬を飲んで指示を守るようにします。  
46. 医師：今回の症状に関連して、他に気になることがあれば教えてください。  
47. 患者：これ以上同じ症状が出ると怖いのですが、大丈夫でしょうか？  
48. 医師：再発する可能性は低いですが、ストレスをできるだけ避けてください。  
49. 医師：負担を減らし、生活習慣にも気をつけることが重要です。  
50. 患者：そうですね、ストレス管理にも注意していきます。"
