"1. 医師：今日はどうされましたか？  
2. 患者：最近、手が震えることが多くて、特に朝とか空腹のときがひどいんです。  
3. 医師：それはどれくらい前から続いていますか？  
4. 患者：ここ数ヶ月くらいですね。最初はたまにだったんですが、回数が増えてきました。  
5. 医師：具体的に震えはどのくらいの頻度で起こりますか？  
6. 患者：最近は毎日のように感じます。空腹のときが一番ひどいです。  
7. 医師：ほかにどんな症状がありますか？  
8. 患者：朝に頭が痛くなることがよくあります。そして食事をした後は眠くなることも多いです。  
9. 医師：その頭痛はどんな感じですか？ズキズキする感じですか？  
10. 患者：いや、なんとなくボーッと重い感じです。  
11. 医師：食後に眠気がくるのはどれくらいの頻度ですか？  
12. 患者：ほとんど毎回です。食べたらすぐに眠くなります。  
13. 医師：食後に手の震えはどうなりますか？  
14. 患者：食べた後しばらくすると震えは治ります。  
15. 医師：最近、大きなストレスや生活の変化がありましたか？  
16. 患者：特に変わったことはないと思います。いつも通りの生活をしています。  
17. 医師：意識が混濁したと家族が言っていましたが、そのときのことを覚えていますか？  
18. 患者：ぼんやりしていた感じで、はっきり覚えていません。ただ目が覚めたら家族が心配してました。  
19. 医師：普段、何か薬を飲んでいますか？  
20. 患者：いいえ、薬は飲んでいません。  
21. 医師：最近、体重の変化はありましたか？  
22. 患者：特に変わったことはないですね。体重もあまり増減していません。  
23. 医師：食事の量が変わったりすることはありますか？  
24. 患者：いえ、特に変わりません。普通の量を食べています。  
25. 医師：家族にも話を聞かせていただいてもいいですか？  
26. 患者家族：はい、私も最近朝起きてこないことがあって、様子がおかしいことが気になっていました。  
27. 医師：それはどのくらいの頻度ですか？  
28. 患者家族：ここ数週間で2、3回はありました。声をかけると反応はするんですが、元気がない感じです。  
29. 医師：そのとき、手の震えや脱力感を訴えることはありましたか？  
30. 患者家族：はい、震えがひどいときは立ち上がるのも大変そうでした。  
31. 医師：飲酒や喫煙の習慣はありますか？  
32. 患者：どちらも全くありません。  
33. 医師：夜間に頻尿や口の渇きは感じますか？  
34. 患者：いえ、そういうのは特にないです。  
35. 医師：最近、視力や視野に変化を感じることはありますか？  
36. 患者：それも特にありません。  
37. 医師：脱力感が強いとき、心臓が速くなる感じはありますか？  
38. 患者：はい、たまに動悸がすることがあります。  
39. 医師：その動悸はどのくらいの時間続きますか？  
40. 患者：短い時間です。数分程度で落ち着きます。  
41. 医師：食事の後は逆に元気になることが多い、ということでいいですか？  
42. 患者：はい、食べた後は元気になります。朝ごはんを食べると震えもなくなります。  
43. 医師：最近、便や尿の状態に変化はありますか？  
44. 患者：特に変わりはないと思います。  
45. 医師：膵臓の疾患や糖尿病の診断は受けたことがありますか？  
46. 患者：いえ、そういう病気になったことはないです。  
47. 医師：低血糖とお聞きすると、症状が軽快するタイミングと一致しますが、食事以外でも治まることはありますか？  
48. 患者：食事をしないと治らないと思います。  
49. 医師：血液検査や画像検査の結果を踏まえて、膵臓に問題がある可能性が高いと考えています。  
50. 医師：結果、低血糖の原因が「インスリノーマ」と呼ばれる膵臓の腫瘍によるものだと診断されました。"
