"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：実は、1か月ぐらい前から手足がしびれて、ここ最近特にひどく感じています。  
3. 医師：それはつらいですね。他には何か気になる症状はありますか？  
4. 患者：鼻がずっと詰まっています。最初は軽くて、くしゃみが多かったんですけど、だんだん悪くなりました。  
5. 医師：鼻詰まりやくしゃみはいつ頃から始まりましたか？  
6. 患者：1か月くらい前です。そのとき、薬も飲んでみたけど、少ししか効きませんでした。  
7. 医師：どのような薬を飲まれたか覚えていますか？  
8. 患者：市販のアレルギー用の薬を飲みました。  
9. 医師：なるほど。他に何か気になる症状はありませんか？  
10. 患者：最近は全身の関節が痛いです。それで、歩くのもつらくなってきました。  
11. 医師：関節痛はどの部分が特に痛いですか？また腫れたり赤くなったりしていますか？  
12. 患者：膝とか足首が痛いです。でも見た目には特に変わったところはなさそうです。  
13. 医師：手足のしびれですが、どんなときに特に強く感じますか？  
14. 患者：何もしなくても常にしびれていて、最近は歩くと力が入らない感じがします。  
15. 医師：力が入りにくいとのことですが、特定の動作で不自由を感じますか？  
16. 患者：階段を上がるのが特に大変で、よくつまずきます。  
17. 医師：日常の生活にどの程度影響がでていますか？  
18. 患者：最近、家の中でも動くのが億劫になるくらいです。  
19. 医師：鼻詰まり以外に、咳とか呼吸が苦しいと感じることはありますか？  
20. 患者：少しですが咳が出ることがあります。ただ、息が苦しいというほどではないです。  
21. 医師：視力や耳鳴りなど、感覚器官に問題は出ていますか？  
22. 患者：いいえ、目や耳に問題は出ていません。  
23. 医師：皮膚に発疹やアザのようなものは見られますか？  
24. 患者：最近、足に紫色っぽいアザみたいなものが出ています。  
25. 医師：その紫の跡は触ると痛みがありますか？  
26. 患者：いえ、触っても痛みはないです。  
27. 医師：そうですか。ご家族で同じような症状の方はいらっしゃいますか？  
28. 患者：いえ、家族にはそういう症状の人はいません。  
29. 医師：他の病気で治療を受けたことや、持病はありますか？  
30. 患者：特にありません。ただ、花粉症は昔からありました。  
31. 医師：最近、体重の増減はありますか？  
32. 患者：特には変わっていないと思います。  
33. 医師：過去に手足のしびれや関節痛が出たことはありますか？  
34. 患者：いいえ、初めてのことです。  
35. 医師：飲酒や喫煙の習慣はありますか？  
36. 患者：たまに飲みますけど、タバコは吸いません。  
37. 医師：普段のお仕事や生活に何かストレスがありますか？  
38. 患者：仕事が少し忙しくて寝不足気味ですが、特に強いストレスは感じていません。  
39. 医師：寝不足とのことですが、睡眠時間はどれくらいですか？  
40. 患者：大体毎日5時間ぐらいです。  
41. 医師：先ほど言われた歩きづらい件ですが、転んだりすることはありますか？  
42. 患者：実際に転んだことはないですが、ふらつくことはあります。  
43. 医師：最近、風邪を引いたりしたことはありますか？  
44. 患者：いえ、風邪っぽい症状は特にありません。  
45. 医師：発熱やのどの痛みなどはどうでしょうか？  
46. 患者：熱はないですし、のども痛くありません。  
47. 医師：本日、血液検査と尿検査、それと画像検査も行いましょう。その結果から詳しく見ていきましょう。  
48. 患者：よろしくお願いします。  
49. 医師：結果をもとにお話しすると、好酸球性多発血管炎性肉芽腫症という病気の可能性が高いです。  
50. 患者：その病気について教えてもらえますか？  "
