"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：3日前くらいから体がだるくて、昨日から熱が出て頭が痛いんです。  
3. 医師：その熱はどのくらいの高さですか？  
4. 患者：家で測った時は38.5℃くらいでした。  
5. 医師：関節の痛みもあると聞きましたが、どこの関節が特に痛みますか？  
6. 患者：手首や膝のあたりが特に痛いです。  
7. 医師：痛みの程度はどうですか？例えば普段の生活にどのくらい支障がありますか？  
8. 患者：結構強いです。歩くのもしんどく感じます。  
9. 医師：これまでに同じような症状になったことはありますか？  
10. 患者：いえ、こんなにひどいのは初めてです。  
11. 医師：咳や喉の痛みなど、他の症状はありますか？  
12. 患者：喉が少し痛いですが、咳はあまり出ないです。  
13. 医師：市販薬は何か試されましたか？  
14. 患者：一応、解熱剤を飲みましたけど、少し熱が下がるだけですぐ元に戻ります。  
15. 医師：最近どこかへ旅行や、海外に行かれたことはありますか？  
16. 患者：いいえ、最近は旅行もしていないです。  
17. 医師：何か心当たりがある特別な出来事や環境の変化はありますか？  
18. 患者：特に変わったことはないと思います。  
19. 医師：仕事や日常生活で何かストレスが溜まるようなことは？  
20. 患者：仕事自体は忙しいですけど、普段とあまり変わらないですね。  
21. 医師：体調を崩す前に誰か周囲で同じような症状の人はいませんでしたか？  
22. 患者：特にそんな話は聞いていないです。  
23. 医師：最近、インフルエンザの予防接種を受けましたか？  
24. 患者：今年は受けていないんです。  
25. 医師：鼻水や鼻詰まりの症状はどうですか？  
26. 患者：鼻水はそんなに出ていないです。  
27. 医師：お酒やタバコの習慣はありますか？  
28. 患者：お酒は月に数回程度で、タバコは吸いません。  
29. 医師：持病や普段飲んでいる薬はありますか？  
30. 患者：特に持病はないし、普段薬も飲んでいないです。  
31. 医師：睡眠は十分に取れていますか？  
32. 患者：昨日は寒気であまり寝られませんでした。  
33. 医師：ご家族や職場の方はどうですか？誰か体調不良の人はいますか？  
34. 患者：家族も職場の人も特に不調の話はないです。  
35. 医師：では、今一番つらい症状は何ですか？  
36. 患者：熱と頭痛、それと関節の痛みが本当にしんどいです。  
37. 医師：吐き気や下痢など他の症状は出ていますか？  
38. 患者：いえ、胃腸の症状はないです。  
39. 医師：今の食欲はどうですか？  
40. 患者：ほとんど食べられていません。  
41. 医師：職場でクーラーやヒーターに長時間当たるような環境ですか？  
42. 患者：いえ、普通の室温環境で仕事しています。  
43. 医師：最近周囲で流行している感染症の話は聞きましたか？  
44. 患者：特に耳にしたことはないです。  
45. 医師：体温を測らせてもらいますね。39.2℃です。結構高いですね。  
46. 患者：そうなんです。解熱薬飲んでも全然下がらないんです…。  
47. 医師：喉を見せてもらいます。少し赤くなっていますね。腫れはないですよ。  
48. 患者：そうですか。それでも痛いんですね。  
49. 医師：鼻水や鼻づまりがないのにこの症状だと、可能性としてはウイルス感染かもしれません。インフルエンザの迅速検査を行ってみましょう。  
50. 医師：結果が出ました。インフルエンザA型陽性です。これはインフルエンザによる症状ですね。"
