"1. 医師：こんにちは、本日はどうされましたか？  
2. 患者：最近息切れがひどくて、特に動いたときに息が苦しくなります。  
3. 医師：息切れはいつ頃から感じ始めましたか？  
4. 患者：数か月前くらいからですが、最近になって特に悪化してきました。  
5. 医師：どんな時に息切れを感じますか？  
6. 患者：階段を上ったりする時ですね。2週間前からは本当に少し動くだけでも苦しくなります。  
7. 医師：苦しい感じはどのくらい続きますか？  
8. 患者：動きをやめれば徐々に収まりますが、日常生活にも支障が出ています。  
9. 医師：咳や痰は出ていますか？  
10. 患者：乾いた咳が出ますが、痰はあまりないです。  
11. 医師：咳はいつ頃から始まりましたか？  
12. 患者：息切れが悪化してからですね。  
13. 医師：熱はありましたか？  
14. 患者：1週間くらい前から微熱が続いてます。  
15. 医師：微熱はどのくらいの体温ですか？  
16. 患者：37.2度から37.5度くらいです。  
17. 医師：市販薬など何か試されましたか？  
18. 患者：咳止めや感冒薬を飲みましたが、全然良くなりません。  
19. 医師：先に伺っておきますが、持病や手術歴などがありますか？  
20. 患者：10年くらい前に子宮筋腫で子宮を摘出しましたが、それ以外は特にないです。  
21. 医師：過去に肺の病気や呼吸器の症状が続いたことはありませんか？  
22. 患者：いえ、これまでは健康でした。  
23. 医師：煙草を吸われたり、周辺で喫煙者はいらっしゃいますか？  
24. 患者：タバコは吸いませんし、家族も吸いません。  
25. 医師：ペットを飼っていますか？  
26. 患者：いえ、ペットもいません。  
27. 医師：最近、旅行や新しい環境に行かれましたか？  
28. 患者：特に変わったことはしていません。  
29. 医師：食欲や体重の変化はどうですか？  
30. 患者：食欲も普通で、体重も変わっていないと思います。  
31. 医師：下腿のむくみや胸の痛みは感じましたか？  
32. 患者：むくみも胸の痛みもありません。  
33. 医師：最近、エアコンや空気清浄機のフィルターを交換しましたか？  
34. 患者：フィルターは最近掃除しましたが、それが関係あるんですか？  
35. 医師：環境も関係することがあるんです。夜に苦しくなることはありますか？  
36. 患者：夜は特に変わりません。  
37. 医師：呼吸が苦しいと感じたとき、冷たい空気や横になると楽になりますか？  
38. 患者：いいえ、特にそんな変化はないです。  
39. 医師：軽い運動でも症状が悪化するとのことですが、具体的にどの程度の動きで苦しくなりますか？  
40. 患者：家事をしているだけで息切れしてしまいます。  
41. 医師：ご家族は何か症状に関して気づいていますか？  
42. 患者家族：最近、妻がやたら疲れやすいと言っていて、動くと苦しそうです。  
43. 医師：奥様が咳き込んでいる時には特にどんな場面でそうなるか覚えていますか？  
44. 患者家族：特に運動や忙しくしている最中に咳が出るように思います。  
45. 医師：わかりました。他に気になる症状はありますか？  
46. 患者：特にはありませんが、息切れが本当に辛いです。  
47. 医師：検査結果から、肺に囊胞が多数できているのが確認されています。これが呼吸の障害につながっている可能性があります。  
48. 患者：囊胞ですか…。どうすればいいのでしょうか？  
49. 医師：詳しい結果から診断ですが、LAM（リンパ脈管筋腫症）という病気です。肺に影響を及ぼす病気です。  
50. 患者：そうなんですか…。これでやっと原因が分かりましたね…。"
