
"1. 医師：今日はどうされましたか？  
2. 患者：最近、物忘れがひどくなってきて、家族が心配して受診するように勧めました。  
3. 医師：いつ頃から物忘れが気になるようになりましたか？  
4. 患者：数年前から少しずつです。ただ、最近はもっと悪くなっている気がします。  
5. 医師：具体的にどのようなことを忘れることが多いですか？  
6. 患者：さっき食べたご飯のこととか、何を話してたか思い出せなくなったりします。  
7. 医師：日常生活に支障を感じることはありますか？  
8. 患者：今はまだ家族に助けてもらえば大丈夫ですが、自分だけでは不安なことが増えてきました。  
9. 医師：家族の方も何か気づいていることはありますか？  
10. 患者家族：はい、最近は会話の中で前の話を忘れていることが多いです。それと夜間に妙な行動をすることがあります。  
11. 医師：夜間にどのような症状が見られますか？  
12. 患者家族：夢を見ているのか、布団をけったり、はっきりした声で叫ぶことがあります。  
13. 医師：以前にはそういった行動はありませんでしたか？  
14. 患者家族：ここ2年くらいで気づきました。それまでは全くありませんでした。  
15. 医師：日中に何か気になる行動や症状はありませんか？  
16. 患者：時々、人影が見えることがあります。でも誰もいないはずなんです。  
17. 医師：そのような人影はどのように感じますか？怖いと感じますか？  
18. 患者：時々怖いと思いますが、普段は驚くだけで、大したことではないです。  
19. 医師：その人影を見る頻度はどれくらいですか？  
20. 患者：どうでしょう、週に数回くらいです。ちゃんと覚えていません。  
21. 医師：ご家族もそれについて気づかれていましたか？  
22. 患者家族：ええ、何度か話してくれたので気がつきました。でも本人が忘れてしまっていることも多いんです。  
23. 医師：最近、歩くときや動作で困ることはありますか？  
24. 患者：少し動き始めるのに時間がかかったり、体が硬く感じることがあります。  
25. 医師：転倒したことはありますか？  
26. 患者：いえ、まだ転んだことはありません。  
27. 医師：特に右手または左手に動かしづらさを感じることはありますか？  
28. 患者：なんだか動きにくい気がすることはありますが、それが普通なのか分かりません。  
29. 医師：普段の睡眠はどうですか？よく眠れていますか？  
30. 患者：夜中に目が覚めることが多いです。でもすぐにまた眠れます。  
31. 医師：日中の活動量や疲れやすさはいかがでしょうか？  
32. 患者：少し疲れやすくなったかもしれませんが、特に問題ないです。  
33. 医師：以前の趣味や好きだったことには取り組めていますか？  
34. 患者：最近あまり興味がわかなくなってきた気がします。  
35. 医師：それはいつ頃からですか？  
36. 患者：ここ半年くらいでしょうか。  
37. 医師：認知機能について評価する簡単な検査をさせていただきたいのですが、よろしいですか？  
38. 患者：はい、お願いします。  
39. 医師：では、これからいくつか質問をします。今日の日付を教えていただけますか？  
40. 患者：（日付を間違える）  
41. 医師：ありがとうございます。一つずつ確認していきましょう。この後、少し動きやすさについて診察させていただきますね。  
42. 医師：手足の動きと筋肉の硬さを確認しますので、力を抜いてください。  
43. 医師：リラックスしてください。この感じ、少し筋肉が硬いですね。日常生活で影響はありませんか？  
44. 患者：たまに動き出しが遅いですけど、大丈夫です。  
45. 医師：MRIで脳の画像を撮った結果、少し萎縮が見られます。そして血流も少し低下している部分があります。  
46. 医師：そのため、いくつかの症状が関連して起こっていることが分かりました。  
47. 医師：診断の結果、レビー小体型認知症という病気でした。  
48. 患者：レビーという病気なんですか？  
49. 医師：そうですね。物忘れや幻視、体の硬さなどが特徴的な病気です。  
50. 医師：これで診断がつきました。お疲れ様でした。  "
