"1. 医師：今日はどのようなご相談でしょうか？  
2. 家族：父がここ数年で性格が変わったように感じるんです。特に失礼な発言や、怒りっぽくなることが増えました。  
3. 医師：性格が変わるとおっしゃいましたが、具体的にはどんな場面でそれを感じますか？  
4. 家族：例えば、友人や親戚との会話で急に不適切なことを言ったり、仕事でも部下に厳しすぎる態度をとったりしていました。  
5. 医師：それは最近になってからですか？それとも以前から少しずつ増えていた感じですか？  
6. 家族：最初は軽い冗談だと思っていたんですが、ここ数年でどんどん目立つようになりました。  
7. 医師：他に感情や行動に変化はありましたか？  
8. 家族：感情表現がすごく乏しくなりました。私たちと話しても興味がない感じで、笑顔すらあまり見なくなりました。  
9. 医師：それはいつ頃から気づきました？  
10. 家族：多分3年くらい前からですかね。でも、最近それがひどくなった気がします。  
11. 医師：ご本人はどう感じていますか？何か困ったことはありますか？  
12. 患者：いや、特にないです。家族が大げさに言ってるんじゃないですかね。  
13. 医師：以前と比べて言葉が出にくいとか、説明しづらいと感じたことはありますか？  
14. 患者：うーん…分からないです。でも、まあ、たまに言いたいことが出てこない時もありますね。  
15. 家族：最近言葉数が減っていて、説明力も落ちている感じがします。  
16. 医師：具体的にどのような場面でそれを感じますか？  
17. 家族：例えば、買い物リストを説明するのに苦労したり、言葉を繰り返したりします。  
18. 医師：他に何かお困りのことはありますか？例えば記憶力の低下とか。  
19. 家族：記憶力はそんなに悪い気はしませんけど、会話がうまく続かないことが一番困ります。  
20. 医師：最近、行動が以前と比べて少し impulsive（衝動的）になった印象もありますか？  
21. 家族：そうですね。突然怒り出したり、どうでもいい場面で大胆な選択をすることがあります。  
22. 医師：具体的にはどのような行動ですか？  
23. 家族：レストランで急にお皿を叩いたり、町中で赤の他人に注意したりすることがあります。  
24. 医師：何か病識や反省について話をされたことはありますか？  
25. 家族：感覚的には「自分は変だ」という感覚があまりないようです。  
26. 医師：他に日常生活で特に気になることや変わったことはありませんか？  
27. 家族：最近はテレビや読書への興味が薄れてきました。それでも食事や家事には異変はないです。  
28. 医師：身体の不調や運動の問題などは感じていますか？  
29. 患者：いや、体は特に何ともありません。普通に歩けますし散歩にも行ってます。  
30. 医師：麻痺や震えなどはありませんか？  
31. 患者：全然ないです。元気なんですけどね。  
32. 医師：ご家族から見て運動能力や日常的な動作について何か心配な点はありましたか？  
33. 家族：それは特にないと思います。本当に普通に歩けるし、段差でも気にしてないですね。  
34. 医師：そのほか、食欲や睡眠などに変化はありませんか？  
35. 家族：それも特にありません。ただ、本当に感情が顔に出なくて、なんだかロボットみたいな印象です。  
36. 医師：感情の乏しさという点で、以前の趣味や楽しみはどうですか？  
37. 家族：それも少なくともここ2年くらいでどんどん減ってきました。  
38. 医師：例えば、どんな趣味をされていましたか？  
39. 家族：釣りやガーデニングをよくしていましたが、今は全然ですね。  
40. 医師：なるほど。では、少し質問を変えます。友人や同僚との関係に変化はありましたか？  
41. 家族：友人とは疎遠になり、同僚からは距離を取られているようです。  
42. 医師：なぜそうなったのか、ご本人は何かおっしゃっていますか？  
43. 家族：特に考えないみたいです。理由も気にしていないようです。  
44. 医師：ここまでお話を聞いている中では、発言や行動、感情表現、意思疎通に問題が目立つようですね。  
45. 家族：はい、それが一番困っているところです。  
46. 医師：先ほどお話にあったMRI検査や心理検査の結果を見る限り、前頭葉と側頭葉の萎縮が確認されました。  
47. 家族：それはどんな病気なのでしょうか？  
48. 医師：診断としては「前頭側頭葉変性症」という病気に該当します。  
49. 家族：それはどんな特徴がある病気ですか？  
50. 医師：主に社会的な行動や感情、言語能力に影響を与える疾患で、脳の前頭葉や側頭葉の変性によるものです。"
