"1. 医師：こんにちは、今日はどうされましたか？  
2. 患者：最近歩くのが大変で、特に足がもつれるような感じがします。  
3. 医師：それはいつごろから始まりましたか？  
4. 患者：1年前くらいからですけど、最初は頻尿が気になり始めて、その後少しずつ歩きづらくなってきました。  
5. 医師：頻尿はどの程度ですか？夜間に何回くらいトイレに行きますか？  
6. 患者：夜中に3～4回は行きます。昼間も近くなりました。  
7. 医師：それで歩行の問題は具体的にどのような感じですか？  
8. 患者：足がもつれて、スムーズに歩けないんです。最近は小さな歩幅でしか歩けません。  
9. 医師：家族の方も何か気になった点はありましたか？  
10. 患者の家族：はい。母が最近物を置いた場所をよく忘れたり、話を聞いている最中にぼーっとしていることが増えました。  
11. 医師：以前はそういったことはありませんでしたか？  
12. 患者の家族：そんなに目立つことはなかったので、最近急に増えた感じです。  
13. 医師：高血圧があると聞いていますが、お薬はしっかり飲まれていますか？  
14. 患者：はい、毎日欠かさず飲んでいます。  
15. 医師：これまでに転んだりすることはありましたか？  
16. 患者：何度かあります。足がもつれてバランスを崩すことがあります。  
17. 医師：ふらつきは歩くときだけですか？立ち上がるときにはどうですか？  
18. 患者：立ち上がるときは特別ふらつくことはないですけど、歩き始めると怖いんです。  
19. 医師：最近、頭痛や吐き気はありますか？  
20. 患者：それは特にありませんね。  
21. 医師：視力の変化や見えづらさを感じることはありますか？  
22. 患者：いいえ、それもないです。  
23. 医師：睡眠の具合はいかがですか？夜はよく眠れていますか？  
24. 患者：頻尿のせいか、夜は何度も目が覚めてしまいます。昼間は眠くなることもあります。  
25. 医師：食欲や体重の変化はありますか？  
26. 患者：食欲は特に変わりませんが、体重は少し減った気がします。  
27. 医師：日常生活で特に困ることは何かありますか？  
28. 患者：最近は歩きづらくなって、買い物にも行くのが億劫です。それとトイレのことも気になって外出が減りました。  
29. 医師：先生に診てもらう前に他の病院では検査をされましたか？  
30. 患者：いいえ、これが初めてです。  
31. 医師：脳や神経の病気を調べるためにMRI検査を行いたいですけど、よろしいですか？  
32. 患者：もちろんお願いします。  
33. 医師：ではそれとは別に、バランス感覚や筋力を調べるテストも少し行いますね。  
34. 患者：分かりました。  
35. 医師：歩行を観察しましたが、少し前に体重がかかりがちですよね。これはいつごろからですか？  
36. 患者：数カ月前からです。最近特にひどくなりました。  
37. 医師：頻尿は水分を少し控えたりすると変わりますか？  
38. 患者：あまり変わらないですね。  
39. 医師：記憶力の低下についてですが、今一番困ることは何ですか？  
40. 患者：最近のことをすぐ忘れてしまって、メモをよく取るようになりました。  
41. 医師：家族の方にも少しお聞きしたいのですが、症状が全体的に悪化している感じはありますか？  
42. 患者の家族：そうですね。数カ月前より全体的に症状が進んでいるようです。  
43. 医師：もしかすると脳脊髄液の流れに問題がある可能性があります。MRI・CT検査を詳しく行いたいです。  
44. 患者：それが原因ですかね？お願いします。  
45. 医師：検査結果を見て判断したいですが、いわゆる正常圧水頭症（NPH）という病気の可能性を考えています。  
46. 患者：水頭症ってどういうものなんですか？  
47. 医師：脳の中で脳脊髄液がうまく流れず、脳室という部分が拡大することで歩行、記憶、排尿などに影響が出る病気です。  
48. 患者：それが治るものなんですか？  
49. 医師：治療は可能です。まずタップテストといって簡単な排液テストを行い、変化を観察します。  
50. 患者：分かりました、そのテストをしてみたいです。"
