"1. 医師：こんにちは。本日はどのようなことでお困りですか？  
2. 患者：最近、歩くときにふらつくことが多くて、すぐに転びそうになるんです。  
3. 医師：歩行の不安定さはいつ頃から始まりましたか？  
4. 患者：2か月くらい前からですね。徐々に悪化してきました。  
5. 医師：頻繁に転倒することはありますか？  
6. 患者：幸い転んではいませんが、本当に転びそうになることがよくあります。  
7. 医師：歩き方に変化があると気づきましたか？  
8. 患者：そうですね。足を広げて歩くようになった気がしますね。  
9. 医師：歩幅が狭くなったと感じたことはありますか？  
10. 患者：はい。前より足が思ったように動かなくて、ちょこちょこ歩いている感じです。  
11. 医師：体のどこかに痛みやしびれはありますか？  
12. 患者：いいえ、特に痛みやしびれは感じていません。  
13. 医師：動かしにくさや筋力の低下はどうですか？  
14. 患者：それも特に感じません。  
15. 医師：歩行以外で日常生活に変化はありますか？  
16. 患者：以前に比べて、何をするにもやる気が出ないんです。  
17. 医師：やる気が低下し始めたのはいつ頃ですか？  
18. 患者：歩きにくくなり始めた頃と同じくらいですね。  
19. 医師：趣味や普段好きだったことに興味がなくなったと感じますか？  
20. 患者：はい、好きでよくやっていた編み物なんかも気が進まなくなりました。  
21. 医師：他に何か気になる体の症状はありますか？  
22. 患者：夜中に何度もトイレに行くようになって困っています。  
23. 医師：夜のトイレは1晩にどのくらい行きますか？  
24. 患者：多いときは7回以上行っています。  
25. 医師：その症状もここ2か月ほどで始まったんでしょうか？  
26. 患者：そうですね、だんだんひどくなってきました。  
27. 医師：尿漏れなどはありますか？  
28. 患者：尿漏れはないです。  
29. 医師：日中のトイレの回数も増えていますか？  
30. 患者：いいえ、日中は普通だと思います。  
31. 医師：糖尿病をお持ちとのことですが、血糖コントロールは定期的に確認されていますか？  
32. 患者：はい、近くのクリニックで定期的に検査しています。  
33. 医師：糖尿病治療として、現在はどのような薬を服用していますか？  
34. 患者：メトホルミンを飲んでいます。  
35. 医師：ご家族の方から見て、ここ数ヶ月でご本人に何か変化を感じることはありますか？  
36. 患者家族：歩き方がおかしくなってきたのと、全体的に元気がなくなっていますね。前より話しかけても反応が鈍い感じがします。  
37. 医師：反応が鈍いということですが、記憶力や物忘れに変化はありますか？  
38. 患者家族：いや、記憶はそこまで問題ないと思います。昔のことなんかもよく覚えていますし。  
39. 医師：患者さん、ご自身では記憶力に問題があると感じますか？  
40. 患者：特にそうは思わないです。  
41. 医師：最近、何かストレスを感じるような出来事はありましたか？  
42. 患者：特に思い当たることはないですね。  
43. 医師：生活パターンや食事に大きな変化はありましたか？  
44. 患者：特に変わっていません。  
45. 医師：血圧や他の慢性疾患で治療を受けているものはありますか？  
46. 患者：はい、時々血圧も高いと言われますが、あまり気にしていません。  
47. 医師：歩行が悪化した原因を詳しく調べるために、追加の検査が必要です。MRI検査を行ったところ、脳に少し異常が見つかりましたので詳しくお伝えしますね。  
48. 患者：脳に異常と言われると少し心配ですが、教えてください。  
49. 医師：脳室という部分が広がっているため、歩行や意欲の低下、夜間頻尿が起きている可能性があります。この病気は正常圧水頭症と呼ばれるものです。  
50. 患者：そうなんですね。この病気は治るんですか？  "
