"1. 医師：今日はどうされましたか？  
2. 患者：急に立てなくなってフラフラして、思うように動けなかったんです。  
3. 医師：それは今日の朝からの症状ですか？  
4. 患者：そうです、朝起きた時から頭がぼんやりしていて、倒れそうな感じがしました。  
5. 医師：それに加えて、他に困っている症状はありますか？  
6. 患者：最近、物を忘れることが多くなりました。  
7. 医師：例えばどのようなことを忘れたのですか？  
8. 患者：誰かと約束したのに覚えていなかったり、家族の顔を一瞬わからなくなったりします。  
9. 医師：家族の顔がわからなかったことについて、詳しく教えてください。  
10. 患者：はい、時々家に来る親戚を見て、「誰だっけ？」って思うことがありました。  
11. 医師：それは最近のことですか？  
12. 患者：はい、ここ2週間くらいですね。  
13. 医師：歩行中にふらつくことが増えたのはいつ頃からですか？  
14. 患者：ここ1週間くらい前からです。  
15. 医師：そのときに転んだことはありますか？  
16. 患者：いえ、なんとか物に掴まって倒れないようにしていました。  
17. 医師：以前にも記憶に問題があったり、ふらつきがあったことはありますか？  
18. 患者：いいえ、こんなことは初めてです。  
19. 医師：最近の生活習慣について伺いたいのですが、食生活はいかがですか？  
20. 患者：あまりしっかり食べられていないと思います。  
21. 医師：それはどれくらい続いているのですか？  
22. 患者：2ヶ月くらい前から忙しくて、あまりご飯を食べる時間がありませんでした。  
23. 医師：飲酒の習慣について教えていただけますか？  
24. 患者：はい、毎晩ビールを飲んでいました。  
25. 医師：それはどのくらいの量でしたか？  
26. 患者：大瓶で1〜2本くらいです。  
27. 医師：飲酒歴はどれくらいになりますか？  
28. 患者：10年くらいは続けていると思います。  
29. 医師：自分でお酒を控えなければならないと思ったことはありますか？  
30. 患者：あまり気にしたことがなかったです。  
31. 医師：最近、他に意識の変化を感じたことはありますか？  
32. 患者：そうですね、頭の中がもやもやする感じがしていました。  
33. 医師：食事を摂らないことが気分や体調に影響を与えていると思いますか？  
34. 患者：はい、疲れやすくなった気がします。  
35. 医師：意識がぼんやりすることは、いつごろ始まりましたか？  
36. 患者：1週間くらい前からです。  
37. 医師：ご家族の方に患者さんの様子について伺いたいのですが、いかがでしょう？  
38. 患者家族：最近、物忘れや同じ話を繰り返すことが目立つようになりました。  
39. 医師：患者さんが顔色や行動などで変わったところはありましたか？  
40. 患者家族：少し元気がなくて、疲れているように見えました。  
41. 医師：以前はそのようなことがありませんでしたか？  
42. 患者家族：はい、最近急に始まりました。  
43. 医師：患者さん、最近の疲れやすさや集中力の低下に困っていますか？  
44. 患者：はい、どうしても体が動かない日もありました。  
45. 医師：指先を使った仕事や注意力が必要な作業で困ったことはありますか？  
46. 患者：友達とメモを取ったりするのに、記憶が曖昧で困ることがありました。  
47. 医師：お酒を飲む頻度が体調にどう影響していると感じますか？  
48. 患者：正直、自分ではわからないんですけど…。  
49. 医師：検査の結果や症状から、ビタミンB1の欠乏がかなり疑われます。  
50. 医師：Wernicke脳症という病気です。"
