"1. 医師：こんにちは。本日はどのようなご相談でしょうか？  
2. 患者：1か月くらい前から頭痛が続いていて、首も少し痛くてだるいんです。  
3. 医師：1か月前からですか。その頭痛はいつ痛みが強くなりますか？  
4. 患者：立ったり座ったりしているときに痛みがひどくなる感じです。寝ていると少し楽になります。  
5. 医師：寝ていると症状が軽くなるんですね。他にはどんな状況で変化がありますか？  
6. 患者：特に朝起きてすぐのときや長時間の活動後にひどく感じます。  
7. 医師：なるほど。その頭痛はどんな痛みですか？ズキズキする、締め付けられるような痛みでしょうか？  
8. 患者：ズキズキするというより、全体的に重苦しい感じです。  
9. 医師：頭痛はどこを中心に痛みますか？頭の前、後ろ、片側、全体ですか？  
10. 患者：頭の全体が重い感じですが、特に後ろ側が気になります。  
11. 医師：わかりました。それでは、首の痛みですが、どの辺りが痛いですか？  
12. 患者：首の後ろの方が軽く痛むんですが、そんなにひどくはないです。  
13. 医師：倦怠感についてですが、どんな場面で特に感じますか？  
14. 患者：日中の仕事や家事をしていると、すごく疲れてしまう感じです。  
15. 医師：食欲や睡眠には変化がありますか？  
16. 患者：食欲は普通ですが、頭痛のせいで寝つきが悪いことがあります。  
17. 医師：そうですか。頭痛や倦怠感が出る前に特別な出来事やストレスはありましたか？  
18. 患者：いいえ、特に変わったことや大きなストレスは思い当たりません。  
19. 医師：過去に同じような頭痛を経験したことはありますか？  
20. 患者：これほどひどいのは初めてです。頭痛自体は時々ありますが。  
21. 医師：頭をぶつけたり、転んだりしたことはありませんでしたか？  
22. 患者：いいえ、そういう記憶はありません。  
23. 医師：以前に手術を受けたり、入院したことはありますか？  
24. 患者：特にありません。健康にはこれまで問題なかったと思います。  
25. 医師：家庭や仕事で最近大きな変化はありましたか？  
26. 患者：特にないです。仕事も変わり映えしませんし、家庭も平穏です。  
27. 医師：頭痛以外に目が霞む、耳鳴りがするなど他の症状はありますか？  
28. 患者：いいえ、特にありません。ただこのだるさと頭痛がつらいです。  
29. 医師：頭痛は薬を飲むと軽くなりますか？  
30. 患者：鎮痛薬を飲んでみたんですが、ほとんど効きませんでした。  
31. 医師：わかりました。ふだんの水分摂取量はどのくらいですか？  
32. 患者：水分はあまり意識していませんが、あまり飲んでいないかもしれません。  
33. 医師：家族の方から何か症状について気づいたことはありますか？  
34. 患者家族：特に変わりないですが、最近元気がなさそうに見えます。  
35. 医師：体温は普段より高かったり低かったりしますか？  
36. 患者：普段通りで、特に変化はありません。  
37. 医師：以前、血液の検査や健康診断は受けていますか？異常はありましたか？  
38. 患者：会社の健康診断を受けていますが、特に問題はないと言われました。  
39. 医師：首の痛みやだるさが始まったときに、重たい荷物を持ったりしましたか？  
40. 患者：そのようなことは特に覚えていません。  
41. 医師：問題の始まりから今まで、症状は悪化していますか？変わらないですか？  
42. 患者：だんだん悪くなっている感じがしますね。  
43. 医師：立っているだけで頭痛が悪化するというのは、何か思い当たることはないですか？  
44. 患者：特に思い当たる節はありません。立っているのがつらいだけです。  
45. 医師：最近、頭や首に何か異常な外力がかかった経験はありましたか？  
46. 患者：いいえ、そういう記憶はありません。  
47. 医師：MRI検査を行いましたところ、硬膜が少し厚くなっていて、髄液漏出が疑われました。  
48. 患者：え？髄液漏出ですか？それってどういう病気なんでしょうか？  
49. 医師：これは脳脊髄液減少症といって、髄液が漏れることで頭痛や倦怠感が起きることがあります。  
50. 患者：それで今の症状が出ているんですか。診断がついて少し安心しました。"
