"1. 医師：こんにちは、どうされましたか？  
2. 患者：2週間前から毎日熱が続いていて、特に午後になると熱が上がるんです。  
3. 医師：どのくらいの熱が出ていますか？  
4. 患者：大体38度台です。でも昨日は39度くらいありました。  
5. 医師：熱以外に何か他の症状はありますか？  
6. 患者：筋肉が全身的に痛くて、特に腕とか太ももあたりが強いです。あと関節も痛いです。  
7. 医師：関節のどの部分が痛みますか？  
8. 患者：手首と膝が特に痛いです。  
9. 医師：腫れや赤み、触ると痛む感じはありますか？  
10. 患者：腫れてる感じはありますが、赤くはないです。触るとズキズキします。  
11. 医師：ほかに気になることはありますか？  
12. 患者：1週間前から首のあたりが腫れてきました。触るとこりこりしています。  
13. 医師：どのあたりが腫れていますか？  
14. 患者：ちょうど耳の下あたりですね。  
15. 医師：痛みはどうですか？  
16. 患者：触ると少し気になりますが、特に普段は痛くないです。  
17. 医師：お仕事や普段の生活には支障が出ていますか？  
18. 患者：はい、倦怠感がひどくて、とても仕事どころじゃないです。  
19. 医師：最近、発疹など肌に何か変わったことはありませんか？  
20. 患者：腕と太ももに淡いピンク色の発疹が出ています。かゆくはないです。  
21. 医師：その発疹は熱が出る時間帯と関係がありそうですか？  
22. 患者：そういえば、熱が上がった時に目立つ気がします。  
23. 医師：他に例えばお腹が痛いとか、呼吸が苦しいとか、症状はありますか？  
24. 患者：いいえ、それは特にありません。でも疲れ切った感じがずっとしています。  
25. 医師：以前に同じような症状が出たことはありますか？  
26. 患者：いえ、こんなことは初めてです。  
27. 医師：過去に大きな病気や手術をしたことはありますか？  
28. 患者：特にはありません。  
29. 医師：現在、定期的に服用している薬やサプリメントはありますか？  
30. 患者：いいえ、何も飲んでいません。  
31. 医師：ご家族で同じような症状の方はいらっしゃいますか？  
32. 患者：いえ、私だけですね。  
33. 医師：普段の生活で、例えば動物と接する機会はありますか？  
34. 患者：特にないです。ペットも飼っていませんし。  
35. 医師：旅行や普段とは違う場所に行ったことは最近ありましたか？  
36. 患者：行ってないです。ずっと自宅と仕事の往復だけです。  
37. 医師：お食事や飲み物で変わったものを摂ることはありましたか？  
38. 患者：いえ、いつも通りの食事です。  
39. 医師：お酒やタバコは？  
40. 患者：お酒はたまに飲みますが、タバコは吸いません。  
41. 医師：お腹や胸に喉、何か気になる症状は他にありませんか？  
42. 患者：今のところ言われてみれば、感じたことはないです。  
43. 医師：学校や職場で最近ストレスが増えたとか、体調に関係しそうな出来事はありましたか？  
44. 患者：仕事は忙しいですが、特に何かきっかけになるようなことはありません。  
45. 医師：ご自身で熱が出る原因に心当たりはありますか？  
46. 患者：全くわかりません。突然こうなってしまいました。  
47. 医師：これまでに発熱や関節痛で他の病院に行ったことはありますか？  
48. 患者：1週間ほど前に近所のクリニックに行きましたが、風邪と言われただけで薬も出ませんでした。  
49. 医師：わかりました。詳しい検査を行い、今の症状の原因を調べてみましょう。  
50. 医師：結果を基に診断すると、成人Still病の可能性が高いと考えます。"
