"1. 医師：今日はどういったことでお越しになりましたか？  
2. 患者：食後に胸焼けがひどくなってきて、逆流感もあるんです。  
3. 医師：それは辛いですね。症状はいつから始まりましたか？  
4. 患者：約3ヶ月前からです。  
5. 医師：最初はどのような症状でしたか？  
6. 患者：初めは軽い胸焼けだけでした。  
7. 医師：それが徐々に悪化したということですね。いつも同じ時間に症状が出ますか？  
8. 患者：特に脂っこい食事の後や、就寝前に悪化します。  
9. 医師：食事の量はどうですか？変わったことはありますか？  
10. 患者：特に変わりはないと思いますが、意識して食べる量を少し減らしています。  
11. 医師：日常生活に影響がありますか？  
12. 患者：はい、食事の後に気を使うので、ちょっと不便です。  
13. 医師：体重の変化はありますか？  
14. 患者：いいえ、体重は減っていません。  
15. 医師：既往歴はありますか？  
16. 患者：高血圧があります。今も治療中です。  
17. 医師：現在、服用している薬はありますか？  
18. 患者：高血圧の薬だけです。  
19. 医師：胸焼けが食事の内容に関連していることはありそうですね。  
20. 患者：そうかもしれません。  
21. 医師：逆流感があるとのことですが、どんな感覚ですか？  
22. 患者：食べたものが戻ってくる感じです。  
23. 医師：それはつらいですね。症状はどのくらい続きますか？  
24. 患者：食後、1時間ぐらい続くことが多いです。  
25. 医師：心音や呼吸音には異常はありませんでしたが、他に気になることはありますか？  
26. 患者：特に他にはないです。  
27. 医師：最近、何かストレスを感じることはありましたか？  
28. 患者：仕事が忙しくて、少しストレスを感じています。  
29. 医師：それが体に影響を与えている可能性もありますね。  
30. 患者：そうですね。  
31. 医師：腹部の触診をしてみますね。痛みはありますか？  
32. 患者：少し上腹部に不快感があります。  
33. 医師：わかりました。飲酒や喫煙はされていますか？  
34. 患者：飲酒は少し、喫煙はしていません。  
35. 医師：飲酒の量はどれくらいですか？  
36. 患者：週に1回程度、ビールを1缶ぐらいです。  
37. 医師：就寝前に何か食べることがありますか？  
38. 患者：時々、遅い時間に軽食をとることがあります。  
39. 医師：それも症状に影響しているかもしれませんね。  
40. 患者：確かに悪化する感じがします。  
41. 医師：症状が続くと、上部消化管内視鏡検査を考えますが、どう思いますか？  
42. 患者：それが必要だと思うなら、お願いします。  
43. 医師：検査を受けた後に結果をお話ししますね。  
44. 患者：はい、わかりました。  
45. 医師：検査の結果、食道に逆流性の病変が見られました。  
46. 患者：それは何か悪いことですか？  
47. 医師：逆流性食道炎という診断です。  
48. 患者：それはどんな病気ですか？  
49. 医師：食道に酸が逆流することで炎症を起こす病気です。  
50. 患者：理解しました。治療はどうなりますか？  "
