"1. 医師：今日はどうされましたか？  
2. 患者：最近、すごく体がだるくて、体重も減ってきているんです。  
3. 医師：具体的にいつごろからその症状が始まりましたか？  
4. 患者：3か月くらい前からです。最初は軽い腹痛があったんですが、その後だるさがひどくなってきて、5キロくらい体重が減りました。  
5. 医師：その腹痛はどのくらいの頻度で起きますか？  
6. 患者：最初はたまにだったんですが、最近は頻繁に痛むようになりました。  
7. 医師：どのあたりが痛いですか？  
8. 患者：お腹全体ですが、下腹部が特に痛いです。  
9. 医師：痛みの程度はどうですか？激しい痛みですか？  
10. 患者：そこまで激しくはないんですけど、じわじわ痛む感じです。  
11. 医師：他に気になる症状はありますか？  
12. 患者：2週間ぐらい前から下痢が続いていて、水っぽいんです。それに血が混ざることもあります。  
13. 医師：下痢は1日何回くらい続きますか？  
14. 患者：1日5回以上はありますね。  
15. 医師：便の色や匂いで何か変わったことはありますか？  
16. 患者：赤っぽい色をしていることがあります。匂いは特に変わらないです。  
17. 医師：食欲はどうですか？  
18. 患者：あまり食欲がなくて、食べる量も減っています。  
19. 医師：これまでに似たような症状があったことはありますか？  
20. 患者：いいえ、初めてです。  
21. 医師：何か持病や過去に病気をしたことはありますか？  
22. 患者：小児喘息がありましたが、それ以外は特にありません。  
23. 医師：喘息はいつ治りましたか？  
24. 患者：中学生ぐらいには完全に治ったと思います。  
25. 医師：ご家族に似た病気の方はいらっしゃいますか？  
26. 患者：いいえ、家族にはそういう話は聞いていません。  
27. 医師：日常生活には支障が出ていますか？  
28. 患者：はい、だるさがひどくて仕事にも集中できません。  
29. 医師：最近ストレスや疲労を感じることはありましたか？  
30. 患者：特にはないんですが、なんだか疲れやすくなった気がします。  
31. 医師：ほかに体の変化で気になっていることはありますか？  
32. 患者：全くではないんですが、便の切れが悪い感じがあります。  
33. 医師：出血や痛みはありますか？  
34. 患者：はい、肛門あたりが時々痛くなります。  
35. 医師：その痛みは下痢のたびに感じるものですか？  
36. 患者：そうですね、下痢の後にはよく痛みます。  
37. 医師：疲れやすいとおっしゃいましたが、めまいやふらつきはありますか？  
38. 患者：それほどではないですが、立ち上がったときにふらっとすることがあります。  
39. 医師：普段の食事はどのようなものをとっていますか？  
40. 患者：バランスはあまり良くないかもです。仕事が忙しくて簡単なもので済ませてしまいます。  
41. 医師：水分補給はできていますか？  
42. 患者：多めに飲むようには心がけています。  
43. 医師：運動はされていますか？  
44. 患者：いえ、最近は全然できていません。  
45. 医師：お酒やタバコは嗜みますか？  
46. 患者：お酒はたまに飲むくらいで、タバコは吸っていません。  
47. 医師：そうですか、腸の炎症が疑われるので、いくつか検査をさせていただきますね。  
48. 患者：わかりました、よろしくお願いします。  
49. 医師：検査の結果、クローン病という腸の病気の可能性が高いことがわかりました。  
50. 患者：そうなんですね…。原因はなんですか？
（終了）"
